reference_Q_mean,rollout/Q_mean,AI_distance,param_noise_stddev,AI_return,rollout/return_history,train/loss_critic,obs_rms_std,train/loss_actor,reference_actor_Q_mean,rollout/return,AI_success_rate,total/steps_per_second,reference_actor_Q_std,reference_action_mean,rollout/episode_steps,train/param_noise_distance,rollout/actions_mean,rollout/episodes,obs_rms_mean,total/epochs,reference_Q_std,total/duration,total/steps,total/episodes,reference_perturbed_action_mean,rollout/actions_std,reference_perturbed_action_std,reference_action_std
-53.26551818847656,-18.999956130981445,17.519446413350643,0.02788675535407124,-2320.090088573125,-2320.090088573125,159.0937957763672,0.18277543783187866,55.993682861328125,-52.018470764160156,-2320.090088573125,,65.6462400386136,61.48324203491211,0.3112196922302246,274.0,0.19495210364460946,0.49923399090766907,7.0,0.42993125319480896,1,62.08708572387695,30.46632981300354,2000,7.0,0.4382031559944153,0.8015846610069275,0.8932896256446838,0.9449946880340576
-86.41854095458984,-46.42829513549805,15.803612794201268,0.04966353924655007,-1409.7599524779037,-1409.7599524779037,387.77691650390625,0.16228818893432617,84.78470611572266,-81.40658569335938,-1409.7599524779037,,70.9318588174934,142.77728271484375,-0.3285970389842987,198.10526315789474,0.1925987511128187,0.13331648707389832,19.0,0.451564222574234,2,143.2622528076172,56.392149686813354,4000,19.0,-0.3594735562801361,0.950079083442688,0.9199554920196533,0.9421818852424622
-118.17359161376953,-49.42556381225586,14.920512207016206,0.03612049597631191,-1237.1478270291936,-1237.1478270291936,342.00933837890625,0.1644635945558548,99.85540771484375,-112.05093383789062,-1237.1478270291936,,73.86788283064107,212.1844024658203,-0.2604331076145172,203.27586206896552,0.19865709081292152,0.02324802055954933,29.0,0.44525042176246643,3,211.49020385742188,81.22609949111938,6000,29.0,-0.21405738592147827,0.9683069586753845,0.9739511609077454,0.963649332523346
-137.8040771484375,-61.3318977355957,15.149197027877682,0.0252455158307554,-1237.1839206565521,-1237.1839206565521,514.5839233398438,0.16654716432094574,119.94461822509766,-132.5179901123047,-1237.1839206565521,,75.47284277740255,266.59661865234375,-0.39535924792289734,204.76923076923077,0.21403020136058332,-0.010379323735833168,39.0,0.4473637044429779,4,265.469482421875,105.99839234352112,8000,39.0,-0.3936011791229248,0.9736678004264832,0.9127132296562195,0.91446453332901
-158.5135955810547,-74.66690063476562,15.654580661105191,0.02378241789989777,-1286.9004392459215,-1286.9004392459215,334.2383728027344,0.16894657909870148,152.18019104003906,-154.23651123046875,-1286.9004392459215,,75.84463758607654,307.9753723144531,-0.24554911255836487,203.16326530612244,0.21260873183608056,-0.09201086312532425,49.0,0.4552806317806244,5,306.97003173828125,131.848477602005,10000,49.0,-0.24213171005249023,0.9712036848068237,0.9569827914237976,0.9626473784446716
-175.31292724609375,-85.17654418945312,15.391075888602387,0.019106704324195603,-1206.4676887317746,-1206.4676887317746,327.1362609863281,0.1644459366798401,165.7811279296875,-169.19610595703125,-1206.4676887317746,,75.89979560249596,343.39776611328125,-0.2780061364173889,202.05084745762713,0.17258096747100354,-0.1350356638431549,59.0,0.4584716856479645,6,343.8506164550781,158.10319256782532,12000,59.0,-0.2557063698768616,0.9678866267204285,0.9613056182861328,0.9521368145942688
-187.60699462890625,-93.36101531982422,15.11020477899776,0.01695622994987775,-1131.5428771523032,-1131.5428771523032,678.724853515625,0.16080312430858612,169.10562133789062,-180.05752563476562,-1131.5428771523032,,75.98768559184998,369.7640380859375,-0.32661670446395874,199.87142857142857,0.2122894337773323,-0.16432031989097595,70.0,0.45972299575805664,7,369.4582214355469,184.24037909507751,14000,70.0,-0.2962649464607239,0.9647341966629028,0.9510835409164429,0.9399787187576294
-201.26751708984375,-99.63426208496094,14.88694981304601,0.015350253774398782,-1117.212482810032,-1117.212482810032,291.4371337890625,0.15946213901042938,177.7043914794922,-196.81483459472656,-1117.212482810032,,75.37462296284068,414.1972961425781,-0.28119826316833496,198.65,0.1852874917909503,-0.17362405359745026,80.0,0.4556417465209961,8,413.3098449707031,212.27303528785706,16000,80.0,-0.28193792700767517,0.96486496925354,0.9505990743637085,0.9541159868240356
-221.15737915039062,-104.07411193847656,15.00138441925887,0.015350253774398782,-1088.0858102265001,-1088.0858102265001,1071.504638671875,0.1643625944852829,195.44830322265625,-216.50729370117188,-1088.0858102265001,,75.0320688607399,425.08856201171875,-0.28997793793678284,197.27472527472528,0.20424628317356108,-0.19138824939727783,91.0,0.45758816599845886,9,423.53143310546875,239.89742350578308,18000,91.0,-0.29499372839927673,0.9626576900482178,0.9501394629478455,0.9460632801055908
-224.53323364257812,-113.29744720458984,15.528045306302888,0.01185113216358652,-1109.7965071969986,-1114.5741654531812,502.13812255859375,0.1645314246416092,205.5116424560547,-221.59378051757812,-1109.7965071969986,,75.16531943746901,446.5158996582031,-0.2789623737335205,197.72277227722773,0.2099655267596245,-0.21431615948677063,101.0,0.465256005525589,10,445.41162109375,266.0801570415497,20000,101.0,-0.3257259428501129,0.9588196277618408,0.932577908039093,0.9557201862335205
-238.73416137695312,-125.32805633544922,15.615313865255924,0.008449541294664952,-1173.0541909004883,-1099.821043836865,450.4256896972656,0.1650713086128235,222.11190795898438,-232.4952392578125,-1173.0541909004883,,74.87426960998461,472.7295837402344,-0.1283007115125656,198.6818181818182,0.21713699385523796,-0.23573052883148193,110.0,0.46636509895324707,11,470.3748474121094,293.8259046077728,22000,110.0,-0.10457464307546616,0.9539212584495544,0.9732739329338074,0.9662302136421204
