reference_actor_Q_std,reference_Q_mean,rollout/return_history,reference_action_std,obs_rms_mean,reference_Q_std,total/steps,AI_distance,rollout/Q_mean,total/duration,reference_perturbed_action_std,rollout/episode_steps,total/steps_per_second,train/param_noise_distance,param_noise_stddev,rollout/episodes,rollout/actions_mean,AI_success_rate,obs_rms_std,train/loss_critic,rollout/return,reference_perturbed_action_mean,reference_actor_Q_mean,AI_return,train/loss_actor,reference_action_mean,total/episodes,rollout/actions_std,total/epochs
151.47145080566406,-125.85819244384766,-1171.7699415793684,0.9986010789871216,0.2851976156234741,152.47088623046875,2000,12.99792676543875,-58.59294509887695,25.630385875701904,0.9898921847343445,69.60714285714286,78.03237960205813,0.21044627860188483,0.057086957702023974,28.0,0.07549405843019485,,0.33206605911254883,199.44882202148438,-1171.7699415793684,-0.003006904385983944,-122.86627960205078,-1171.7699415793684,118.08676147460938,0.006245669908821583,28.0,0.9483779668807983,1
255.81707763671875,-246.67239379882812,-1139.6217314966946,0.9994548559188843,0.28021910786628723,255.3777618408203,4000,12.59853388054895,-116.81692504882812,50.778934717178345,0.9835764765739441,69.87719298245614,78.77282227913327,0.1955911809951067,0.055962119107954095,57.0,0.04957215487957001,,0.32866472005844116,71.31511688232422,-1139.6217314966946,0.005518288351595402,-243.34527587890625,-1139.6217314966946,233.6734161376953,0.031196340918540955,57.0,0.968966007232666,2
304.37127685546875,-380.3937072753906,-1127.6266068807156,0.9979605674743652,0.28382188081741333,303.2859802246094,6000,13.037117556714163,-182.44366455078125,76.42343640327454,0.9978823065757751,69.5813953488372,78.50994776443888,0.22048054080456495,0.045863445263280886,86.0,0.03897133469581604,,0.3340208828449249,318.5884704589844,-1127.6266068807156,-0.0011249282397329807,-376.40008544921875,-1127.6266068807156,359.7909851074219,-0.004237553104758263,86.0,0.9768145680427551,3
320.82672119140625,-457.19964599609375,-1123.963163576628,0.950410008430481,0.2801073491573334,320.081787109375,8000,12.513960339514705,-239.16502380371094,102.84630990028381,0.94038987159729,69.8859649122807,77.78597022835841,0.20746021568775178,0.03612049597631192,114.0,0.07713673263788223,,0.3308424651622772,99.39781188964844,-1147.8833000228608,0.30079853534698486,-454.5513916015625,-1147.8833000228608,440.61395263671875,0.2820148766040802,114.0,0.9756297469139099,4
294.1336975097656,-540.2379150390625,-1109.15514191584,0.9780067205429077,0.2835765779018402,290.99786376953125,10000,12.65573646784116,-288.4765625,128.84469556808472,0.9769217371940613,70.37323943661971,77.61281871876326,0.20382034108042718,0.01988251313764228,142.0,0.09953025728464127,,0.3329586386680603,162.62179565429688,-1123.3641204975527,0.0004565827548503876,-533.4005737304688,-1123.3641204975527,524.0861206054688,-0.05318335443735123,142.0,0.9734237194061279,5
257.85968017578125,-569.963134765625,-1109.540557673883,0.9658601880073547,0.2823890745639801,257.7758483886719,12000,12.571863419596735,-327.71624755859375,154.77387237548828,0.9716240167617798,70.79881656804734,77.53246601524233,0.21568497344851495,0.010106897490323717,169.0,0.10442867875099182,,0.33317631483078003,105.47206115722656,-1110.0864269393496,0.09725221246480942,-563.9100341796875,-1110.0864269393496,554.6790771484375,0.13368508219718933,169.0,0.9713165163993835,6
217.0667266845703,-594.72265625,-1029.6358256758717,0.9304834604263306,0.28285661339759827,216.22659301757812,14000,12.549821579876077,-360.7938232421875,180.2553367614746,0.9340524077415466,70.73096446700508,77.66760336491838,0.20620149195194246,0.01208933992007461,197.0,0.12497047334909439,,0.3331454396247864,104.75372314453125,-1086.6399417949544,0.29955393075942993,-589.9179077148438,-1086.6399417949544,575.8482666015625,0.3116671144962311,197.0,0.9681669473648071,7
191.16282653808594,-613.7380981445312,-954.6363961683168,0.9331719279289246,0.28535041213035583,192.03958129882812,16000,12.630379378900225,-386.7362365722656,206.43408226966858,0.9370236396789551,70.51327433628319,77.50658139434026,0.1937466876208782,0.01185113216358652,226.0,0.1420036256313324,,0.3337278962135315,124.99053955078125,-1054.2312658195187,0.27607131004333496,-609.193359375,-1054.2312658195187,600.5933837890625,0.28995048999786377,226.0,0.9646997451782227,8
187.7701873779297,-621.2737426757812,-905.2705312940909,0.9359451532363892,0.2871009409427643,187.79368591308594,18000,12.63831448478999,-408.14068603515625,232.2854449748993,0.9392076134681702,70.54901960784314,77.49086475024329,0.20636313617229463,0.01185113216358652,255.0,0.14813807606697083,,0.3341066241264343,58.209720611572266,-1032.9507742287221,0.2539812922477722,-616.2457275390625,-1032.9507742287221,612.74267578125,0.27105411887168884,255.0,0.9631600379943848,9
177.24514770507812,-624.5391235351562,-829.731493982765,0.9675243496894836,0.2914324700832367,178.65542602539062,20000,12.870712554198732,-421.45709228515625,257.86670780181885,0.9601101875305176,70.46289752650176,77.55944988203294,0.2151770895719528,0.0136225708197137,283.0,0.14523766934871674,,0.3361024856567383,50.24018096923828,-1004.66682540385,0.1876644492149353,-619.598388671875,-1004.66682540385,597.9034423828125,0.1833585798740387,283.0,0.9631654620170593,10
181.67037963867188,-622.3201904296875,-801.3907847453956,0.9705536961555481,0.2903864085674286,182.27061462402344,22000,12.659625197740587,-433.5964050292969,284.4182291030884,0.969662070274353,70.72990353697749,77.35087891298987,0.19951438650488854,0.014460633428115275,311.0,0.14566636085510254,,0.33586350083351135,75.83711242675781,-982.4084639548948,0.18010693788528442,-617.7943115234375,-982.4084639548948,587.9004516601562,0.1686301827430725,311.0,0.9627382755279541,11
