train/loss_actor,rollout/episodes,reference_Q_std,total/steps,reference_actor_Q_mean,total/epochs,AI_success_rate,rollout/episode_steps,reference_actor_Q_std,total/duration,reference_action_mean,obs_rms_std,rollout/Q_mean,train/loss_critic,rollout/return,reference_perturbed_action_std,train/param_noise_distance,rollout/actions_mean,reference_action_std,rollout/actions_std,total/steps_per_second,AI_distance,total/episodes,reference_perturbed_action_mean,reference_Q_mean,param_noise_stddev,rollout/return_history,obs_rms_mean,AI_return
36.08216857910156,12.0,95.28242492675781,2000,-29.745529174804688,1,,163.41666666666666,94.08476257324219,35.282843351364136,0.06382136791944504,0.20937927067279816,-3.1885263919830322,270.2294616699219,-810.9898144131367,0.9983359575271606,0.19872238576412202,0.16898666322231293,0.9967528581619263,0.8923695683479309,56.68477395891831,13.83229862273855,12.0,0.030410807579755783,-30.869670867919922,0.044073869428276444,-810.9898144131367,0.4597865343093872,-810.9898144131367
1.0982615947723389,24.0,154.25454711914062,4000,-37.47905731201172,2,,161.5,152.75796508789062,69.39605236053467,0.514535665512085,0.20774058997631073,-3.407337188720703,267.7760925292969,91.68920794720297,0.8447556495666504,0.21440633423626423,0.18265949189662933,0.8193988800048828,0.9320221543312073,57.64016631981776,12.675288058459579,24.0,0.4998316466808319,-41.672576904296875,0.025245515830755405,91.68920794720297,0.45733484625816345,91.68920794720297
-38.02055358886719,36.0,202.73838806152344,6000,-17.248085021972656,3,,162.61111111111111,202.8202362060547,104.7147467136383,0.5109906196594238,0.20546363294124603,6.7204484939575195,1098.4849853515625,303.08071177720547,0.8250566720962524,0.19305813357234,0.2941953241825104,0.8460185527801514,0.9149190783500671,57.298519915328654,11.693002203926621,36.0,0.5255241990089417,-23.137279510498047,0.0191067043241956,303.08071177720547,0.4478667080402374,303.08071177720547
-66.43590545654297,48.0,253.2274627685547,8000,-19.720596313476562,4,,165.5625,248.8594970703125,140.056006193161,0.5083439946174622,0.21282844245433807,16.5570125579834,1216.5830078125,347.0542833131817,0.8435908555984497,0.199218727350235,0.33660081028938293,0.8404815793037415,0.9072137475013733,57.1200066134018,11.862337404990361,48.0,0.516897439956665,-26.26079559326172,0.0191067043241956,347.0542833131817,0.4585530459880829,347.0542833131817
-130.38421630859375,59.0,256.14605712890625,10000,5.605952262878418,5,,168.20338983050848,245.59779357910156,174.42666840553284,0.4126340448856354,0.21476079523563385,52.63067626953125,1724.6890869140625,312.09315121440517,0.9269057512283325,0.18636375308036804,0.36110416054725647,0.8992028832435608,0.901203453540802,57.33068281021412,12.116611705612517,59.0,0.3322126865386963,-7.487961292266846,0.019106704324195603,312.09315121440517,0.4708094298839569,312.09315121440517
-259.46697998046875,72.0,282.6012268066406,12000,63.22249984741211,6,,165.51388888888889,271.5465087890625,209.57718348503113,0.4465543031692505,0.21835748851299286,119.22071075439453,1319.88330078125,825.2107299745319,0.8809891939163208,0.21028571486473083,0.3992719054222107,0.8789772391319275,0.8882606029510498,57.258141370418265,10.895797758020624,72.0,0.4379126727581024,51.18687438964844,0.015047793132436803,825.2107299745319,0.46658778190612793,825.2107299745319
-360.2879333496094,85.0,250.9350128173828,14000,96.28152465820312,7,,163.2941176470588,238.8360595703125,244.20826363563538,0.33097055554389954,0.2192792296409607,189.44627380371094,649.256103515625,1176.9020941863469,0.9049495458602905,0.21252658903598787,0.42092815041542053,0.9237799048423767,0.8805578351020813,57.328117368249,10.200248457865747,85.0,0.3711971938610077,85.4808349609375,0.014751292160020392,1176.9020941863469,0.4722024202346802,1176.9020941863469
-474.7099609375,100.0,230.69766235351562,16000,138.72979736328125,8,,158.89,221.49325561523438,279.5527505874634,0.25464800000190735,0.22463703155517578,251.46005249023438,2472.7607421875,1384.6194421854439,0.9467892646789551,0.2004367868602276,0.4258958697319031,0.955983579158783,0.8797833323478699,57.23427856237135,9.75782053726973,100.0,0.2667675316333771,126.37641906738281,0.0136225708197137,1384.6194421854439,0.47283419966697693,1384.6194421854439
-612.1720581054688,112.0,238.3246612548828,18000,223.6068572998047,9,,159.51785714285714,232.03292846679688,314.7649097442627,0.2606859803199768,0.22640757262706757,317.8877868652344,2416.148193359375,1534.8312499543015,0.9698050618171692,0.1852051894366741,0.42528748512268066,0.9534845352172852,0.8812938332557678,57.18553575309419,9.56142656641772,112.0,0.17678461968898773,206.23756408691406,0.011388705069074755,1816.329777678394,0.47516605257987976,1534.8312499543015
-708.619873046875,122.0,255.71176147460938,20000,275.2554016113281,10,,163.0655737704918,252.56385803222656,350.2814562320709,0.23464350402355194,0.22332191467285156,370.3354797363281,1553.0531005859375,1706.2278597137877,0.97552490234375,0.20224892258644103,0.43431800603866577,0.9625882506370544,0.8782255053520203,57.09694202809714,9.254891691444431,122.0,0.1337834596633911,258.32684326171875,0.012332335652468109,2052.338453767523,0.47328558564186096,1706.2278597137877
-827.592041015625,133.0,291.6204528808594,22000,338.47601318359375,11,,165.37593984962405,290.6221923828125,384.1405918598175,0.3032115399837494,0.22278428077697754,430.5748291015625,2523.7998046875,1870.2831083104859,0.9501616954803467,0.19155724950134753,0.43575799465179443,0.9410610198974609,0.8784979581832886,57.27069845310268,8.947583959479143,133.0,0.27073246240615845,317.14093017578125,0.013091022799070031,2454.148260097959,0.4728778898715973,1870.2831083104859
