obs_rms_mean,train/param_noise_distance,AI_success_rate,reference_Q_std,reference_action_mean,train/loss_actor,AI_return,rollout/actions_mean,rollout/return,obs_rms_std,rollout/episodes,rollout/episode_steps,reference_Q_mean,train/loss_critic,total/epochs,reference_action_std,total/steps,total/episodes,total/steps_per_second,reference_perturbed_action_std,rollout/actions_std,reference_actor_Q_std,reference_actor_Q_mean,param_noise_stddev,reference_perturbed_action_mean,AI_distance,total/duration,rollout/Q_mean,rollout/return_history
0.4876059591770172,0.2404257881641388,,51.66453552246094,0.06795253604650497,-30.029382705688477,304.0429719730485,0.1407720148563385,304.0429719730485,0.22820734977722168,10.0,184.6,30.784934997558594,113.68958282470703,1,0.9540247917175293,2000,10.0,54.81090881752781,0.9502072334289551,0.8897445797920227,49.738155364990234,33.06838607788086,0.01335415235733134,0.17200171947479248,13.054535656236805,36.489086627960205,6.350121974945068,304.0429719730485
0.456676721572876,0.21520418457686902,0.043478260869565216,156.59963989257812,0.2539600729942322,-113.14213562011719,1410.8165100434492,0.25787901878356934,1410.8165100434492,0.22866840660572052,23.0,165.17391304347825,86.537841796875,358.67718505859375,2,0.9632315039634705,4000,23.0,54.86465273394727,0.9541732668876648,0.9094597697257996,158.4554901123047,92.56464385986328,0.020282151651708893,0.28030580282211304,9.18226784628705,72.9066858291626,55.64812088012695,1410.8165100434492
0.4596650302410126,0.1875111448764801,0.027777777777777776,282.3662109375,0.2121366411447525,-211.3907012939453,1293.605678765623,0.22135481238365173,1293.605678765623,0.2230600267648697,36.0,165.88888888888889,198.81878662109375,531.3587646484375,3,0.9659298062324524,6000,36.0,53.07591459861532,0.9526040554046631,0.9335910677909851,285.41839599609375,206.9283447265625,0.013896384493189945,0.18478888273239136,9.91934953560221,113.04562616348267,79.05216979980469,1293.605678765623
0.47301793098449707,0.2086705194413662,0.0425531914893617,397.8393249511719,0.18114282190799713,-393.66485595703125,1561.6338389521227,0.23054642975330353,1561.6338389521227,0.23887942731380463,47.0,168.80851063829786,360.905517578125,1373.43212890625,4,0.9663642644882202,8000,47.0,53.24365292741629,0.9294283986091614,0.9366564750671387,399.6826171875,373.85528564453125,0.014751292160020392,0.30795198678970337,9.994090404989704,150.25265097618103,146.5125732421875,1561.6338389521227
0.4778432846069336,0.19998802483081818,0.03389830508474576,473.2781982421875,0.30280277132987976,-486.63055419921875,1579.0399325868284,0.23058408498764038,1579.0399325868284,0.2385074496269226,59.0,168.27118644067798,437.36541748046875,2288.648193359375,5,0.9411014318466187,10000,59.0,53.06440692542392,0.9476308822631836,0.9419280886650085,470.2752990722656,447.193603515625,0.0136225708197137,0.28423112630844116,10.115035630902645,188.45023584365845,223.75889587402344,1579.0399325868284
0.47561779618263245,0.19144359305500985,0.028169014084507043,541.7549438476562,0.2938549518585205,-544.192138671875,1594.7156779842285,0.2396891713142395,1594.7156779842285,0.23295681178569794,71.0,168.67605633802816,483.02166748046875,3095.1884765625,6,0.9434297680854797,12000,71.0,53.00744204752259,0.93739914894104,0.9414600133895874,539.2666015625,495.69110107421875,0.011388705069074755,0.2908264100551605,9.965148786812447,226.3833065032959,276.30059814453125,1594.7156779842285
0.4882168769836426,0.21538054920732974,0.024390243902439025,544.871826171875,0.5155391097068787,-650.9691772460938,1355.269720339565,0.278548926115036,1355.269720339565,0.2281728833913803,82.0,170.23170731707316,553.5008544921875,2962.56005859375,7,0.8359261155128479,14000,82.0,52.98877157033699,0.8344790935516357,0.9335319995880127,543.5390625,569.4136962890625,0.011388705069074755,0.5199264287948608,10.574197138836064,264.20691752433777,348.47357177734375,1355.269720339565
0.48732128739356995,0.19875652268528937,0.021739130434782608,566.8130493164062,0.3810723125934601,-706.7907104492188,1141.7605296735821,0.3107956051826477,1141.7605296735821,0.22645235061645508,92.0,171.84782608695653,608.128662109375,2921.6435546875,8,0.9013320207595825,16000,92.0,53.356562279203025,0.9211792945861816,0.9254363179206848,562.4953002929688,619.841796875,0.010310046129879225,0.3454360365867615,10.833422301087019,299.8693940639496,390.0825500488281,1141.7605296735821
0.4886660575866699,0.2023325176537037,0.02912621359223301,564.3270874023438,0.24308665096759796,-775.2360229492188,1235.2696825970736,0.32913699746131897,1235.2696825970736,0.2254417985677719,103.0,171.7766990291262,668.9027709960938,2700.578369140625,9,0.9572963714599609,18000,103.0,53.58464950552548,0.9503782987594604,0.9200353622436523,556.9724731445312,677.3352661132812,0.008449541294664952,0.2555806636810303,10.764419224946758,335.91709876060486,433.8166809082031,1276.0381689992603
0.4960397779941559,0.20162024065852166,0.02586206896551724,570.629150390625,0.2783140242099762,-822.2344360351562,1359.366011614435,0.34017229080200195,1359.366011614435,0.22381280362606049,116.0,171.50862068965517,711.333251953125,2395.518310546875,10,0.9487518668174744,20000,116.0,53.469081346757584,0.952186107635498,0.9168086051940918,563.1804809570312,721.7321166992188,0.007803009623294559,0.24560676515102386,10.702447119024834,374.047945022583,486.2757568359375,1428.5425322759722
0.49404123425483704,0.19877225607633592,0.023255813953488372,590.082275390625,0.2818399667739868,-876.3576049804688,1412.8964190779263,0.3514709770679474,1412.8964190779263,0.2229803055524826,129.0,170.27906976744185,746.4536743164062,12829.60546875,11,0.9426975846290588,22000,129.0,53.69910870904401,0.9484663605690002,0.9125480651855469,582.35693359375,757.8153076171875,0.007803009623294559,0.22577284276485443,10.575689206060453,409.690226316452,513.8577880859375,1388.5168771426702
