#{"t_start": 1522347689.6304753, "env_id": null}
r,l,t
-10393.843259,361,444.273097
-2660.646041,213,446.734907
-224.347517,264,450.373757
-1251.358285,238,453.039726
-3000.156673,230,457.082101
2099.230564,269,459.661881
-8119.336808,209,462.232023
2489.051858,127,464.687004
-2739.98206,190,467.110736
735.926873,191,468.781967
-12454.00038,378,473.648045
-1762.171092,212,476.074423
358.217194,241,479.628141
-14167.272888,366,483.542123
-2589.78333,140,486.422297
-111.699168,114,487.687662
3505.119695,218,490.165177
6434.749671,289,494.058564
-1647.451138,218,496.545403
262.400823,245,500.207324
-7230.013919,229,502.949128
-3375.762188,124,504.314921
116.822622,175,506.813285
969.241428,142,508.11966
-938.710922,218,511.99027
-1348.357689,140,513.33549
-1243.882857,128,514.637881
-3975.665983,198,517.122221
3078.145416,190,519.84315
1663.825254,143,522.217351
4925.574633,219,524.716743
-460.512783,115,525.982602
-2460.091915,152,527.314698
-13404.396083,325,532.111914
1414.412935,302,536.107308
992.411061,221,538.732465
3395.880792,187,541.57046
-304.980882,123,542.876822
96.34806,122,544.162062
-1242.83495,249,548.054434
1237.256215,190,550.523263
-603.991506,315,554.307479
-32.343013,236,556.837348
-3871.237443,271,560.994132
7473.726241,269,563.694347
93.752964,283,567.478223
-2029.265394,90,568.709247
7882.78315,290,572.969436
4823.176002,218,575.614195
9870.613883,309,579.658541
-2370.787945,64,580.851282
9795.719868,382,586.650656
-5222.250217,133,588.106161
-2222.058938,83,589.575891
3681.483688,241,592.282685
-2679.85126,174,595.145508
-4559.505968,375,601.348311
-1553.686438,202,604.010123
-1319.658899,115,605.307877
4955.876524,169,607.947648
-2458.094531,255,610.816464
10911.205717,274,614.861115
2085.502324,251,618.553905
-2178.335471,166,619.937295
231.819544,422,625.310338
4722.532772,167,628.211673
4946.243428,271,631.960862
-185.730291,175,634.450035
-1873.237605,75,634.585598
-834.873119,277,638.348275
-1451.766243,173,640.842388
-2306.41722,274,645.260657
1088.240226,211,647.80865
1589.688517,393,653.558812
-2764.594575,94,654.820175
-7943.64603,447,659.978251
3084.561479,264,663.720623
2011.650161,231,666.327058
-285.1426,304,670.149337
8917.864668,334,674.040849
1495.947841,217,677.693055
490.362687,254,680.567805
7354.454045,286,684.477883
-2613.751149,254,687.121542
1196.506251,283,690.954577
-2256.694116,229,694.653558
1871.004607,192,696.110401
-1720.742549,224,700.286964
-1680.06226,173,701.763475
3340.399201,241,705.76617
-765.059034,143,707.108862
3904.519779,235,710.804484
3904.323457,198,713.47322
-239.945436,119,715.082968
3866.287682,351,719.012405
1456.678079,259,722.764778
2231.21061,219,725.331305
-2613.303599,86,726.591351
-325.389271,283,730.406743
-732.606954,158,732.002263
8257.370395,299,736.157097
-142.56588,157,738.680386
6292.18452,238,741.403195
-1841.684744,323,746.832519
-1818.331583,137,748.159033
2963.084301,231,750.756928
2420.675279,284,754.565735
3417.177857,301,758.604528
3872.069558,182,761.103196
516.777233,256,764.127635
6821.357184,213,767.824649
5935.601536,344,771.977708
1677.934442,347,775.90028
-5724.303354,430,782.08958
5369.079632,305,786.52549
497.968334,288,790.285996
1490.132997,186,793.39175
11388.66412,299,797.462035
593.926591,216,800.007213
2220.197005,172,801.528336
-10041.597777,467,808.485308
12007.993804,444,814.987815
7335.26054,256,817.747877
1484.688067,179,820.251093
3038.967845,225,822.840919
12986.448371,290,826.910702
8978.77777,295,830.758497
2174.148963,182,833.282132
3675.087458,187,835.790401
15511.820963,289,839.893936
4958.563376,187,841.317763
-3206.723405,473,847.623451
-1842.741642,111,848.910076
1278.521305,259,853.094492
9145.820851,279,857.155576
3082.364797,247,859.819941
3126.990877,271,863.95883
8848.959869,482,870.533437
279.496349,203,873.088273
2693.193358,194,875.634464
4244.842481,298,879.469218
3241.633064,194,882.005164
-866.483322,112,883.292768
756.138337,321,887.167546
-3690.787592,406,892.572351
4534.294346,339,896.468755
1507.327843,179,899.031105
-10691.467887,468,905.875803
2514.903228,233,908.947398
1892.418333,223,912.093061
419.007039,257,915.971679
912.864652,218,918.981897
10980.629069,317,922.904292
3317.759866,247,926.643513
-14622.328547,410,932.204334
1553.446166,170,935.100225
4183.450593,258,937.768298
448.283907,234,940.364142
-10802.757306,429,946.923843
-1397.699897,346,950.837461
8394.726118,389,956.236889
-1136.554508,303,960.384739
7807.510028,341,965.435766
681.140471,235,968.385602
-996.005646,282,972.520331
-1123.204337,114,973.842336
-9543.93754,358,977.942661
-90.34358,223,981.77367
3571.355353,323,986.061229
2381.29931,239,988.682075
2829.971727,196,991.259855
312.93156,231,994.938941
-117.999492,479,1001.186453
-2865.004998,313,1006.138787
365.465729,130,1007.477174
1875.545109,262,1010.149183
2315.581236,294,1013.985358
50.155502,261,1017.744389
437.559299,135,1019.234521
-4667.391669,313,1023.043362
1877.174696,296,1027.178263
2307.799877,194,1029.786605
2223.981448,209,1033.001284
4905.956811,371,1038.050834
20348.954542,340,1043.555891
-3167.682073,213,1046.530434
-3003.176544,247,1049.343162
2800.254163,261,1054.197361
259.884725,189,1056.722473
4472.706222,310,1060.702393
-5245.873768,247,1063.409472
3089.614248,211,1066.002501
1446.704643,299,1070.086714
1750.918134,184,1072.773489
88.276714,525,1079.834985
-12473.265617,394,1085.170202
-5123.102827,467,1091.683077
5866.340571,391,1096.855038
6946.82376,301,1100.7009
-11314.142035,328,1104.952133
7702.304721,283,1109.263284
1537.805707,276,1113.268877
-4020.516484,385,1118.860552
2299.980102,216,1121.456606
2673.118782,298,1125.304078
-1412.172479,391,1130.376965
3997.147079,233,1133.007284
4462.575774,286,1137.670338
-1225.233032,302,1141.99619
2198.085514,317,1145.987521
2042.269042,180,1148.521896
5173.314677,344,1152.418312
4980.680642,285,1156.442922
3297.743961,213,1159.244127
-511.927136,223,1163.434705
-4469.600597,245,1166.373041
2964.136251,202,1168.967598
-1996.235334,208,1171.556069
1119.618425,121,1172.87672
-25978.903173,614,1180.550999
1506.845649,267,1184.306372
3492.403383,312,1188.898464
7871.655584,349,1193.921682
9851.995157,333,1197.810073
4357.020289,232,1200.441403
2725.422481,200,1202.998777
6538.607318,238,1206.730866
-188.11001,176,1209.25006
5917.018363,299,1213.051056
1128.621762,247,1216.013521
-1439.788892,205,1218.628428
-4019.657147,368,1223.871713
1068.925762,296,1228.139071
-1351.981686,228,1230.753876
3102.806345,218,1233.457771
430.027036,274,1237.4285
1837.300976,158,1239.001478
725.781533,187,1241.842092
709.826289,119,1244.336031
1722.46216,288,1247.260455
6781.04809,208,1249.907933
2336.637986,278,1253.728215
114.414384,220,1256.31359
257.110988,111,1258.920346
788.968993,208,1261.594823
5904.984798,257,1264.276898
2477.800884,261,1268.669656
-8431.088154,222,1271.249391
-4679.77527,232,1273.843596
-5331.546058,392,1279.108816
834.342533,148,1281.632086
653.043878,235,1284.271062
-1282.365654,236,1287.090311
-1021.798752,237,1291.332719
2822.199552,214,1294.021994
7067.971538,314,1298.672919
-5437.164863,202,1301.28081
2809.268511,227,1303.951914
5061.82187,212,1308.047331
1315.118478,381,1312.540663
2770.214418,164,1315.09699
12156.633541,257,1319.004915
-8261.99115,403,1324.667615
-3893.911659,347,1328.665007
-8085.711388,387,1333.958252
-5580.425451,385,1339.263814
-9634.546324,463,1344.496184
5615.023054,264,1348.526227
3715.675136,326,1352.744714
2161.694278,232,1356.744546
-6652.981312,395,1361.955304
-6443.637533,453,1367.197931
5560.393655,295,1371.039607
7407.409581,268,1374.911135
5594.621752,244,1378.027743
-1018.005535,334,1383.037133
3926.94511,189,1384.478584
5642.780272,245,1388.242431
8639.85652,420,1393.690122
6886.966204,238,1396.32533
3566.336645,394,1401.45752
4508.585315,243,1405.604617
1147.886774,122,1406.921846
3016.683235,402,1412.090462
7400.688652,245,1414.744845
