total/episodes,total/steps_per_second,rollout/episodes,reference_action_mean,AI_return,AI_distance,rollout/episode_steps,obs_rms_mean,rollout/actions_std,total/steps,param_noise_stddev,reference_actor_Q_std,rollout/return_history,reference_Q_std,reference_actor_Q_mean,total/epochs,train/param_noise_distance,reference_perturbed_action_std,reference_action_std,rollout/Q_mean,train/loss_critic,rollout/return,train/loss_actor,reference_Q_mean,obs_rms_std,reference_perturbed_action_mean,total/duration,rollout/actions_mean,AI_success_rate
177.0,77.05774308746011,177.0,0.11956025660037994,-1970.4605382515288,12.85804796669929,123.12994350282486,0.3907628059387207,0.8838596940040588,22000,0.012332335652468109,546.0236206054688,-1172.7146222158087,546.6919555664062,-741.2057495117188,11,0.219082819968462,0.945024847984314,0.9489383101463318,-345.0580139160156,1502.8082275390625,-1970.4605382515288,379.9494934082031,-772.1602783203125,0.2995451092720032,0.047893375158309937,285.5001862049103,0.3850705027580261,
193.0,76.79799573590077,193.0,0.007667411118745804,-1749.9658182578817,12.61700088827038,124.18652849740933,0.3936304450035095,0.8805350065231323,24000,0.012332335652468109,528.1185913085938,-583.4087420113756,532.0015869140625,-554.761962890625,12,0.19848955795168877,0.9493710994720459,0.9483489990234375,-312.6945495605469,3974.85302734375,-1749.9658182578817,209.1754913330078,-597.1091918945312,0.2997509837150574,0.0252422746270895,312.5081555843353,0.39329633116722107,
202.0,76.96096560552336,202.0,0.003207096830010414,-1719.4259333801324,12.528471986246046,127.25247524752476,0.3963313400745392,0.8767443895339966,26000,0.01185113216358652,564.2537841796875,-574.152750259642,564.914306640625,-370.0941162109375,13,0.2072247649729252,0.9537783861160278,0.9687085747718811,-283.5785827636719,1327.5001220703125,-1719.4259333801324,94.95765686035156,-406.0400390625,0.29728320240974426,0.05068354681134224,337.8335990905762,0.4005889892578125,
209.0,76.99903632887273,209.0,-0.017211077734827995,-1691.3275632709924,12.578883958288461,133.10526315789474,0.39896705746650696,0.8720446825027466,28000,0.011388705069074755,662.1594848632812,-639.092435799296,656.0528564453125,-244.28463745117188,14,0.20460612028837205,0.9603888392448425,0.9700902700424194,-255.1438446044922,2821.224609375,-1691.3275632709924,-56.35329055786133,-286.14739990234375,0.29378241300582886,-0.018937190994620323,363.6409146785736,0.40840303897857666,
217.0,77.14925378663455,217.0,0.007953006774187088,-1615.4952420995642,12.475544458913504,137.7926267281106,0.39931467175483704,0.8681561946868896,30000,0.010944321720492653,762.65380859375,-628.3180331871093,764.417724609375,-181.9279327392578,15,0.20496476262807847,0.9685859084129333,0.974705159664154,-238.51673889160156,2321.43359375,-1615.4952420995642,-135.03636169433594,-229.5025634765625,0.29218897223472595,0.0406893827021122,388.8566451072693,0.41624918580055237,
226.0,77.0299140651394,226.0,0.03798834979534149,-1645.8922216855121,12.398857519911077,141.4203539823009,0.39796704053878784,0.8619280457496643,32000,0.01161761804096316,824.651123046875,-930.5599230674458,822.5823364257812,-49.286590576171875,16,0.2070858159661293,0.9778767824172974,0.9730974435806274,-220.66497802734375,2443.07275390625,-1645.8922216855121,-238.86203002929688,-99.0016860961914,0.2905656397342682,0.036005258560180664,415.4230260848999,0.4280446469783783,
235.0,77.13911956696612,235.0,0.12725725769996643,-1650.6744296729896,12.327055326466155,143.83829787234043,0.39744430780410767,0.8582194447517395,34000,0.011388705069074755,927.3171997070312,-1135.3437685364424,922.4296875,-11.175575256347656,17,0.20360056638717652,0.9717164039611816,0.9714382886886597,-186.54278564453125,2034.2659912109375,-1650.6744296729896,-326.90948486328125,-49.28050231933594,0.28938356041908264,0.06462513655424118,440.76209568977356,0.4343447983264923,
244.0,77.18309234786808,244.0,0.30081647634506226,-1687.335570468026,12.337977608084444,147.14344262295083,0.39734405279159546,0.8515933752059937,36000,0.010310046129879225,998.08837890625,-1361.3648649576678,990.3890991210938,-63.87749481201172,18,0.19096595242619516,0.929472804069519,0.912156879901886,-159.62123107910156,9597.833984375,-1687.335570468026,-293.24237060546875,-102.23898315429688,0.28753116726875305,0.2542351186275482,466.42339539527893,0.44369783997535706,
252.0,77.27159446417089,252.0,0.21150153875350952,-1738.871199558654,12.34877532747277,149.8531746031746,0.39836999773979187,0.850338339805603,38000,0.010944321720492653,1107.6748046875,-1771.9475381162233,1097.4573974609375,-70.75650024414062,19,0.1919681367278099,0.965593159198761,0.9483982920646667,-122.08676147460938,9740.6396484375,-1738.871199558654,-377.0440368652344,-108.83052825927734,0.28597888350486755,0.09162625670433044,491.77191519737244,0.44242438673973083,
263.0,77.28813237819011,263.0,0.1397194266319275,-1711.6812640288676,12.208383887831555,151.59315589353614,0.39748457074165344,0.8466271758079529,40000,0.010106897490323717,1216.74658203125,-1556.3859615402328,1199.345458984375,-98.28195190429688,20,0.19765770480036735,0.9648750424385071,0.9586073756217957,-97.00706481933594,14094.2060546875,-1711.6812640288676,-369.40008544921875,-142.80450439453125,0.28473684191703796,0.12598340213298798,517.5438811779022,0.4464801847934723,
