rollout/episodes,param_noise_stddev,reference_Q_std,total/steps,train/loss_critic,reference_actor_Q_std,AI_distance,train/loss_actor,reference_perturbed_action_std,reference_action_mean,reference_actor_Q_mean,total/duration,total/steps_per_second,obs_rms_mean,rollout/actions_std,AI_return,AI_success_rate,reference_perturbed_action_mean,reference_Q_mean,train/param_noise_distance,rollout/Q_mean,reference_action_std,rollout/episode_steps,rollout/actions_mean,obs_rms_std,rollout/return,total/epochs,rollout/return_history,total/episodes
32.0,0.02426044449968572,47.81014633178711,2000,38.81947326660156,46.969600677490234,12.825968849105944,70.11487579345703,0.8697940111160278,0.3705335855484009,-69.69287109375,26.31552767753601,76.00075607479762,0.260059118270874,0.705378532409668,-437.35728463956025,,0.4263245463371277,-71.68732452392578,0.19711751252412796,-37.12263488769531,0.9025672078132629,60.375,0.6071415543556213,0.39200469851493835,-437.35728463956025,1,-437.35728463956025,32.0
63.0,0.024748079434129402,87.42388916015625,4000,42.06147384643555,85.35885620117188,13.666148398436274,74.87155151367188,0.9313616156578064,0.3264917731285095,-94.65711975097656,54.09271836280823,73.94710639556662,0.2702185809612274,0.821756899356842,-251.18828226607422,,0.30564236640930176,-98.78181457519531,0.20704969376325608,-43.26274108886719,0.928441047668457,62.95238095238095,0.4731889069080353,0.3949874937534332,-251.18828226607422,2,-251.18828226607422,63.0
93.0,0.018730226766195082,109.59034729003906,6000,83.13660430908203,106.89847564697266,13.65498587577383,59.86980438232422,0.9188095331192017,0.3728829324245453,-85.85443115234375,79.43336510658264,75.53500965179153,0.2732502520084381,0.8396381139755249,-204.57781384066956,,0.3534269630908966,-90.73175048828125,0.2059679527580738,-46.478092193603516,0.9138062596321106,64.27956989247312,0.46159350872039795,0.3948915898799896,-204.57781384066956,3,-204.57781384066956,93.0
122.0,0.019106704324195603,122.02692413330078,8000,37.53220748901367,119.91741180419922,13.08345123365548,30.402280807495117,0.8691263198852539,0.43163466453552246,-84.82582092285156,105.6067705154419,75.75271889249028,0.2770061790943146,0.8316751718521118,-155.47096868592095,,0.4515568017959595,-89.17645263671875,0.1930132795870304,-34.1181640625,0.8813477158546448,65.32786885245902,0.4855574071407318,0.38931378722190857,-155.47096868592095,4,-62.37423728547887,122.0
152.0,0.019882513137642284,127.69099426269531,10000,58.87421417236328,126.11107635498047,13.005440920658303,15.197174072265625,0.910935640335083,0.3700118660926819,-77.64360046386719,130.6680188179016,76.52982030695634,0.27790567278862,0.8386991620063782,-134.53920624460787,,0.3493025004863739,-82.9656982421875,0.20802818715572358,-25.965126037597656,0.9056624174118042,65.65789473684211,0.481004923582077,0.38849079608917236,-134.53920624460787,5,-50.62101579330192,152.0
180.0,0.016294603698363365,143.9032745361328,12000,62.024688720703125,141.578125,12.795795567528517,-3.448298454284668,0.9039765000343323,0.2875025272369385,-74.2889404296875,158.584002494812,75.66967544782818,0.2782426178455353,0.8399258852005005,-121.53421942233429,,0.3234584629535675,-80.9932861328125,0.19968812227249144,-16.94927978515625,0.9319548606872559,66.52222222222223,0.4786706268787384,0.38841697573661804,-121.53421942233429,6,-37.52619171432793,180.0
208.0,0.017297050171870294,156.80679321289062,14000,80.94291687011719,155.27320861816406,12.652614127747523,-19.537309646606445,0.9313218593597412,0.33112287521362305,-61.075199127197266,185.62536454200745,75.4207273049248,0.2786403000354767,0.8422647714614868,-110.62432943762487,,0.2779432535171509,-67.49798583984375,0.19965914383530617,-8.127575874328613,0.9268738627433777,67.04326923076923,0.47131964564323425,0.3871917426586151,-110.62432943762487,7,-45.71324119521266,208.0
237.0,0.015047793132436803,162.22378540039062,16000,43.96627426147461,161.2424774169922,12.513756882150012,-35.91600799560547,0.9264272451400757,0.32308250665664673,-48.51646423339844,211.8189582824707,75.53620379278438,0.2792937755584717,0.8409905433654785,-81.6506383641205,,0.2773130238056183,-55.09292221069336,0.20769346982240677,2.030832052230835,0.9175644516944885,67.40928270042194,0.4735044538974762,0.3851218521595001,-81.6506383641205,8,9.577082670112326,237.0
267.0,0.01662212523270047,168.71031188964844,18000,64.62701416015625,167.0919189453125,12.620351612609916,-42.47434997558594,0.9037063717842102,0.3334050476551056,-45.415679931640625,239.6151087284088,75.12047172451908,0.28057634830474854,0.842401921749115,-77.12329473851463,,0.36500662565231323,-51.598106384277344,0.19487281292676925,8.440450668334961,0.9142908453941345,67.30337078651685,0.47077426314353943,0.3841988742351532,-77.12329473851463,9,5.486371599977015,267.0
287.0,0.012580215599082718,165.2386474609375,20000,45.905582427978516,162.13272094726562,12.612730960764607,-41.754722595214844,0.9428728818893433,0.16224540770053864,-46.43284606933594,266.93914794921875,74.92344286573024,0.2875353991985321,0.8452571630477905,-67.67231022989613,,0.19518817961215973,-54.70188522338867,0.20138026848435403,17.840322494506836,0.9454524517059326,69.21951219512195,0.458437979221344,0.3827687203884125,-67.67231022989613,10,24.541944831768433,287.0
