reference_actor_Q_mean,reference_actor_Q_std,reference_Q_mean,reference_perturbed_action_mean,reference_action_mean,AI_return,rollout/Q_mean,rollout/actions_std,param_noise_stddev,reference_perturbed_action_std,total/episodes,total/epochs,obs_rms_std,reference_Q_std,total/duration,AI_success_rate,obs_rms_mean,train/loss_actor,rollout/return,AI_distance,rollout/episodes,train/param_noise_distance,reference_action_std,rollout/return_history,rollout/actions_mean,train/loss_critic,total/steps_per_second,total/steps,rollout/episode_steps
812.9230346679688,1389.8358154296875,794.6346435546875,0.3272808790206909,0.30247727036476135,2215.7837312872243,664.6088256835938,0.8583143949508667,0.017297050171870294,0.8900765776634216,143.0,13,0.21588124334812164,1402.8685302734375,246.51971173286438,0.013986013986013986,0.48641887307167053,-1058.569091796875,2215.7837312872243,9.224518051299977,143.0,0.19682675167918207,0.8776474595069885,2169.2291302067792,0.3967088460922241,3632.658203125,105.46823950603319,26000,181.30769230769232
911.2925415039062,1385.7984619140625,892.442626953125,0.248483806848526,0.218547061085701,2232.009851075802,715.1918334960938,0.8600773215293884,0.015350253774398782,0.9155704975128174,152.0,14,0.2155476063489914,1397.283935546875,267.92576026916504,0.013157894736842105,0.4847199022769928,-1127.329833984375,2232.009851075802,9.138382173844358,152.0,0.19834792852401734,0.8967580199241638,2082.747264304006,0.3925439417362213,3051.016845703125,104.5065617127315,28000,182.86184210526315
955.1771850585938,1319.0262451171875,934.9454345703125,0.22459493577480316,0.2580590844154358,2293.1106698657886,757.1063842773438,0.8625137209892273,0.014175701821503062,0.891298234462738,162.0,15,0.21415399014949799,1331.0145263671875,284.04766297340393,0.012345679012345678,0.48224401473999023,-1150.925048828125,2293.1106698657886,8.940457286653277,162.0,0.2072944501042366,0.8664582371711731,2462.277160529612,0.38169535994529724,3664.11279296875,105.6160775482563,30000,184.03086419753086
993.670166015625,1236.36376953125,970.6905517578125,0.19194281101226807,0.167060986161232,2356.680114913433,790.4649047851562,0.8638525605201721,0.012833077932624282,0.9072397351264954,173.0,16,0.21348685026168823,1253.7591552734375,302.58354353904724,0.011560693641618497,0.47992071509361267,-1197.5335693359375,2356.680114913433,8.71070776859508,173.0,0.19659027323126793,0.8941923975944519,2374.8363436336776,0.37642621994018555,2543.111572265625,105.7559166163659,32000,184.58381502890174
1009.6544189453125,1220.9251708984375,986.858642578125,-0.03058181144297123,0.06881212443113327,2403.0825152699967,833.0753784179688,0.86421799659729,0.01185113216358652,0.8920207023620605,183.0,17,0.21147750318050385,1236.1480712890625,321.2123658657074,0.01092896174863388,0.4800512492656708,-1238.7066650390625,2403.0825152699967,8.552349895004708,183.0,0.2028321158885956,0.8857455253601074,2337.394706101977,0.37083184719085693,3685.245361328125,105.8489759831187,34000,185.0327868852459
1108.201904296875,1223.2672119140625,1086.6610107421875,0.15258871018886566,0.09206029772758484,2292.574749237338,835.337890625,0.8701162338256836,0.01161761804096316,0.8856950402259827,194.0,18,0.21374313533306122,1237.5491943359375,340.76582431793213,0.010309278350515464,0.4750202000141144,-1262.376220703125,2292.574749237338,8.608764387651577,194.0,0.20127226233482362,0.8580952286720276,2353.0185239303105,0.35187840461730957,1548.82861328125,105.64439691702256,36000,184.66494845360825
1117.662841796875,1263.9066162109375,1096.430908203125,0.0348694808781147,0.08195779472589493,2304.462946517778,845.3275756835938,0.8745107054710388,0.011164302587074557,0.8736768364906311,207.0,19,0.2165798395872116,1278.3045654296875,359.57504320144653,0.00966183574879227,0.4714111387729645,-1313.193115234375,2304.462946517778,8.572425427811131,207.0,0.1983482965826988,0.8447756767272949,2576.2381128951756,0.3371013104915619,4334.10009765625,105.68030434390039,38000,182.9903381642512
1128.58935546875,1281.2822265625,1107.6976318359375,0.11880271136760712,0.1495986133813858,2191.722851016154,833.490478515625,0.8801568746566772,0.01185113216358652,0.8804259300231934,219.0,20,0.2183343768119812,1296.85791015625,381.8139839172363,0.0091324200913242,0.46701574325561523,-1301.946044921875,2191.722851016154,8.66121164731976,219.0,0.20545076221227646,0.8867587447166443,2326.7413349288227,0.32019591331481934,2818.0537109375,104.76305657958974,40000,182.53881278538813
1139.2635498046875,1276.40185546875,1118.90771484375,0.05822778865695,0.11779030412435532,2181.0322492502146,854.683349609375,0.8813626766204834,0.01161761804096316,0.8812751173973083,228.0,21,0.21990500390529633,1292.453125,399.37585949897766,0.008771929824561403,0.4684288501739502,-1291.0919189453125,2181.0322492502146,8.70314485781737,228.0,0.2007595357298851,0.8605607748031616,2256.2063137706036,0.31377696990966797,1504.165771484375,105.16409292411805,42000,183.46052631578948
1178.16552734375,1267.26171875,1156.560791015625,0.13124476373195648,0.08047289401292801,2182.887764259092,866.6177978515625,0.8825793862342834,0.010944321720492653,0.8541876077651978,237.0,22,0.21993696689605713,1282.78173828125,417.6845533847809,0.008438818565400843,0.46668872237205505,-1323.6488037109375,2182.887764259092,8.728863353959197,237.0,0.1998981660604477,0.8626522421836853,2200.62558114456,0.3028828203678131,5656.701171875,105.34265546436465,44000,185.16033755274262
