rollout/episode_steps,reference_actor_Q_mean,train/loss_actor,rollout/episodes,reference_Q_std,reference_Q_mean,reference_actor_Q_std,rollout/actions_mean,reference_perturbed_action_mean,train/loss_critic,obs_rms_mean,AI_return,rollout/actions_std,rollout/return,AI_distance,reference_perturbed_action_std,total/epochs,total/episodes,reference_action_std,param_noise_stddev,rollout/Q_mean,total/steps,total/steps_per_second,reference_action_mean,train/param_noise_distance,rollout/return_history,AI_success_rate,total/duration,obs_rms_std
83.33333333333333,-161.13558959960938,144.81976318359375,24.0,100.58340454101562,-164.085693359375,98.88985443115234,0.033678941428661346,-0.22183597087860107,332.355712890625,0.3468198776245117,-1602.2057971978156,0.8988436460494995,-1602.2057971978156,14.167425854932532,0.9340129494667053,1,24.0,0.9619451761245728,0.034027141129503384,-68.98056030273438,2000,72.94845746717921,-0.2450902760028839,0.23435146868228912,-1602.2057971978156,,27.41661810874939,0.36135169863700867
71.05357142857143,-277.424072265625,237.91400146484375,56.0,187.81463623046875,-281.4136047363281,187.7022705078125,0.029493756592273712,0.012247642502188683,200.9092254638672,0.3091275990009308,-1202.6569453281984,0.94345623254776,-1202.6569453281984,12.531579051643783,0.9914623498916626,2,56.0,0.9949299097061157,0.05823440555183461,-119.59445190429688,4000,74.15559491964558,0.010982269421219826,0.24890832081437111,-1202.6569453281984,,53.94063663482666,0.3754982054233551
69.43023255813954,-391.25567626953125,321.09625244140625,86.0,258.6903381347656,-395.9918212890625,259.2929382324219,-0.012552284635603428,-0.17350241541862488,120.08914947509766,0.30299636721611023,-1099.7978565372914,0.9545820951461792,-1099.7978565372914,12.461797712093098,0.97007817029953,3,86.0,0.972429096698761,0.021529912675834345,-168.08621215820312,6000,74.03070860335896,-0.1805552840232849,0.19473662063479424,-1099.7978565372914,,81.04744791984558,0.3797138035297394
69.76315789473684,-470.29705810546875,387.4337158203125,114.0,312.6245422363281,-474.9649353027344,313.3083801269531,-0.006522407755255699,0.04018423333764076,290.922607421875,0.3069699704647064,-1070.4414837857937,0.9612324237823486,-1070.4414837857937,12.627932087857124,0.9864580631256104,4,114.0,0.9944702982902527,0.02378241789989777,-207.12112426757812,8000,75.08884578485684,0.018979232758283615,0.21001139745116235,-941.3261238007273,,106.5404577255249,0.37848448753356934
70.37588652482269,-556.6546630859375,434.1705017089844,141.0,360.4972229003906,-564.68212890625,362.35174560546875,0.012863801792263985,0.14668525755405426,346.665771484375,0.31503167748451233,-1067.699068451565,0.9631573557853699,-1067.699068451565,12.579821528665242,0.9684247374534607,5,141.0,0.9707422256469727,0.017297050171870294,-238.5045928955078,10000,74.3962191098122,0.15206573903560638,0.2014350873231888,-966.7244885303754,,134.41543292999268,0.38112127780914307
69.95266272189349,-628.1434326171875,442.95147705078125,169.0,426.258544921875,-635.9373168945312,428.3842468261719,0.04412205144762993,0.07758153975009918,585.8963012695312,0.32371845841407776,-1036.2766077409894,0.9624714851379395,-1036.2766077409894,12.532442277126158,0.9743969440460205,6,169.0,0.975512683391571,0.012332335652468109,-257.3974609375,12000,73.73490656292034,0.06263590604066849,0.2064332613348961,-959.2346039371939,,162.74517130851746,0.3866250514984131
75.8688524590164,-700.86962890625,467.8479309082031,183.0,461.7037658691406,-709.544189453125,463.5677185058594,0.09038373827934265,0.29945239424705505,314.6850280761719,0.3328353464603424,-1154.2078605604845,0.9541640877723694,-1154.2078605604845,12.638330929469523,0.9279580116271973,7,183.0,0.9234356880187988,0.012580215599082718,-275.6513671875,14000,72.69497510468554,0.3133789002895355,0.2093241384625435,-1196.8406293101336,,192.5855257511139,0.3802932798862457
82.76165803108809,-705.3042602539062,479.8114318847656,193.0,465.6482849121094,-714.973876953125,463.2635498046875,0.1052645742893219,0.13989491760730743,150.9041748046875,0.3431262969970703,-1249.174711396201,0.9466521143913269,-1249.174711396201,12.725993784162437,0.9490150213241577,8,193.0,0.9332034587860107,0.01208933992007461,-289.5542907714844,16000,72.17402975796696,0.23759755492210388,0.190099086612463,-1399.3666246835692,,221.68638849258423,0.37293609976768494
89.13432835820896,-715.533935546875,470.2947692871094,201.0,480.751708984375,-725.0303955078125,479.4472351074219,0.10836640745401382,0.09803962707519531,1317.1116943359375,0.3469211757183075,-1299.9869126780209,0.9410977959632874,-1299.9869126780209,12.776101024538308,0.9552149176597595,9,201.0,0.951238214969635,0.012833077932624282,-295.76300048828125,18000,72.67579445398853,0.1541978269815445,0.19655573680996896,-1521.9328434854738,,247.675311088562,0.36156249046325684
93.3411214953271,-696.7952880859375,464.2434387207031,214.0,470.0203552246094,-707.6104125976562,469.5532531738281,0.11775849759578705,0.20438756048679352,359.7088928222656,0.35241103172302246,-1314.6841880638553,0.9348481297492981,-1314.6841880638553,12.8155236238089,0.9499358534812927,10,214.0,0.9521032571792603,0.012580215599082718,-304.5489807128906,20000,72.49748063587276,0.1756070852279663,0.19282068222761153,-1593.1208709408456,,275.87165546417236,0.3554621636867523
98.08968609865471,-670.4767456054688,453.28448486328125,223.0,470.4146423339844,-682.7845458984375,467.37506103515625,0.14120209217071533,0.1354488581418991,459.8888244628906,0.3611680567264557,-1346.958681095036,0.9274162650108337,-1346.958681095036,12.825651924985193,0.9504891633987427,11,223.0,0.9587962627410889,0.01208933992007461,-310.7947998046875,22000,72.70957987526735,0.13466626405715942,0.19654025480151177,-1648.53529720562,,302.57360911369324,0.3490622341632843
