reference_actor_Q_std,total/steps_per_second,AI_distance,rollout/actions_mean,reference_actor_Q_mean,rollout/episodes,rollout/episode_steps,AI_success_rate,reference_perturbed_action_mean,AI_return,rollout/Q_mean,train/param_noise_distance,obs_rms_mean,train/loss_critic,rollout/return,reference_action_mean,total/duration,total/steps,rollout/actions_std,reference_perturbed_action_std,rollout/return_history,reference_Q_std,total/episodes,reference_action_std,obs_rms_std,reference_Q_mean,total/epochs,train/loss_actor,param_noise_stddev
60.918968200683594,153.85128354354055,17.268216120503944,0.07794839888811111,-91.00238037109375,41.0,48.0,,0.017077486962080002,-1886.958472993287,-36.64131164550781,0.2670981341600418,0.45086148381233215,3467.4609375,-1886.958472993287,0.07572542130947113,12.999566555023193,2000,0.7747253179550171,0.8917136788368225,-1886.958472993287,60.20683670043945,41.0,0.933721661567688,0.150347039103508,-93.45245361328125,1,75.29004669189453,0.09769921704229322
163.90789794921875,154.80005759001014,15.650965405727831,0.11757748574018478,-249.0487518310547,81.0,49.074074074074076,,0.2322702705860138,-1222.9199062862517,-49.28385925292969,0.21233226612210274,0.4307248890399933,3821.016357421875,-1222.9199062862517,0.18955057859420776,25.839783668518066,4000,0.834912121295929,0.8771491646766663,-1222.9199062862517,162.9094696044922,81.0,0.8898300528526306,0.1564938873052597,-252.6865234375,2,163.19039916992188,0.040701478966889394
265.7977294921875,153.88512516752382,14.634690040223687,0.05809891223907471,-352.4223937988281,107.0,55.61682242990654,,-0.07909618318080902,-550.4494830787057,3.668393135070801,0.2165712308883667,0.4267239570617676,3095.359375,-550.4494830787057,-0.12647834420204163,38.99012327194214,6000,0.8532421588897705,0.9380798935890198,-484.6227648281613,266.35601806640625,107.0,0.9312083721160889,0.15698865056037903,-377.0118103027344,3,90.4646224975586,0.041519578694123864
260.8946838378906,151.7410867131261,13.830631605987003,-0.004730090964585543,-246.19300842285156,148.0,53.63513513513514,,-0.3351329565048218,-113.42844047728677,65.21825408935547,0.1915490609407425,0.42715150117874146,1910.904052734375,-113.42844047728677,-0.35640400648117065,52.72138333320618,8000,0.8690296411514282,0.8451204895973206,700.4345270845837,284.3260803222656,148.0,0.8536275029182434,0.16487422585487366,-308.32550048828125,4,-109.88610076904297,0.026270585008002553
277.8313903808594,150.45163138368895,13.141329336264977,-0.043331876397132874,-95.46826934814453,184.0,54.233695652173914,,-0.5076317191123962,150.51730649069515,132.15469360351562,0.20468652427196501,0.42260533571243286,1235.5301513671875,150.51730649069515,-0.4789646863937378,66.46654415130615,10000,0.8713017106056213,0.7930258512496948,1224.8284275367234,303.9866943359375,184.0,0.8199000358581543,0.16603390872478485,-159.84085083007812,5,-292.27496337890625,0.0247480794341294
326.78240966796875,150.63444819935492,12.751008066313966,-0.0701565146446228,-34.281005859375,215.0,55.63720930232558,,-0.4153464436531067,321.59022835281723,196.29067993164062,0.20591554194688796,0.421428918838501,1646.3482666015625,321.59022835281723,-0.4501572251319885,79.6630527973175,12000,0.8719884753227234,0.8633667826652527,1163.287003573022,348.6178894042969,215.0,0.8448675870895386,0.16372334957122803,-86.09590148925781,6,-435.7543029785156,0.02285443614607805
372.76300048828125,152.01261403041784,12.346974040007451,-0.09050873667001724,11.445025444030762,245.0,57.08163265306123,,-0.4518318772315979,519.167166166211,277.50164794921875,0.20056040555238724,0.41873642802238464,1410.5350341796875,519.167166166211,-0.4391781985759735,92.09762024879456,14000,0.8661836981773376,0.8477012515068054,1456.587090522154,389.82666015625,245.0,0.8543000221252441,0.16264380514621735,-51.45758819580078,7,-586.142333984375,0.021529912675834345
420.3539733886719,152.10794709162224,11.962226696947228,-0.10282531380653381,77.80799102783203,274.0,58.31751824817518,,-0.44078540802001953,687.655188664562,359.3872375488281,0.20241776168346404,0.41395318508148193,1563.225341796875,687.655188664562,-0.418191522359848,105.18845534324646,16000,0.8615351319313049,0.8488268256187439,1718.52414491929,432.88616943359375,274.0,0.8534697890281677,0.162249356508255,16.15229034423828,8,-701.1054077148438,0.02028215165170889
517.2671508789062,152.95245366853763,11.630498208186374,-0.1089339479804039,92.87902069091797,302.0,59.33443708609271,,-0.41164857149124146,791.7116738928712,433.3330993652344,0.20517593801021575,0.40854525566101074,1552.0535888671875,791.7116738928712,-0.4134692847728729,117.6836302280426,18000,0.8569908142089844,0.8373461961746216,1868.1409530352116,516.6766357421875,302.0,0.8400130867958069,0.16229687631130219,31.185819625854492,9,-811.3135986328125,0.017999379770019412
623.6199340820312,153.73036511361224,11.59866505452192,-0.11578954756259918,91.65352630615234,329.0,60.63525835866261,,-0.4345366358757019,865.9459936121257,505.023193359375,0.20574570953845978,0.4070242643356323,2956.985595703125,865.9459936121257,-0.38736075162887573,130.0979151725769,20000,0.8495529890060425,0.7743467688560486,1879.6926188807754,612.9683227539062,329.0,0.8002955913543701,0.16447627544403076,36.6442756652832,10,-906.7659912109375,0.015973535632157008
