param_noise_stddev,reference_perturbed_action_mean,rollout/Q_mean,reference_Q_mean,total/duration,rollout/return_history,rollout/return,rollout/actions_mean,total/epochs,AI_return,obs_rms_std,reference_actor_Q_mean,total/episodes,rollout/actions_std,rollout/episodes,train/param_noise_distance,reference_Q_std,total/steps_per_second,AI_distance,reference_action_mean,rollout/episode_steps,train/loss_actor,AI_success_rate,total/steps,reference_action_std,reference_perturbed_action_std,reference_actor_Q_std,train/loss_critic,obs_rms_mean
0.06965693719894053,-0.237388014793396,15.155089378356934,28.13552474975586,12.874223709106445,-378.58018316208467,-378.58018316208467,-0.10275846719741821,1,-378.58018316208467,0.2070324718952179,33.958526611328125,10.0,0.6620354652404785,10.0,0.2051759958267212,55.8153190612793,155.3491725163453,14.750871772077323,-0.1390109658241272,198.0,-32.40693664550781,,2000,0.8998433947563171,0.756497323513031,54.3836555480957,149.86517333984375,0.42298421263694763
0.03834263432855745,0.6019907593727112,34.98411560058594,55.97899627685547,25.442793607711792,-800.1170166327595,-800.1170166327595,-0.03840664029121399,2,-800.1170166327595,0.2215254157781601,62.56291198730469,23.0,0.7068102955818176,23.0,0.2012096279859543,123.91143798828125,157.21544031971345,15.196346070103452,0.5347625017166138,172.56521739130434,-77.17163848876953,,4000,0.6052953600883484,0.5742249488830566,123.25726318359375,138.53785705566406,0.40921324491500854
0.029019069447335507,0.2934562563896179,51.78280258178711,112.87678527832031,37.44489908218384,-879.7136392963697,-879.7136392963697,0.04246927797794342,3,-879.7136392963697,0.22793841361999512,127.99903869628906,33.0,0.6993992328643799,33.0,0.1990221107006073,174.54571533203125,160.23544319965282,14.832087357657782,0.34783926606178284,181.45454545454547,-123.54185485839844,,6000,0.7287562489509583,0.7541481256484985,170.4983673095703,145.04100036621094,0.39837631583213806
0.021529912675834345,0.32797712087631226,113.50651550292969,188.2959747314453,50.02118444442749,72.94666444584217,72.94666444584217,0.08134999126195908,4,72.94666444584217,0.22458139061927795,204.04766845703125,43.0,0.6976650953292847,43.0,0.20724938303232193,231.56292724609375,159.9322384876319,12.913496421620424,0.3356810510158539,181.5581395348837,-225.79086303710938,,8000,0.7600950002670288,0.7449247241020203,229.09539794921875,338.7071533203125,0.402889609336853
0.01662212523270047,0.3433644771575928,150.63104248046875,305.10260009765625,62.31484532356262,863.0538407792357,863.0538407792357,0.10585593432188034,5,863.0538407792357,0.22186508774757385,328.16375732421875,54.0,0.7086426615715027,54.0,0.19882142797112465,285.449462890625,160.47540434508275,11.944690316041934,0.2757127285003662,183.66666666666666,-343.3440246582031,0.018518518518518517,10000,0.8031579256057739,0.7544406056404114,278.3074035644531,1152.4796142578125,0.4157356023788452
0.018361167303396805,0.1807607114315033,195.6912078857422,423.0758056640625,75.2943766117096,948.4393106420513,948.4393106420513,0.13370555639266968,6,948.4393106420513,0.21800881624221802,442.7847900390625,66.0,0.7182273864746094,66.0,0.20476861387491227,280.052001953125,159.37445185161133,11.466877195470543,0.21932250261306763,180.15151515151516,-452.69268798828125,0.015151515151515152,12000,0.8132765889167786,0.8032495379447937,270.5165710449219,978.810791015625,0.41280466318130493
0.0156587938752642,0.24561449885368347,258.12884521484375,516.1701049804688,88.34536266326904,1341.2663730942215,1341.2663730942215,0.1496760994195938,7,1341.2663730942215,0.21492528915405273,538.0013427734375,77.0,0.7247722148895264,77.0,0.20055719688534737,301.6920166015625,158.468985557979,10.584870811464512,0.30681851506233215,181.19480519480518,-569.5736694335938,0.012987012987012988,14000,0.7625381946563721,0.7628599405288696,293.4237976074219,933.5892944335938,0.408351868391037
0.015973535632157008,0.22125570476055145,320.62933349609375,600.1232299804688,100.8626811504364,1549.978759174768,1549.978759174768,0.1649034470319748,8,1549.978759174768,0.21301811933517456,620.8660888671875,88.0,0.7285785675048828,88.0,0.210740088224411,329.9292907714844,158.63151581441747,9.930581390245415,0.21524390578269958,180.375,-665.280029296875,0.03409090909090909,16000,0.7818815112113953,0.7520495653152466,321.7241516113281,1583.9892578125,0.4047679603099823
0.017297050171870294,0.3804672658443451,383.0979309082031,685.6134033203125,113.01847767829895,1757.8474325613404,1757.8474325613404,0.17241036891937256,9,1757.8474325613404,0.21113044023513794,705.992919921875,99.0,0.7320684194564819,99.0,0.19697192996740343,375.28106689453125,159.26599233831513,9.379179624074306,0.2436027228832245,180.95959595959596,-767.6972045898438,0.030303030303030304,18000,0.7868457436561584,0.7432599067687988,367.40509033203125,1788.699951171875,0.4028690457344055
0.015350253774398782,0.2320755422115326,437.8220520019531,758.9248046875,125.22755432128906,2133.6059131413886,1919.2833517431286,0.18151581287384033,10,1919.2833517431286,0.21381133794784546,778.8944091796875,109.0,0.7309175133705139,109.0,0.20335788816213607,432.8764953613281,159.709259742366,9.322419410239895,0.24971741437911987,183.22935779816513,-865.4439697265625,0.027522935779816515,20000,0.742290198802948,0.736545205116272,427.23834228515625,2174.94873046875,0.40936869382858276
0.014751292160020392,0.23185527324676514,491.9088134765625,833.67431640625,138.07337498664856,2564.968999258613,2066.0912625916308,0.1917954981327057,11,2066.0912625916308,0.21258193254470825,850.5595703125,120.0,0.7275177240371704,120.0,0.20451895922422408,484.30938720703125,159.3355706857123,9.037492398987535,0.29876717925071716,182.4,-928.553466796875,0.025,22000,0.7292223572731018,0.7808444499969482,478.488525390625,2234.3935546875,0.4113360643386841
