rollout/return,rollout/episode_steps,param_noise_stddev,train/loss_critic,train/loss_actor,reference_perturbed_action_std,AI_success_rate,AI_distance,total/epochs,reference_Q_std,train/param_noise_distance,total/duration,total/episodes,reference_Q_mean,obs_rms_std,rollout/episodes,rollout/Q_mean,reference_perturbed_action_mean,total/steps,reference_action_std,obs_rms_mean,total/steps_per_second,AI_return,rollout/actions_std,reference_actor_Q_mean,reference_actor_Q_std,rollout/return_history,rollout/actions_mean,reference_action_mean
-536.7409712029007,73.17,0.0038883556208891092,183.87644958496094,153.9950714111328,0.8834562301635742,,12.799571017900305,11,57.773529052734375,0.2085190473496914,303.27669191360474,300.0,-224.10568237304688,0.130315363407135,300.0,-137.84840393066406,0.3544309139251709,22000,0.8975511193275452,nan,72.54101810853041,-536.7409712029007,0.7691830992698669,-217.98379516601562,58.076988220214844,-429.6680792650713,0.5256252884864807,0.3617028594017029
-528.7903667831738,74.21052631578948,0.0038117396538467885,375.3713684082031,150.57269287109375,0.8472628593444824,,12.695350257189506,12,65.54141998291016,0.21950904563069343,332.8903579711914,323.0,-223.82278442382812,0.1301458477973938,323.0,-136.49510192871094,0.45562636852264404,24000,0.7699319124221802,nan,72.0958100026345,-528.7903667831738,0.7688292860984802,-217.66038513183594,66.06159210205078,-418.02663151994625,0.5262632369995117,0.585164487361908
-513.2254058968235,73.52974504249292,0.004295163650301133,201.27206420898438,147.18601989746094,0.9195635914802551,,12.789528406311947,13,64.91165161132812,0.19602979794144632,363.064080953598,353.0,-219.89703369140625,0.13031072914600372,353.0,-136.38475036621094,0.3429546356201172,26000,0.8636415004730225,nan,71.61270245106668,-513.2254058968235,0.7698678374290466,-213.0198974609375,64.87240600585938,-382.66320337542106,0.5262429118156433,0.4430771470069885
-509.48359454116456,74.48266666666666,0.00396651156886898,205.75039672851562,149.8352508544922,0.9065812826156616,,12.783866303675783,14,61.25362014770508,0.20624425888061523,393.1773579120636,375.0,-218.74200439453125,0.13008470833301544,375.0,-134.26255798339844,0.35411524772644043,28000,0.9044102430343628,nan,71.21468069446247,-509.48359454116456,0.7651293873786926,-212.78616333007812,60.93361282348633,-380.45104345436283,0.5328594446182251,0.35021573305130005
-506.91706105236955,75.66329113924051,0.0033827254027187976,237.5591278076172,140.84194946289062,0.9082887768745422,,12.737936726638518,15,68.089599609375,0.21483046025037766,422.90379881858826,395.0,-221.00567626953125,0.12977789342403412,395.0,-132.23561096191406,0.298659086227417,30000,0.9079055190086365,nan,70.93811898546933,-506.91706105236955,0.758758008480072,-214.32608032226562,67.23344421386719,-413.6829969078579,0.5366044044494629,0.34500443935394287
-499.38799899782373,75.43632075471699,0.002942845836611657,196.9232177734375,132.4534912109375,0.9422059655189514,,12.778812530969878,16,66.26421356201172,0.21425328359007836,452.5968279838562,424.0,-217.68289184570312,0.13022617995738983,424.0,-132.45455932617188,0.13754971325397491,32000,0.9391362071037292,nan,70.70310267649825,-499.38799899782373,0.7713382244110107,-209.9364013671875,66.43415832519531,-403.5543009108607,0.5155729055404663,0.15386059880256653
-495.10367475070984,76.03355704697987,0.0035908311789358866,254.90968322753906,122.98346710205078,0.9503312706947327,,12.7343609839371,17,71.97383117675781,0.19240674927830695,482.775598526001,447.0,-204.0897979736328,0.12994055449962616,447.0,-130.70022583007812,0.06571481376886368,34000,0.9274242520332336,nan,70.42609465724448,-495.10367475070984,0.7767517566680908,-196.72010803222656,71.18853759765625,-418.3572939439978,0.5057037472724915,0.2651292681694031
-501.73306375355975,77.068669527897,0.0031866803478046105,135.15724182128906,119.73807525634766,0.9362286925315857,,12.704208686476926,18,76.45487976074219,0.21528018325567244,513.6927280426025,466.0,-202.725341796875,0.12966950237751007,466.0,-129.31201171875,0.06065710633993149,36000,0.910548746585846,nan,70.08080518713199,-501.73306375355975,0.7820764183998108,-195.15130615234375,76.88885498046875,-466.6639280456493,0.49513399600982666,0.19078601896762848
-501.45133385351227,77.80327868852459,0.0033160723485136726,163.7197723388672,113.4976577758789,0.8967410922050476,,12.696270544196407,19,76.14190673828125,0.18799946710467338,543.7361900806427,488.0,-197.88681030273438,0.1296042650938034,488.0,-127.84393310546875,0.27946269512176514,38000,0.8967222571372986,nan,69.8868324257838,-501.45133385351227,0.7884259819984436,-190.14219665527344,75.7384033203125,-475.9015312484576,0.48141735792160034,0.2596261203289032
-508.361513133306,78.50884086444007,0.0030623371783898953,161.6574249267578,108.50949096679688,0.9169908165931702,,12.68616807465972,20,72.48056030273438,0.20127404421567918,574.3242421150208,509.0,-199.20645141601562,0.12966017425060272,509.0,-127.28839874267578,0.2647305727005005,40000,0.8870479464530945,nan,69.64706879287387,-508.361513133306,0.7982020378112793,-191.80165100097656,72.6820068359375,-531.8260996706924,0.4616807699203491,0.350074827671051
-497.28796615283585,77.97765363128492,0.0028848601476440124,134.88792419433594,108.20852661132812,0.9116453528404236,,12.71674488993434,21,78.48011016845703,0.21925389945507048,604.6995830535889,537.0,-192.4437255859375,0.13004933297634125,537.0,-126.46416473388672,0.2627526819705963,42000,0.8750585913658142,nan,69.45597645017382,-497.28796615283585,0.8046643137931824,-184.77285766601562,80.13054656982422,-501.6039134136807,0.4490932524204254,0.33088114857673645
-493.35615294900987,78.2153024911032,0.0033827254027187976,116.26280212402344,107.96952819824219,0.9405477643013,,12.69989592858526,22,78.77657318115234,0.19485057562589644,635.4629426002502,562.0,-194.4599609375,0.130095973610878,562.0,-125.88377380371094,0.19522756338119507,44000,0.9163210391998291,nan,69.24085898692447,-493.35615294900987,0.8081667423248291,-187.32931518554688,80.46333312988281,-458.620741062425,0.44209522008895874,0.2140674740076065
