reference_action_mean,train/loss_actor,reference_action_std,total/epochs,total/steps,rollout/actions_mean,rollout/actions_std,reference_actor_Q_mean,total/duration,rollout/return_history,obs_rms_mean,obs_rms_std,total/episodes,reference_Q_std,rollout/episode_steps,reference_actor_Q_std,param_noise_stddev,rollout/episodes,train/param_noise_distance,rollout/return,reference_Q_mean,train/loss_critic,reference_perturbed_action_mean,total/steps_per_second,rollout/Q_mean,reference_perturbed_action_std,AI_distance,AI_return,AI_success_rate
0.1159595474600792,114.65145874023438,0.9708731770515442,1,2000,0.13116130232810974,0.8445168137550354,-114.60270690917969,25.669939517974854,-3196.8713272043315,0.3549783527851105,0.3099628984928131,14.0,156.70713806152344,131.71428571428572,155.89430236816406,0.028447279136688073,14.0,0.1930078538507223,-3196.8713272043315,-117.13320922851562,757.5560302734375,0.022212479263544083,77.91214305742874,-39.87733459472656,0.9633854627609253,15.30040401269782,-3196.8713272043315,
0.17236660420894623,179.87188720703125,0.9639685153961182,2,4000,0.23437371850013733,0.8599628806114197,-193.5774383544922,50.99351978302002,-2305.98354919387,0.39075925946235657,0.311108261346817,27.0,364.9702453613281,144.8148148148148,361.7967529296875,0.01988251313764228,27.0,0.19054277904331685,-2305.98354919387,-200.82180786132812,1309.732421875,0.14857357740402222,78.44133954706794,-112.07648468017578,0.9572970271110535,14.018057373630793,-2305.98354919387,
0.5151656270027161,257.5672302246094,0.8274837136268616,3,6000,0.2797342836856842,0.8700831532478333,-309.7344970703125,76.73830032348633,-2044.4257360483118,0.4082091152667999,0.31228384375572205,39.0,513.73828125,151.48717948717947,510.51055908203125,0.0156587938752642,39.0,0.20979683041572572,-2044.4257360483118,-321.81805419921875,1151.7000732421875,0.6332168579101562,78.18781462069542,-122.51382446289062,0.7387505173683167,14.127581313525942,-2044.4257360483118,
0.5268750190734863,252.44195556640625,0.8090841770172119,4,8000,0.3520751893520355,0.8480526804924011,-339.26190185546875,102.7814621925354,-1814.590712166115,0.4155102074146271,0.3025399148464203,47.0,627.0423583984375,166.59574468085106,622.302978515625,0.014175701821503062,47.0,0.21516815215349197,-1814.590712166115,-356.267333984375,1016.2365112304688,0.5468680262565613,77.83504757904687,-132.17930603027344,0.7793426513671875,14.238361107980676,-1814.590712166115,
0.15001270174980164,131.18930053710938,0.9423825144767761,5,10000,0.39480727910995483,0.8321277499198914,-288.695068359375,128.26713466644287,-1629.9851510329534,0.4155406653881073,0.2995774447917938,56.0,643.1703491210938,174.08928571428572,628.02734375,0.012833077932624282,56.0,0.1991749632358551,-1629.9851510329534,-319.3694763183594,4723.37060546875,0.17240461707115173,77.96229350569715,-102.19073486328125,0.9384979605674744,13.728749713287703,-1629.9851510329534,
0.1376873105764389,-19.157419204711914,0.9571394920349121,6,12000,0.40524739027023315,0.8295938372612,-175.99594116210938,154.67647743225098,-1368.3458389197872,0.4092605412006378,0.299252450466156,68.0,648.6590576171875,173.5735294117647,633.8922119140625,0.01161761804096316,68.0,0.19446392148733138,-1368.3458389197872,-206.63375854492188,3499.481201171875,0.1621341109275818,77.58128578572044,-65.52922821044922,0.9404966831207275,13.202683625902054,-1368.3458389197872,
0.17839264869689941,-86.7046127319336,0.9581659436225891,7,14000,0.41401010751724243,0.8282067775726318,-72.86180877685547,180.38423538208008,-1083.1323662762645,0.4053342938423157,0.3010409474372864,81.0,717.3097534179688,172.60493827160494,706.53173828125,0.010517278057089798,81.0,0.21060261264443397,-1083.1323662762645,-103.99526977539062,1952.350830078125,0.2136797308921814,77.61210379801739,-43.335044860839844,0.9551935195922852,12.629888666504485,-1083.1323662762645,
0.07898695766925812,-168.05599975585938,0.9583358764648438,8,16000,0.4060584008693695,0.8326338529586792,16.768966674804688,205.9563591480255,-740.8151862526108,0.4016444981098175,0.30198684334754944,93.0,770.2749633789062,170.94623655913978,762.7553100585938,0.010106897490323717,93.0,0.18941644981503486,-740.8151862526108,-14.670700073242188,2552.6376953125,0.13316567242145538,77.68636067459532,-3.4462461471557617,0.959038496017456,12.447926669048325,-740.8151862526108,
0.013077501207590103,-337.1610107421875,0.9794687628746033,9,18000,0.4058680236339569,0.8357849717140198,100.69839477539062,231.81916284561157,-481.7040858392022,0.39773520827293396,0.29923200607299805,102.0,836.3754272460938,175.2450980392157,824.93408203125,0.010106897490323717,102.0,0.20025668874382974,-498.01938367488486,68.52066802978516,2442.1513671875,-0.004108702763915062,77.64673023164939,48.82169723510742,0.9705721735954285,11.944071558393984,-498.01938367488486,0.00980392156862745
0.08687162399291992,-497.7523193359375,0.9576830267906189,10,20000,0.40704166889190674,0.8337310552597046,177.51783752441406,257.53032970428467,214.03789135863596,0.3979437053203583,0.29638954997062683,111.0,895.3324584960938,178.7927927927928,885.2025146484375,0.009333550263662541,111.0,0.21139312356710435,-175.8315429014979,142.59800720214844,3282.292236328125,0.09363173693418503,77.66075562037868,119.49130249023438,0.9562362432479858,11.513640500220527,-175.8315429014979,0.018018018018018018
0.048990607261657715,-562.4802856445312,0.9636481404304504,11,22000,0.411812424659729,0.8288077116012573,253.9129638671875,282.82144355773926,469.1514961991746,0.39755815267562866,0.29366183280944824,122.0,949.5844116210938,179.81147540983608,944.0154418945312,0.00896935834762211,122.0,0.20628306925296783,-20.136609125881492,217.67349243164062,10509.6376953125,0.08101344108581543,77.78759532251875,188.0394287109375,0.9587189555168152,11.259264576188256,-20.136609125881492,0.02459016393442623
0.0889497920870781,-761.6251831054688,0.9579409956932068,12,24000,0.40645456314086914,0.8291935324668884,338.4084777832031,308.1039102077484,913.2822720160042,0.39669060707092285,0.29059869050979614,129.0,1097.331787109375,185.8294573643411,1090.451416015625,0.008449541294664952,129.0,0.20414453387260437,79.17663624137583,311.21630859375,3557.379638671875,0.05758361518383026,77.89579815399705,230.00685119628906,0.9601598978042603,11.186518580525727,79.17663624137583,0.023255813953488372
0.1663871556520462,-929.3954467773438,0.9440120458602905,13,26000,0.40147367119789124,0.8314693570137024,422.73553466796875,333.73438835144043,877.6409254132268,0.3962891101837158,0.2890539765357971,138.0,1236.41552734375,186.6014492753623,1229.4195556640625,0.009521154623962158,138.0,0.18974073097109795,65.74326947530231,388.3783264160156,9007.501953125,0.18474112451076508,77.90626590335242,288.7675476074219,0.9435768723487854,11.380231950455515,65.74326947530231,0.021739130434782608
0.2941294014453888,-1072.932861328125,0.9155896306037903,14,28000,0.4056437611579895,0.8294790387153625,592.97412109375,359.1566982269287,969.8952852996163,0.3953004777431488,0.28852272033691406,149.0,1335.453857421875,187.3758389261745,1338.26318359375,0.008283051950460692,149.0,0.20449751138687133,86.04954556725603,545.576171875,5900.26123046875,0.1981116235256195,77.96040039968445,329.46185302734375,0.9419622421264648,11.332515370925323,86.04954556725603,0.020134228187919462
0.1646871119737625,-1117.1859130859375,0.9434200525283813,15,30000,0.40355196595191956,0.8296769261360168,786.880126953125,384.8857123851776,1391.159208414412,0.39457055926322937,0.2871081233024597,157.0,1479.192138671875,189.64968152866243,1477.324951171875,0.007803009623294559,157.0,0.206049867272377,317.1611523066555,740.5958251953125,13001.0224609375,0.09687662869691849,77.94521603331756,408.7353515625,0.9528033137321472,11.095190424135788,317.1611523066555,0.01910828025477707
0.1837204545736313,-1252.4754638671875,0.9512616991996765,16,32000,0.3837830722332001,0.8390355110168457,871.203857421875,410.7785851955414,1437.7351961032568,0.3928893208503723,0.28786012530326843,165.0,1541.075439453125,193.7030303030303,1532.83837890625,0.007649259507199841,165.0,0.20219173803925514,315.89494301573563,826.5831909179688,8287.083984375,0.12200833857059479,77.90084769089694,448.4075012207031,0.9584832787513733,11.066632655775846,315.89494301573563,0.01818181818181818
0.17601534724235535,-1334.9527587890625,0.9509361386299133,17,34000,0.38297128677368164,0.8385134339332581,924.190673828125,436.9549663066864,1649.8226135915875,0.3931869566440582,0.28685909509658813,173.0,1547.570068359375,195.77456647398844,1538.0032958984375,0.00795985011672278,173.0,0.20329012721776962,347.6614969531974,883.989013671875,4929.55078125,0.17500123381614685,77.8112222579394,519.0486450195312,0.9351650476455688,10.927410404948901,347.6614969531974,0.017341040462427744
0.10307684540748596,-1445.9652099609375,0.972167432308197,18,36000,0.38172584772109985,0.8396251201629639,1017.8292846679688,462.76900911331177,1572.4856021667094,0.3922969698905945,0.285524845123291,182.0,1568.8057861328125,196.41758241758242,1562.2705078125,0.007803009623294559,182.0,0.2066519257426262,418.35789453502724,969.3408813476562,5255.28857421875,0.14025457203388214,77.79259045236796,568.382080078125,0.9638909101486206,10.815521120968821,418.35789453502724,0.016483516483516484
0.2539628744125366,-1491.39453125,0.9226372241973877,19,38000,0.38552090525627136,0.838666558265686,1065.163818359375,489.42208337783813,1393.2946992011907,0.39221906661987305,0.28467440605163574,190.0,1600.9708251953125,198.21052631578948,1595.355712890625,0.008119843104068908,190.0,0.19914049416780472,330.39976510649325,1016.7977294921875,19351.458984375,0.25709062814712524,77.64259376637827,590.1264038085938,0.9197375178337097,10.83556756515655,330.39976510649325,0.015789473684210527
0.3014659285545349,-1488.7308349609375,0.9179432988166809,20,40000,0.3751102685928345,0.8429527282714844,1140.2772216796875,515.0041558742523,1240.2648312694162,0.3929256498813629,0.2853669822216034,197.0,1652.988037109375,202.55329949238578,1643.4471435546875,0.00795985011672278,197.0,0.19501965135335922,324.1070226913706,1087.93603515625,7884.65576171875,0.3033110201358795,77.66927614806808,609.765625,0.9152166843414307,10.891049822102577,324.1070226913706,0.015228426395939087
0.29898515343666077,-1511.5272216796875,0.9083750247955322,21,42000,0.3787696361541748,0.8418128490447998,1195.0316162109375,539.8467354774475,1062.2684226340325,0.39170289039611816,0.28537559509277344,208.0,1689.239501953125,201.86057692307693,1678.6043701171875,0.00735078803626736,208.0,0.20151591554284096,381.1303938053931,1154.6605224609375,7940.85888671875,0.2271728664636612,77.79985918198551,653.7843627929688,0.9320252537727356,10.767072144697387,381.1303938053931,0.014423076923076924
0.290702760219574,-1635.0306396484375,0.9135293364524841,22,44000,0.37869611382484436,0.841341495513916,1226.930908203125,565.5304806232452,1212.8032450985675,0.3926175534725189,0.284957617521286,216.0,1683.294189453125,203.22222222222223,1675.4307861328125,0.00735078803626736,216.0,0.2021082717180252,480.9791670023501,1183.133056640625,3036.812744140625,0.21256974339485168,77.80305661245636,714.5467529296875,0.9407232999801636,10.73570966510526,480.9791670023501,0.013888888888888888
0.268407940864563,-1708.201416015625,0.9241101741790771,23,46000,0.3791090250015259,0.8411298394203186,1218.2808837890625,590.786541223526,1084.6824263645028,0.39241138100624084,0.2840549647808075,224.0,1716.7216796875,204.69196428571428,1713.7408447265625,0.007063962819312372,224.0,0.19499113857746125,553.9649303135633,1184.847900390625,9349.228515625,0.5007116794586182,77.86230184718401,754.9944458007812,0.8362377285957336,10.648425761418006,553.9649303135633,0.013392857142857142
0.25564855337142944,-1684.48388671875,0.9318442344665527,24,48000,0.37933847308158875,0.8412899374961853,1219.7374267578125,617.0415861606598,1338.1292597674528,0.39141204953193665,0.2830579876899719,233.0,1756.4150390625,204.8068669527897,1756.45068359375,0.006924774844929294,233.0,0.19982996329665184,603.4465290030115,1179.0174560546875,5525.666015625,0.30735811591148376,77.7905429335231,778.6146850585938,0.8995950222015381,10.487360917208559,603.4465290030115,0.012875536480686695
0.31627508997917175,-1724.63525390625,0.9150868058204651,25,50000,0.37739649415016174,0.8431510925292969,1228.8916015625,642.76904463768,1665.4771758462064,0.392585813999176,0.2836223542690277,243.0,1802.119873046875,205.2962962962963,1793.542724609375,0.00795985011672278,243.0,0.20096438780426978,730.3887887838891,1188.9302978515625,9775.71484375,0.2529548406600952,77.78843803560002,816.0335083007812,0.9295626282691956,10.482114141041457,730.3887887838891,0.012345679012345678
0.2388043999671936,-1673.3946533203125,0.9384740591049194,26,52000,0.3806012272834778,0.8414930701255798,1340.89501953125,668.1869344711304,1337.9579432466448,0.3914458155632019,0.2826966643333435,253.0,1835.434814453125,205.52964426877472,1829.051513671875,0.007498538875796335,253.0,0.1995912352204323,683.3241178950522,1298.806396484375,12762.62109375,0.22016099095344543,77.8225333621017,822.43359375,0.936745285987854,10.388976143606097,683.3241178950522,0.011857707509881422
