rollout/actions_std,obs_rms_std,AI_return,obs_rms_mean,train/param_noise_distance,reference_actor_Q_mean,reference_action_std,train/loss_critic,AI_success_rate,rollout/Q_mean,reference_Q_std,total/epochs,rollout/episode_steps,reference_perturbed_action_std,total/steps_per_second,param_noise_stddev,rollout/return,reference_action_mean,total/episodes,AI_distance,reference_Q_mean,reference_actor_Q_std,rollout/actions_mean,total/duration,total/steps,reference_perturbed_action_mean,rollout/return_history,rollout/episodes,train/loss_actor
0.8161856532096863,0.18858177959918976,-1995.138540923244,0.47145572304725647,0.22240531608462333,-117.1711196899414,0.9888983368873596,295.6709289550781,,-46.50153350830078,84.32412719726562,1,150.76923076923077,0.9388574361801147,74.72047500107868,0.03612049597631192,-1995.138540923244,0.06272832304239273,13.0,14.411835973219988,-123.30009460449219,81.08377075195312,0.368569940328598,26.766425132751465,2000,0.16569551825523376,-1995.138540923244,13.0,112.60089874267578
0.87020343542099,0.1982850879430771,-2616.521572857981,0.4426688253879547,0.22930689305067062,-197.17742919921875,0.9819679856300354,825.58837890625,,-77.5036392211914,153.41578674316406,2,160.375,0.9679909944534302,66.2471729766915,0.0247480794341294,-2616.521572857981,0.030293095856904984,24.0,15.530648829973755,-203.01095581054688,152.72412109375,0.36020922660827637,60.37993502616882,4000,0.04631756991147995,-2616.521572857981,24.0,182.9804229736328
0.9278765320777893,0.1889331340789795,-2325.8606134576453,0.43952062726020813,0.21300279147922993,-260.7853698730469,0.9862896203994751,835.7501831054688,,-128.70542907714844,203.2455291748047,3,161.52777777777777,0.9888805150985718,64.85068949435835,0.03269941380439556,-2325.8606134576453,0.027352051809430122,36.0,15.228765383256368,-268.296875,197.8343048095703,0.2431337535381317,92.52021908760071,6000,0.007754303980618715,-2325.8606134576453,36.0,260.6544494628906
0.9449101090431213,0.1856594830751419,-2459.839036178624,0.4559609591960907,0.1890853798761964,-281.7513427734375,0.9882575273513794,1027.9979248046875,,-165.5590362548828,237.5526123046875,4,162.71428571428572,0.9798823595046997,65.6691204135383,0.014751292160020392,-2459.839036178624,0.09359518438577652,49.0,15.52749001010043,-287.8331604003906,231.9650421142578,0.18850553035736084,121.82285904884338,8000,0.0743086189031601,-2459.839036178624,49.0,314.3817443847656
0.94789057970047,0.1875096559524536,-2764.7969634781457,0.45829787850379944,0.19567989312112333,-336.55914306640625,0.9811068773269653,1161.90625,,-207.71145629882812,270.66278076171875,5,169.68965517241378,0.9755669236183167,65.56909374613076,0.01662212523270047,-2764.7969634781457,0.10569325089454651,58.0,15.725839348902348,-339.8720703125,265.7194519042969,0.1874694526195526,152.51087713241577,10000,0.08988174051046371,-2764.7969634781457,58.0,379.892822265625
0.9524625539779663,0.18127262592315674,-2716.643596532071,0.47487711906433105,0.20488689988851547,-340.1458740234375,0.9423132538795471,2483.8603515625,,-261.7336730957031,333.5696105957031,6,165.14084507042253,0.9565444588661194,65.27708955876871,0.0136225708197137,-2716.643596532071,0.2511347532272339,71.0,16.20910674838006,-344.78955078125,331.0503234863281,0.16402506828308105,183.831725358963,12000,0.23733913898468018,-2716.643596532071,71.0,430.0891418457031
0.9530264139175415,0.17812754213809967,-2671.6336977721803,0.4767336845397949,0.2056141896545887,-382.36541748046875,0.9626893997192383,2666.750732421875,,-283.3013000488281,377.74249267578125,7,166.90361445783134,0.9520043730735779,64.13981299765142,0.010106897490323717,-2671.6336977721803,0.014182334765791893,83.0,16.168288317362585,-388.3016052246094,374.7915344238281,0.17201031744480133,218.27316522598267,14000,0.07381211221218109,-2671.6336977721803,83.0,459.2787780761719
0.9510906934738159,0.1847526580095291,-2846.2929302367597,0.47573670744895935,0.21631875932216643,-423.79315185546875,0.896522045135498,2952.12060546875,,-323.5218200683594,405.54302978515625,8,173.16304347826087,0.8873030543327332,64.93758499791336,0.009907751681525063,-2846.2929302367597,0.3438321053981781,92.0,16.281358260673404,-432.357666015625,401.690185546875,0.17518185079097748,246.3904378414154,16000,0.34305787086486816,-2846.2929302367597,92.0,495.2052307128906
0.9474017024040222,0.1909264475107193,-2834.4099442986244,0.47592249512672424,0.1940309326350689,-479.9201965332031,0.851523220539093,2639.95654296875,,-354.9657287597656,423.0648498535156,9,172.10576923076923,0.8483729362487793,65.06601243401423,0.00896935834762211,-2834.4099442986244,0.43226781487464905,104.0,16.26530871218404,-491.29925537109375,415.9089050292969,0.19559140503406525,276.64212584495544,18000,0.4359248876571655,-2795.4557651432037,104.0,549.305419921875
0.9503521919250488,0.19488036632537842,-2997.460925763871,0.4759708344936371,0.20387995272874831,-454.11834716796875,0.860119640827179,2952.689697265625,,-392.52447509765625,435.6956787109375,10,174.75892857142858,0.8690685629844666,65.62055192736024,0.008119843104068908,-2997.460925763871,0.42659008502960205,112.0,16.54028792022833,-462.3564147949219,433.6377868652344,0.1722433865070343,304.7825629711151,20000,0.39317506551742554,-3120.8921230219116,112.0,513.3677368164062
