obs_rms_mean,total/duration,total/epochs,reference_actor_Q_mean,reference_Q_std,rollout/Q_mean,obs_rms_std,reference_perturbed_action_std,train/loss_critic,train/param_noise_distance,rollout/actions_std,rollout/episodes,AI_distance,AI_return,total/steps,reference_perturbed_action_mean,rollout/return,total/steps_per_second,rollout/actions_mean,reference_action_std,rollout/return_history,rollout/episode_steps,AI_success_rate,reference_Q_mean,total/episodes,train/loss_actor,reference_action_mean,reference_actor_Q_std,param_noise_stddev
0.525456964969635,18.3021821975708,1,-47.88749313354492,53.23940658569336,-23.59494400024414,0.17012953758239746,0.9411879777908325,91.5422134399414,0.19134182646870612,0.8871535062789917,11.0,15.871408091755567,-1017.6943497421784,2000,-0.10435150563716888,-1017.6943497421784,109.27658671573353,-0.23356866836547852,0.9846706986427307,-1017.6943497421784,161.54545454545453,,-51.043052673339844,11.0,41.23542022705078,0.1398100107908249,52.0900764465332,0.05377849649835009
0.5046481490135193,35.56091594696045,2,-63.019309997558594,88.67619323730469,-3.8987162113189697,0.2179318219423294,0.8605899214744568,255.16171264648438,0.17221239008009434,0.9459911584854126,26.0,11.721131834844698,724.7560750768916,4000,0.48406508564949036,724.7560750768916,112.48304194318419,0.07203859090805054,0.8779999017715454,724.7560750768916,152.1153846153846,,-79.81303405761719,26.0,-8.104155540466309,0.47237712144851685,83.76869201660156,0.0516800780907524
0.5137027502059937,54.46478533744812,3,69.17579650878906,80.58396911621094,53.674896240234375,0.2153375744819641,0.8621641397476196,131.84034729003906,0.29710457801586015,0.936996579170227,38.0,10.569679417984167,1500.4278855511882,6000,0.49280086159706116,1500.4278855511882,110.16292385668517,0.19650347530841827,0.8660250306129456,1500.4278855511882,153.21052631578948,,49.574302673339844,38.0,-179.81578063964844,0.4999995231628418,86.0587387084961,0.14838458355742476
0.5240523219108582,71.1966061592102,4,133.05880737304688,132.14353942871094,126.65264129638672,0.21428756415843964,0.8577998280525208,855.6719360351562,0.21603841905598528,0.9286507964134216,51.0,9.918357223322934,2060.2957694174656,8000,0.47701144218444824,2060.2957694174656,112.36490658150699,0.26164159178733826,0.8660253286361694,2060.2957694174656,155.4313725490196,,115.02973175048828,51.0,-329.8299255371094,0.49999985098838806,140.90121459960938,0.14838458355742476
0.5103196501731873,88.43829417228699,5,258.4286193847656,178.12596130371094,187.82362365722656,0.22117049992084503,0.8648248314857483,936.879150390625,0.3016256526950747,0.9194280505180359,66.0,9.260010355034582,2112.6800546855006,10000,0.49894222617149353,2112.6800546855006,113.07318954523208,0.2983640134334564,0.8660253882408142,2112.6800546855006,149.62121212121212,,237.34591674804688,66.0,-508.1948547363281,0.4999999701976776,188.25840759277344,0.1397849899254517
0.5051559805870056,106.68389010429382,6,321.778564453125,212.04360961914062,258.9574279785156,0.22101850807666779,0.8643040657043457,810.076904296875,0.2876517085696105,0.9153406620025635,81.0,8.922190528786746,2190.5541469420314,12000,0.49691975116729736,2190.5541469420314,112.48183758830729,0.32089781761169434,0.8660253882408142,2190.5541469420314,147.06172839506172,,307.455810546875,81.0,-651.7793579101562,0.5,216.892578125,0.14259466822295327
0.5062208771705627,122.36301159858704,7,428.9510498046875,250.5779266357422,335.47821044921875,0.21971334517002106,0.8651013970375061,1277.505126953125,0.24397304647252896,0.9101945161819458,95.0,8.788177297863214,2289.171631864753,14000,0.486514687538147,2289.171631864753,114.4136599540973,0.3331114649772644,0.8660253882408142,2289.171631864753,147.29473684210527,,407.7194519042969,95.0,-763.3419799804688,0.5,257.44952392578125,0.16067924131698758
0.4967733323574066,139.61332082748413,8,504.69207763671875,273.07940673828125,396.1080017089844,0.21984566748142242,0.9184262156486511,1049.3121337890625,0.32140331810573114,0.9075527191162109,109.0,8.488383806576872,2298.673734078182,16000,0.2216077744960785,2298.673734078182,114.60224500906118,0.34471893310546875,0.8660253882408142,2603.6810350945443,146.11926605504587,,488.80389404296875,109.0,-864.8621826171875,0.5,273.6895446777344,0.1575132254847442
0.49238529801368713,156.56195735931396,9,591.9718017578125,288.44403076171875,454.4915466308594,0.2174644023180008,0.8581425547599792,602.6536254882812,0.2168892912555748,0.9018973112106323,123.0,8.305850853383483,2334.2045027846007,18000,0.47274506092071533,2334.2045027846007,114.97045836422132,0.3593972623348236,0.8660253882408142,2827.3458181258256,146.3008130081301,,567.4432373046875,123.0,-970.8903198242188,0.5,287.3265686035156,0.16067924131698758
0.49154821038246155,174.10221219062805,10,621.245361328125,304.1843566894531,522.3927001953125,0.21296948194503784,0.8534170389175415,719.0888061523438,0.24685138829987407,0.8987517356872559,134.0,8.083631053316406,2409.041746789487,20000,0.4993217885494232,2409.041746789487,114.8750481016381,0.36863550543785095,0.8660253882408142,2782.475732764333,148.52985074626866,,600.217041015625,134.0,-1057.3282470703125,0.5,302.4493103027344,0.1575132254847442
0.4904557764530182,190.0827956199646,11,736.7591552734375,390.3415222167969,570.4558715820312,0.2124687284231186,0.8913910984992981,445.56365966796875,0.199497349858284,0.8978342413902283,147.0,7.986848634159863,2447.9306102522987,22000,0.2948576509952545,2447.9306102522987,115.7390384976499,0.3708791732788086,0.8823761940002441,2686.9933683394192,148.99319727891157,,711.230224609375,147.0,-1136.21533203125,0.38472485542297363,388.9277038574219,0.028447279136688076
