train/param_noise_distance,reference_perturbed_action_std,obs_rms_mean,reference_action_mean,rollout/episode_steps,train/loss_critic,rollout/actions_mean,total/episodes,AI_return,reference_actor_Q_mean,total/steps_per_second,AI_success_rate,rollout/Q_mean,total/steps,reference_action_std,reference_perturbed_action_mean,reference_actor_Q_std,rollout/return_history,obs_rms_std,rollout/actions_std,train/loss_actor,AI_distance,reference_Q_std,reference_Q_mean,rollout/episodes,rollout/return,total/epochs,param_noise_stddev,total/duration
0.18600455939769744,0.8463174104690552,0.4565325975418091,0.11969821155071259,195.3,8142.58642578125,0.24033866822719574,10.0,5841.725640509655,2471.751220703125,113.07958252124496,0.3,2582.9140625,2000,0.9154903888702393,0.06835427135229111,950.1476440429688,5841.725640509655,0.5972537398338318,0.7896527647972107,-2608.7705078125,4.7396495588128005,948.0142822265625,2460.974609375,10.0,5841.725640509655,1,0.009907751681525063,17.68665885925293
0.19476325646042825,0.8809913992881775,0.4565291404724121,0.1011396050453186,168.1304347826087,2718.4306640625,0.23326285183429718,23.0,3988.328512154128,2562.1064453125,116.59456410435602,0.17391304347826086,2371.19775390625,4000,0.8718982338905334,0.06862372905015945,1001.8740234375,3988.328512154128,0.597009003162384,0.8198448419570923,-2401.54150390625,6.172521664012735,1003.6220092773438,2553.07666015625,23.0,3988.328512154128,2,0.009333550263662541,34.3069167137146
0.1967678526043892,0.866220235824585,0.45655056834220886,0.17847758531570435,161.97222222222223,2041.87841796875,0.2764284312725067,36.0,3685.3112643193235,2591.51025390625,111.14853727903889,0.1111111111111111,2271.224365234375,6000,0.8459440469741821,0.1453428864479065,1022.6588745117188,3685.3112643193235,0.5967422127723694,0.8268417119979858,-2279.262451171875,6.488848702073865,1023.1909790039062,2584.87841796875,36.0,3685.3112643193235,3,0.008792626553888941,53.98181700706482
0.21045328468084334,0.8408344984054565,0.4565015733242035,0.22553293406963348,170.7173913043478,2471.329345703125,0.28354158997535706,46.0,3707.7899941610394,2570.0732421875,110.75424714409868,0.10869565217391304,2207.75830078125,8000,0.8139047026634216,0.1959591954946518,1039.79833984375,3707.7899941610394,0.5965107679367065,0.8165668845176697,-2193.027587890625,6.052393866719718,1039.275390625,2565.0068359375,46.0,3707.7899941610394,4,0.008449541294664952,72.2319929599762
0.21125888884067534,0.8495779633522034,0.45652782917022705,0.17620186507701874,171.72413793103448,2430.24853515625,0.28909435868263245,58.0,3769.719413099346,2589.85302734375,111.6656530295434,0.13793103448275862,2195.710693359375,10000,0.8601875901222229,0.18463444709777832,1057.781005859375,3769.719413099346,0.5962486267089844,0.8162060976028442,-2183.265625,5.833624890310578,1058.509033203125,2584.314208984375,58.0,3769.719413099346,5,0.007649259507199841,89.55305171012878
0.2035755345225334,0.8562212586402893,0.4565286636352539,0.1735129952430725,174.48529411764707,1949.0914306640625,0.27953216433525085,68.0,3810.9215841871737,2586.619384765625,110.28228158186337,0.14705882352941177,2205.442626953125,12000,0.8454458713531494,0.16407346725463867,1064.5753173828125,3810.9215841871737,0.5960012674331665,0.8154550790786743,-2192.33447265625,5.595780969133607,1062.1494140625,2579.89892578125,68.0,3810.9215841871737,6,0.00735078803626736,108.81167697906494
0.20624003797769547,0.8526409268379211,0.4565732479095459,0.17610901594161987,180.11688311688312,1287.5001220703125,0.27852874994277954,77.0,4010.1820639525154,2582.4521484375,109.32674212130176,0.15584415584415584,2218.10595703125,14000,0.8523561358451843,0.1733292192220688,1088.7384033203125,4010.1820639525154,0.5957494378089905,0.8128082156181335,-2211.7626953125,5.3542935511325025,1087.2569580078125,2576.0517578125,77.0,4010.1820639525154,7,0.00735078803626736,128.0565004348755
0.2089464458823204,0.8699748516082764,0.4566318094730377,0.14865732192993164,182.2183908045977,1099.843505859375,0.2798323333263397,87.0,4063.58205926743,2602.818115234375,109.23099732725244,0.13793103448275862,2215.977294921875,16000,0.8587591648101807,0.1227039024233818,1104.515380859375,4063.58205926743,0.5954857468605042,0.8135186433792114,-2181.51806640625,5.156496221730051,1104.7113037109375,2595.9365234375,87.0,4063.58205926743,8,0.00735078803626736,146.47856736183167
0.2063753667473793,0.851191520690918,0.4565870761871338,0.16572339832782745,187.15625,1000.37451171875,0.29164624214172363,96.0,3833.699529997322,2615.63232421875,109.49898154052656,0.13541666666666666,2142.03076171875,18000,0.8400636315345764,0.15096814930438995,1111.386962890625,3833.699529997322,0.5952423214912415,0.8121443390846252,-2153.394287109375,5.55516300308305,1111.0716552734375,2607.6494140625,96.0,3833.699529997322,9,0.00678832942351661,164.38509058952332
0.20286644965410233,0.8343826532363892,0.4565664529800415,0.18982061743736267,185.78504672897196,1918.6619873046875,0.29286083579063416,107.0,3824.0272943247182,2621.91064453125,109.4501627589145,0.14018691588785046,2143.18505859375,20000,0.8456920981407166,0.1693933755159378,1107.477783203125,3623.290433142864,0.5949965119361877,0.8110081553459167,-2112.5224609375,5.42749302175728,1107.043701171875,2613.54052734375,107.0,3824.0272943247182,10,0.007205948471980551,182.73156929016113
0.19321621239185333,0.8680269718170166,0.4565894901752472,0.1751171201467514,187.8793103448276,989.277099609375,0.2883175313472748,116.0,3888.1582306301893,2633.724609375,109.83939823466523,0.15517241379310345,2150.463623046875,22000,0.8503036499023438,0.1335470974445343,1108.4688720703125,3751.947010037881,0.5947335362434387,0.810871958732605,-2125.904296875,5.187087538231266,1106.8919677734375,2626.07275390625,116.0,3888.1582306301893,11,0.00735078803626736,200.2924301624298
