#{"env_id": null, "t_start": 1519442056.705573}
r,l,t
-785.022624,87,2.367352
1085.460071,289,6.371507
-1597.921186,156,8.719946
-773.032528,125,9.981569
-1371.082192,115,11.438126
-50,1,11.446304
-7387.122342,211,14.023661
-1323.592372,329,18.756298
-5921.010026,317,23.652138
-1608.298199,126,24.964331
-1283.919451,115,26.386506
-581.680253,78,27.643186
1327.417677,142,29.302929
-544.068547,218,32.975139
-127.072324,126,34.797816
-1099.606904,88,35.977926
-6443.621931,250,38.764841
-3075.683206,142,41.171951
672.264796,195,44.081335
-4964.981287,218,47.866647
-206.112051,128,49.748211
-7765.32454,368,56.202393
-5291.268493,244,60.304246
1714.806799,368,66.261145
2358.78065,122,67.808369
-4399.52686,197,70.25102
-5808.478476,257,73.964302
-2007.96689,345,78.006735
-2478.714017,169,80.858945
5941.466761,318,86.741955
-2024.057563,169,90.176435
1015.978519,131,91.437161
-1933.042055,235,95.10489
-8052.510858,760,109.579071
2021.283134,230,113.903646
5166.669383,188,117.280267
-106.171818,40,117.439844
2254.172383,162,121.341655
1534.039885,112,123.057528
-114.644235,77,124.693818
585.08697,162,128.480946
4655.485691,171,130.606627
1711.303301,178,133.32132
179.924127,67,134.662191
-8565.330239,257,137.646449
-5130.210539,390,143.298149
769.366143,127,144.953621
4362.026546,214,150.518011
1461.331929,152,152.509821
1009.600403,103,154.632722
858.101434,133,157.674434
-1214.806079,148,159.445085
1468.835458,129,161.02748
272.821116,192,164.257451
1709.169248,208,167.416647
-9014.738472,411,173.725418
3537.562421,145,177.013384
-2283.479453,226,180.056477
-3058.489337,421,186.283155
2910.440559,192,189.541782
2681.303263,166,192.919315
2125.925372,208,196.07329
3355.673245,164,198.92145
1202.8497,142,200.443802
701.86398,279,204.832557
37.12585,155,206.391717
-2810.151649,251,210.861657
-8879.570752,318,215.678237
-1046.361959,205,218.620807
-10910.516143,277,223.147377
1317.315849,168,226.052794
1026.465324,151,227.652907
4286.94033,151,230.723833
4566.261772,174,232.417212
2020.519428,127,235.327066
4833.672109,215,238.383269
4516.547845,177,241.352192
3758.331616,169,242.949925
-345.168739,54,244.35065
5947.052893,173,245.962394
3523.984326,283,250.489666
-770.829285,113,252.254598
309.694792,246,256.64169
4830.888596,162,259.558125
256.303753,134,261.106783
-1082.231228,213,264.150092
988.687885,139,265.752383
2425.865664,114,268.659482
3398.641733,218,271.66599
5545.078081,198,274.614156
1489.417784,128,276.165207
-629.748937,138,277.82453
2530.093037,178,280.826603
4762.909968,171,284.073439
4912.048922,158,285.702601
2917.946725,139,288.652202
2156.273369,180,291.556741
2763.255702,127,293.146961
613.868722,113,294.653926
5469.710688,182,297.565515
178.631641,153,299.158398
11.217892,136,302.089005
2885.752565,160,303.63977
-231.111593,141,306.255233
3081.031465,138,307.560979
455.073348,139,308.851966
2411.76368,156,311.6287
1881.992254,172,314.344836
3109.997316,202,316.814207
1981.319931,144,318.115012
1858.16835,208,321.721632
3584.604855,130,324.101729
4795.201899,179,325.514025
2212.04824,149,329.411601
136.567263,81,331.170394
-92.003446,33,331.256865
1038.363661,104,333.294849
476.783616,135,335.221082
96.999725,122,337.814315
3145.097165,131,339.224885
3486.682972,157,341.830233
-480.9727,370,346.440447
672.957898,115,347.884264
3678.474102,182,350.891569
1824.602124,160,354.198037
1684.349773,201,357.293275
1499.340761,149,358.906235
1128.82775,117,360.514091
851.381241,107,363.388675
2227.757536,168,364.995031
477.55215,159,367.94233
2527.614521,129,369.49859
1138.041647,132,371.055559
2437.661634,159,374.253922
5029.051833,180,377.213533
2512.007475,152,378.807727
923.92066,151,381.782707
-423.588169,158,383.640462
3896.696103,170,386.570998
-1056.102412,188,389.625599
3742.539839,146,391.308437
5566.246319,192,394.451401
1840.587509,183,397.407086
2236.658869,177,400.494362
1256.707983,124,402.080457
4378.574936,166,405.916426
-378.851121,144,407.572834
2275.86,116,409.101659
1665.391096,114,411.969648
5452.138109,214,415.305124
-2127.751238,206,418.364477
-162.321663,185,421.370107
-37.268552,199,424.457259
2574.23152,142,426.058715
1418.116825,94,427.577234
2366.794048,110,429.122615
5429.422143,188,432.145216
1334.388133,142,433.741698
2092.220896,150,436.988398
1949.779928,156,438.607956
2403.189399,151,441.534402
-310.20208,149,443.1265
24.210218,70,444.628418
3584.895834,181,447.627694
1144.798071,115,449.184916
1361.99424,224,452.313505
1704.495855,164,455.310254
3645.9019,152,458.323983
-4427.156746,395,463.226846
3209.819666,249,468.120885
600.466164,118,469.647771
3993.845401,163,472.863959
-2801.243242,169,474.479266
1365.828602,103,475.983542
930.932993,125,478.979037
2197.218046,194,481.985529
2827.878098,195,485.015727
-127.240364,293,489.475415
583.903703,123,491.124752
2674.328863,141,492.715735
7183.843426,381,499.315436
71.860729,57,500.790257
3642.880064,158,502.795373
1932.705188,222,506.036366
-342.624791,159,508.963414
769.861074,107,510.490282
4382.870653,189,513.621372
3997.550247,186,516.666489
1835.418935,269,519.787303
3499.551799,150,522.687942
1654.566576,178,525.626354
1951.678197,147,527.233299
1078.807899,158,530.853976
3856.205187,165,532.47179
1360.258906,175,535.473378
3007.424103,183,538.488722
4650.670431,157,541.472167
-647.059821,210,544.535415
804.85723,132,546.136232
5434.115003,163,549.085863
437.093419,99,551.10874
1490.240853,176,552.794645
1906.040329,172,555.763561
1937.130425,141,558.680161
-4987.006722,279,562.267174
-377.461288,133,565.285538
-550.137276,193,568.233677
699.072962,126,569.771377
2915.509179,260,572.900825
5437.327127,150,575.810408
3166.023755,177,579.076335
3786.547428,190,582.167409
1572.964949,174,583.844371
2582.842309,134,586.742082
1751.253512,172,588.661038
-328.331276,135,592.008339
4311.123665,151,593.659146
2936.064434,202,596.691556
2438.683352,159,599.625538
2984.365558,138,601.241888
1946.49984,134,604.117568
3615.602474,226,607.221639
3068.187611,166,610.162154
401.354852,161,611.808676
946.947368,91,613.297763
1684.483381,152,616.399868
6144.710503,164,618.013702
1778.533747,186,620.975407
-939.2334,301,626.257038
-1748.347439,246,631.095134
230.995765,156,632.717583
-834.504876,168,635.674036
1017.028894,113,637.576894
-10730.223382,252,640.713224
-10523.886196,334,646.710808
4591.710802,204,649.734859
1522.006065,187,652.765922
688.375597,203,656.356034
-1297.420593,323,660.950082
2816.802412,167,663.89203
-36.968018,110,665.509349
7779.062007,207,668.610349
3187.502256,197,671.677324
5704.17512,165,673.326845
1673.742261,133,676.38064
2449.432311,109,677.90745
-626.712871,334,682.507224
2051.627049,155,685.734449
-2824.175355,264,688.799674
4803.827981,174,691.846683
-3723.021376,207,694.903242
-3526.580608,202,697.894168
2735.943608,197,701.590013
-10169.265456,241,706.007301
1265.373578,101,707.511706
1825.019288,168,709.14764
1042.784274,166,712.132038
1417.253995,150,713.775455
3824.544161,232,718.422673
2182.714458,137,719.999619
-10909.074097,279,724.918419
4541.542989,161,727.874747
1913.681415,120,729.431655
-578.21306,95,730.944495
-314.984227,133,732.556721
675.063464,106,734.087052
2828.954956,183,737.122062
2615.163392,138,738.697771
951.243385,244,743.244384
-10899.134203,315,748.02839
-10429.975064,248,751.096411
-10482.342096,271,755.563652
-120.539214,220,758.682505
-2495.693931,236,763.112855
2025.639222,180,764.767819
2525.274922,157,767.716158
1686.715286,138,769.289406
2981.278394,184,772.272012
-10243.242645,269,776.829373
380.092494,361,781.875498
1835.163718,176,784.872808
2138.45709,220,787.947741
5425.742734,172,790.947346
1378.765079,199,793.948784
-6191.269625,420,800.130846
1058.266034,79,801.603669
193.475539,234,804.689253
203.984566,175,807.704557
1712.167649,147,810.938782
3894.892117,158,812.568429
446.510079,59,814.041331
5774.407757,180,817.030087
-10873.706904,313,821.60484
1133.483517,115,823.122492
582.887661,222,826.187786
3045.849423,238,830.938085
175.157795,163,832.596084
2186.905589,204,835.699888
1777.823361,176,838.697527
554.745653,247,842.400831
1610.403001,280,846.963166
937.899937,126,849.937436
929.916249,444,856.070003
-10188.842274,293,860.772089
2626.557844,234,864.003611
4620.398697,197,867.024736
2563.715422,188,870.090973
1376.645845,192,873.351012
-52.034813,63,874.766032
4163.095412,200,877.793166
-5084.534116,354,882.450762
719.468561,189,885.538028
4407.475508,198,888.55158
2841.3359,159,891.496115
461.375007,229,894.560114
-1751.836356,327,899.374712
5898.954891,176,902.8086
956.324829,115,904.44949
-6511.66768,300,909.388919
4933.372672,216,912.458013
2534.143288,189,915.444297
2524.697696,223,918.478144
-28.931016,54,919.92222
55.796235,145,921.663893
4564.325496,231,926.114812
1224.77612,188,929.141124
3335.811859,178,930.878045
-1003.379373,163,934.083444
-2474.41789,187,937.062095
3358.567481,197,940.140503
841.540969,175,943.252044
-1244.827013,206,946.320559
384.171003,188,948.024002
-1227.325039,222,952.525968
3232.273452,208,955.568686
1920.582259,132,957.167132
-717.830937,467,965.219867
3083.046869,181,968.236944
-10195.704911,481,974.820183
-1246.82025,212,979.267614
1757.242539,166,980.987046
-10824.83347,290,985.625027
2824.774664,184,988.976493
2998.792853,166,992.092551
1565.126692,174,993.779835
3334.101936,281,998.955115
-1141.684201,214,1002.033345
-5380.584969,378,1008.130842
-2782.030569,280,1012.870782
7322.681439,179,1015.900119
1490.273449,199,1018.930815
666.541313,169,1020.597284
2516.553846,132,1023.481023
1564.901943,157,1025.098693
-1355.183775,212,1028.897968
-900.145392,202,1032.227262
-8854.06733,469,1039.815413
2170.68043,147,1042.77124
-12.338089,180,1044.457896
1494.935204,196,1047.732972
-1788.847532,390,1053.779513
3737.297467,195,1056.78545
2430.838024,260,1061.500064
2385.910614,123,1063.100384
-945.255222,192,1066.080713
-859.79696,263,1070.589282
2186.389793,190,1072.328192
3409.45772,279,1076.777617
2532.925088,206,1080.191617
663.796892,255,1085.233203
2688.149191,255,1088.387819
912.50328,156,1091.785269
2875.72482,174,1095.136576
-1527.678054,243,1098.513765
5383.519757,161,1101.466763
1961.618538,132,1103.044086
1204.759137,129,1104.608473
23.023634,370,1110.735466
461.171231,80,1112.229477
1834.763361,125,1113.809421
-6795.970851,261,1118.480215
1375.719386,173,1120.187695
3067.431037,225,1124.927276
3836.878808,314,1129.508998
325.717873,193,1132.497601
4494.883135,227,1135.861087
853.539354,116,1137.436975
-7203.753407,493,1145.646628
3785.775243,216,1148.664169
1565.977349,105,1150.401587
172.028714,206,1153.443216
11360.002384,449,1161.280735
2927.039816,181,1164.319059
-8662.54426,420,1170.531484
4729.20411,174,1173.540827
2529.860751,202,1176.590755
549.109999,86,1176.742599
-7220.584568,315,1182.804287
-48.571215,74,1182.933077
-1495.872595,227,1187.757583
736.132249,210,1190.97838
2744.782165,220,1194.108484
455.644881,144,1195.828334
750.126437,166,1198.881922
2910.669843,459,1206.704031
1645.132595,200,1209.745774
3936.073857,290,1214.377908
3275.715457,179,1216.08589
1500.321106,263,1221.286161
-9455.101226,316,1225.832603
-1163.60762,225,1228.907914
-947.575419,192,1231.930885
2920.968544,239,1236.33729
-10772.898427,305,1241.434759
2097.223613,176,1243.108503
-2524.673106,252,1247.771124
3178.305531,244,1251.198288
35.810543,44,1252.641577
2000.944145,118,1254.189529
3547.680563,154,1257.135273
964.949188,173,1258.851993
2974.191524,154,1261.850567
4774.359258,156,1263.490298
2320.956229,156,1266.455088
2551.328256,144,1268.083702
2986.018382,261,1273.307226
3264.567173,214,1276.402382
1608.974747,102,1277.944365
2605.920371,153,1281.235492
3939.335128,221,1284.297616
5313.98334,152,1285.948348
584.265691,151,1288.965723
2770.534887,149,1290.539187
2299.026631,130,1293.474574
-1188.35212,168,1295.134961
325.921824,193,1298.163416
-3339.817915,240,1302.591593
1209.490049,129,1304.174809
2198.683553,136,1305.750741
-1701.266932,194,1308.760753
618.517988,90,1310.268293
2720.249194,193,1313.763349
715.415995,82,1315.267571
2613.11386,172,1318.258494
1842.184753,365,1322.967003
4127.695368,197,1326.036554
-9073.519435,473,1333.639302
3231.532938,225,1336.782523
2179.846006,210,1339.892388
3237.817416,228,1344.70042
-4206.525655,300,1349.347833
-64.419145,89,1350.845187
2824.119706,208,1354.012946
1471.50582,192,1357.583933
