rollout/return,AI_return,rollout/actions_std,reference_Q_std,rollout/Q_mean,total/steps_per_second,total/steps,rollout/return_history,train/loss_critic,reference_perturbed_action_std,train/loss_actor,total/duration,reference_actor_Q_std,rollout/episodes,total/epochs,reference_action_mean,param_noise_stddev,train/param_noise_distance,reference_action_std,obs_rms_mean,total/episodes,reference_actor_Q_mean,rollout/actions_mean,AI_distance,reference_perturbed_action_mean,AI_success_rate,obs_rms_std,rollout/episode_steps,reference_Q_mean
-1799.7684251408364,-1799.7684251408364,0.8177686333656311,12.257983207702637,-3.393795967102051,73.89892351925039,2000,-1799.7684251408364,6.474243640899658,0.8640748262405396,7.188953876495361,27.06399369239807,12.280448913574219,12.0,1,0.49999314546585083,0.10792071678026853,0.24781588454730807,0.8659984469413757,0.5057508945465088,12.0,-7.6435747146606445,0.449928343296051,17.431656502463234,0.49767398834228516,,0.16915786266326904,162.41666666666666,-7.725632667541504
-1992.0004281505624,-1992.0004281505624,0.8017581701278687,21.972797393798828,-7.842799186706543,68.82293103117132,4000,-1992.0004281505624,14.081416130065918,0.7416337728500366,14.090136528015137,58.120163440704346,21.600313186645508,22.0,2,0.6138942241668701,0.0156587938752642,0.2088146425783634,0.7791769504547119,0.4859886169433594,22.0,-12.156403541564941,0.5178123116493225,16.73165969448699,0.6172015070915222,,0.18379898369312286,173.8181818181818,-12.90114688873291
-1793.163664844217,-1793.163664844217,0.7694039940834045,21.031513214111328,-6.0144877433776855,68.09423700041592,6000,-1793.163664844217,17.232994079589844,0.8737000823020935,10.503307342529297,88.11318349838257,18.878286361694336,30.0,3,0.3033927381038666,0.017644720880324885,0.19312305212020875,0.9232848882675171,0.46952834725379944,30.0,-10.55308723449707,0.5754563212394714,16.316650810679423,0.4446412920951843,,0.2106621265411377,194.8,-12.39223861694336
-1350.8298292581485,-1350.8298292581485,0.8100392818450928,16.430356979370117,-5.235061168670654,64.26724459274348,8000,-1350.8298292581485,4.171839237213135,0.9227878451347351,5.705684185028076,124.48020839691162,15.42502212524414,40.0,4,0.2515261471271515,0.012580215599082718,0.20075177744030953,0.9299718737602234,0.45819559693336487,40.0,-5.678674697875977,0.5077120065689087,15.537939839899797,0.28106945753097534,,0.21225638687610626,198.7,-7.591026306152344
-1022.2844589293936,-1022.2844589293936,0.8555026054382324,17.584556579589844,-2.7846410274505615,63.5660505497642,10000,-1022.2844589293936,10.228583335876465,0.8919709920883179,-6.878654956817627,157.31667947769165,17.752424240112305,51.0,5,0.2925187647342682,0.013091022799070031,0.20624539583921433,0.932360053062439,0.4463435709476471,51.0,7.175010681152344,0.43205615878105164,14.744286844436735,0.3635944128036499,,0.21688564121723175,194.15686274509804,4.329307556152344
-963.4865323829648,-963.4865323829648,0.8777916431427002,23.603668212890625,-1.4588288068771362,63.38220005174629,12000,-963.4865323829648,24.232709884643555,0.8660967946052551,-16.19219398498535,189.32760286331177,24.022491455078125,60.0,6,0.4093179702758789,0.010944321720492653,0.20117206275463104,0.8765285611152649,0.43230366706848145,60.0,25.19406509399414,0.3816429376602173,14.366691461574991,0.43646660447120667,,0.22177712619304657,199.56666666666666,23.08283042907715
-875.9497810707728,-875.9497810707728,0.8776881694793701,27.23323631286621,2.18396258354187,63.75932104384872,14000,-875.9497810707728,14.249139785766602,0.733291745185852,-23.0766544342041,219.5757384300232,27.507123947143555,69.0,7,0.5483148694038391,0.01161761804096316,0.19604671135544777,0.8146833777427673,0.4339650571346283,69.0,32.144569396972656,0.38169535994529724,13.991754978676024,0.6433492302894592,,0.2176942229270935,200.8985507246377,30.450286865234375
-443.1991146053257,-443.1991146053257,0.8832302689552307,40.40840148925781,7.185268402099609,63.99082461884282,16000,-443.1991146053257,42.3673095703125,0.7506417632102966,-24.8780517578125,250.0358464717865,41.05057144165039,81.0,8,0.6360722780227661,0.01161761804096316,0.20528809562325478,0.7561622858047485,0.44690704345703125,81.0,27.179603576660156,0.3757363259792328,13.495305769270868,0.6261404156684875,,0.2453785389661789,197.2962962962963,25.446882247924805
-178.57275708890782,-178.57275708890782,0.8856540322303772,45.29452133178711,12.826227188110352,64.19876862808778,18000,-178.57275708890782,39.48298645019531,0.783085823059082,-33.36885070800781,280.3792095184326,46.06834030151367,93.0,9,0.58363276720047,0.009521154623962158,0.1994605429470539,0.7709887623786926,0.4459173381328583,93.0,32.25208282470703,0.37097930908203125,12.890425245998074,0.582546055316925,,0.24342060089111328,193.13978494623655,29.971458435058594
126.12587741093557,126.12587741093557,0.8923425078392029,54.68733215332031,18.25519371032715,64.62705864105989,20000,168.60941464411115,56.95677185058594,0.900117039680481,-43.319801330566406,309.46789813041687,55.86107635498047,106.0,10,0.3732970654964447,0.008449541294664952,0.21356796473264694,0.8991670608520508,0.4463597238063812,106.0,37.596099853515625,0.35623350739479065,12.27368242490052,0.3704826533794403,,0.24118037521839142,187.72641509433961,34.79466247558594
