AI_distance,reference_perturbed_action_mean,rollout/episode_steps,obs_rms_std,rollout/return,AI_return,reference_actor_Q_mean,train/loss_critic,total/steps,rollout/actions_mean,total/duration,AI_success_rate,obs_rms_mean,param_noise_stddev,reference_action_std,reference_actor_Q_std,reference_perturbed_action_std,total/episodes,reference_Q_mean,rollout/Q_mean,rollout/return_history,total/steps_per_second,rollout/actions_std,train/loss_actor,total/epochs,train/param_noise_distance,reference_action_mean,rollout/episodes,reference_Q_std
14.310113217435397,0.9914844036102295,57.38235294117647,0.35401228070259094,-1146.3252829483745,-1146.3252829483745,-176.8192596435547,383.4819641113281,2000,0.7503892183303833,25.750353813171387,,0.16995002329349518,0.11921161154572084,0.0004017045721411705,183.88485717773438,0.037651047110557556,34.0,-179.83648681640625,-64.59699249267578,-1146.3252829483745,77.66883571817152,0.5627725124359131,130.18222045898438,1,0.3161590499500744,0.9999477863311768,34.0,184.0028839111328
13.918372141138782,0.9525490999221802,58.779411764705884,0.34970781207084656,-1107.2380815796198,-1107.2380815796198,-320.6138610839844,107.72801971435547,4000,0.85466468334198,52.03707575798035,,0.17742964625358582,0.07248528817353568,0.38746440410614014,267.07421875,0.2457546591758728,68.0,-323.6961975097656,-131.0593719482422,-1107.2380815796198,76.8682702041835,0.4370528757572174,265.08270263671875,2,0.205893457531929,0.9218737483024597,68.0,267.1683654785156
13.753971112518355,0.32872968912124634,61.68478260869565,0.34440603852272034,-1145.4410755033412,-1145.4410755033412,-456.7705993652344,501.86273193359375,6000,0.8109323978424072,77.07141351699829,,0.18453185260295868,0.027337276104373337,0.9449119567871094,286.2420959472656,0.9046129584312439,92.0,-460.430908203125,-221.22804260253906,-1145.4410755033412,77.84987618887625,0.510240375995636,404.38116455078125,3,0.19943296298384666,0.22022885084152222,92.0,287.6810607910156
13.822076306820712,0.0255968626588583,79.01,0.3425796926021576,-1410.2517145182533,-1410.2517145182533,-487.45306396484375,456.16876220703125,8000,0.6196628212928772,102.89638304710388,,0.19394060969352722,0.015973535632157008,0.952494740486145,250.10855102539062,0.9320235252380371,100.0,-500.85797119140625,-272.1466369628906,-1410.2517145182533,77.74811672765759,0.7113852500915527,465.757568359375,4,0.2032631240785122,0.05348069220781326,100.0,249.62986755371094
13.823577231288592,0.11616292595863342,93.08571428571429,0.3248577415943146,-1456.2062006817189,-1456.2062006817189,-456.6153564453125,552.8897094726562,10000,0.5146323442459106,129.5322299003601,,0.20985479652881622,0.014460633428115275,0.9510979652404785,218.65086364746094,0.9558522701263428,105.0,-476.135009765625,-260.3479309082031,-1463.8577832481894,77.20086350472222,0.773875892162323,395.8358459472656,5,0.20973532542586326,0.07889904826879501,105.0,218.1749267578125
13.905859727347277,-0.3634152412414551,107.50909090909092,0.31056609749794006,-1585.824582996664,-1585.824582996664,-420.1932373046875,1366.1817626953125,12000,0.4605832099914551,156.81415033340454,,0.22399699687957764,0.01208933992007461,0.9100282192230225,224.42552185058594,0.8773387670516968,110.0,-440.9210205078125,-246.8492431640625,-1619.1341055281707,76.52370640332298,0.8075888752937317,334.8448791503906,6,0.2102515110373497,-0.3015507757663727,110.0,225.03428649902344
13.663194394954587,-0.22004450857639313,120.71304347826087,0.30039629340171814,-1488.2871774290934,-1488.2871774290934,-334.7413024902344,1145.3140869140625,14000,0.42736145853996277,181.8525426387787,,0.22941157221794128,0.010728675346037303,0.9340510964393616,232.76568603515625,0.9331892132759094,115.0,-356.5065612792969,-230.20449829101562,-1533.152824045592,76.98545094202386,0.8217124342918396,247.40609741210938,7,0.19646664589643478,-0.1788577139377594,115.0,237.0782012939453
13.66006017874581,-0.08897606283426285,134.85593220338984,0.2906981408596039,-1587.932063362183,-1587.932063362183,-288.2938232421875,3076.14404296875,16000,0.40813499689102173,207.34710907936096,,0.23601898550987244,0.008792626553888941,0.9515137672424316,242.6143035888672,0.958177387714386,118.0,-311.6655578613281,-220.8153076171875,-1655.0613860057604,77.16529095120438,0.8299826979637146,176.48179626464844,8,0.18709740564227104,0.10814379900693893,118.0,249.79067993164062
13.664905635025207,-0.1745123416185379,142.97520661157026,0.2828510105609894,-1625.277665790842,-1625.277665790842,-217.2886962890625,3145.841796875,18000,0.37847259640693665,234.4570004940033,,0.2384682446718216,0.009149642450409314,0.960442304611206,243.3036346435547,0.9420453310012817,121.0,-245.8382110595703,-189.35858154296875,-1717.1195873713941,76.7731394757837,0.8393605351448059,60.319915771484375,9,0.20002264365553857,-0.14905889332294464,121.0,248.23321533203125
13.497964602250415,-0.17727746069431305,154.87596899224806,0.2787070572376251,-1526.6149869926714,-1526.6149869926714,-142.41770935058594,3765.9912109375,20000,0.3555707633495331,260.064825296402,,0.23683753609657288,0.009333550263662541,0.9398200511932373,252.35983276367188,0.9448184370994568,129.0,-169.91082763671875,-136.7209930419922,-1637.7965655366786,76.90390262199254,0.8460804224014282,-9.045318603515625,10,0.19481194853782655,-0.17681846022605896,129.0,256.4869384765625
