reference_actor_Q_mean,reference_Q_std,total/episodes,obs_rms_mean,total/epochs,reference_perturbed_action_std,rollout/actions_std,reference_actor_Q_std,rollout/return,total/steps_per_second,rollout/episode_steps,reference_perturbed_action_mean,rollout/episodes,train/loss_actor,reference_action_mean,param_noise_stddev,total/duration,reference_action_std,rollout/return_history,rollout/actions_mean,rollout/Q_mean,reference_Q_mean,AI_distance,AI_success_rate,obs_rms_std,total/steps,AI_return,train/param_noise_distance,train/loss_critic
-262.3220520019531,198.4243927001953,14.0,0.34383586049079895,1,0.9375022053718567,0.8963487148284912,198.56500244140625,-4787.7210269753705,79.30330534870723,128.85714285714286,0.2832816541194916,14.0,253.5512237548828,0.2672937214374542,0.0527188476603765,25.219629764556885,0.9622176289558411,-4787.7210269753705,0.24233706295490265,-140.1696319580078,-263.5460205078125,16.03787214845172,,0.27356740832328796,2000,-4787.7210269753705,0.19223020195961,158.7353057861328
-510.2586669921875,385.63214111328125,29.0,0.3577033579349518,2,0.9886999130249023,0.9421946406364441,384.5265808105469,-4694.160864692101,78.76981916119988,134.6551724137931,0.1084446832537651,29.0,505.6142578125,0.14152002334594727,0.0347110866662064,50.78087067604065,0.9890854954719543,-4694.160864692101,0.18485784530639648,-248.42471313476562,-515.5844116210938,16.21839338268109,,0.26950207352638245,4000,-4694.160864692101,0.1911469464749098,598.9977416992188
-720.5845947265625,534.3741455078125,42.0,0.36470508575439453,3,0.9629430174827576,0.9502471685409546,532.8214721679688,-4862.772900292978,78.81182874422473,138.5952380952381,0.23233343660831451,42.0,752.0186157226562,0.16632874310016632,0.03989949903626053,76.13070392608643,0.9798710942268372,-4862.772900292978,0.173640176653862,-379.290283203125,-725.8204345703125,16.07428330311173,,0.26491716504096985,6000,-4862.772900292978,0.19013972476124763,1418.512939453125
-919.4860229492188,651.3030395507812,49.0,0.37324756383895874,4,0.9366288185119629,0.9442729353904724,646.1493530273438,-6724.698726863161,77.78948633753204,163.18367346938774,0.33779177069664,49.0,1016.3943481445312,0.30269354581832886,0.035408779508197145,102.84166121482849,0.947528600692749,-6724.698726863161,0.18541735410690308,-550.2399291992188,-925.525146484375,17.79896148038031,,0.2503075897693634,8000,-6724.698726863161,0.20085431586951016,1874.1968994140625
-1109.3687744140625,786.2485961914062,61.0,0.3677990138530731,5,0.9688963890075684,0.9480699300765991,781.5161743164062,-6656.165244725836,77.69200057025574,161.0983606557377,0.19245730340480804,61.0,1236.4822998046875,0.2860155403614044,0.030197360033365813,128.7133800983429,0.9554734826087952,-6656.165244725836,0.1922004222869873,-665.542724609375,-1114.4503173828125,17.59233192846814,,0.24957333505153656,10000,-6656.165244725836,0.20900077424943447,1733.264892578125
-1285.925537109375,838.5363159179688,82.0,0.36524346470832825,6,0.9191480278968811,0.9491716623306274,815.7841186523438,-5738.454104285694,77.62580694323405,145.7439024390244,0.3683730661869049,82.0,1385.3299560546875,0.3510304093360901,0.028447279136688073,154.5877649784088,0.9307331442832947,-5738.454104285694,0.20465905964374542,-709.9429931640625,-1304.437744140625,17.237318051582168,,0.2596169114112854,12000,-5738.454104285694,0.19335338294506074,4805.93798828125
-1273.323486328125,737.0454711914062,105.0,0.35799023509025574,7,0.9073794484138489,0.9490307569503784,715.1036987304688,-4900.223599139801,77.96328870257231,132.7047619047619,0.40351203083992004,105.0,1415.241455078125,0.38025495409965515,0.030197360033365813,179.5716962814331,0.9203683137893677,-4978.615679944456,0.22092346847057343,-739.234375,-1296.000244140625,16.3814800488431,,0.2675706744194031,14000,-4900.223599139801,0.19098039343953133,3810.963134765625
-1305.2811279296875,700.6826171875,130.0,0.3520674705505371,8,0.9331836104393005,0.9498587250709534,685.756591796875,-4315.9989707304285,78.1450003780915,122.78461538461538,0.3435237407684326,130.0,1458.1416015625,0.36625561118125916,0.0314234939421342,204.7475836277008,0.9230461716651917,-4202.674130989165,0.22748811542987823,-765.5843505859375,-1319.612060546875,15.597049255098772,,0.2746463418006897,16000,-4315.9989707304285,0.19620575986802577,7099.68798828125
-1352.020751953125,669.0745239257812,157.0,0.34924936294555664,9,0.9413222074508667,0.9518324732780457,657.332275390625,-3829.712166372384,77.70084376216062,114.59872611464968,0.3239494264125824,157.0,1468.2265625,0.32807260751724243,0.042354122225875736,231.6577160358429,0.9445955753326416,-2113.1496143673976,0.22916948795318604,-783.2822875976562,-1364.4205322265625,15.212687466556805,,0.2818217873573303,18000,-3829.712166372384,0.19336417883634568,5151.0966796875
-1405.078857421875,679.0074462890625,182.0,0.3487774431705475,10,0.9440929889678955,0.9542840123176575,669.196044921875,-3501.468744018756,77.62373316385714,109.84615384615384,0.3281119465827942,182.0,1447.54150390625,0.3276567757129669,0.03758713295613904,257.6531581878662,0.9439911842346191,-1667.1407485998666,0.22677360475063324,-807.6287841796875,-1419.058837890625,15.017964030896891,,0.28685665130615234,20000,-3501.468744018756,0.19751398343592882,3894.082275390625
