train/loss_actor,obs_rms_std,rollout/actions_mean,param_noise_stddev,total/steps,rollout/actions_std,reference_action_std,reference_Q_mean,total/steps_per_second,rollout/episode_steps,AI_return,rollout/episodes,reference_perturbed_action_std,reference_Q_std,rollout/Q_mean,AI_distance,obs_rms_mean,reference_perturbed_action_mean,AI_success_rate,reference_actor_Q_std,reference_action_mean,train/loss_critic,rollout/return,total/duration,rollout/return_history,train/param_noise_distance,total/episodes,total/epochs,reference_actor_Q_mean
77.931640625,0.21370935440063477,0.14276498556137085,0.02152991267583435,2000,0.880145251750946,0.9929604530334473,-103.27793884277344,37.4159003330144,196.7,-1597.735529021978,10.0,0.9910702705383301,165.00912475585938,-32.537567138671875,16.20394966819002,0.48977914452552795,0.020327933132648468,,164.44515991210938,0.02807920053601265,703.2894287109375,-1597.735529021978,53.4532105922699,-1597.735529021978,0.1442785471631214,10.0,1,-97.57844543457031
77.76063537597656,0.20997022092342377,0.28158795833587646,0.017644720880324885,4000,0.8908089995384216,0.8649786114692688,-153.88861083984375,37.24948420830147,191.25,-1180.4853183336504,20.0,0.829201340675354,309.247314453125,-37.444759368896484,15.67983930225996,0.48312950134277344,0.527446985244751,,304.6121520996094,0.4830840826034546,1406.4498291015625,-1180.4853183336504,107.38403725624084,-1180.4853183336504,0.18922719553112985,20.0,2,-145.553955078125
51.454315185546875,0.20860135555267334,0.34511157870292664,0.017297050171870294,6000,0.8894544839859009,0.9639366865158081,-176.06463623046875,37.18571751882692,171.47058823529412,-405.6180676463288,34.0,0.9593109488487244,433.387451171875,-17.771953582763672,13.389525181631107,0.4781963527202606,0.25378769636154175,,430.25177001953125,0.2504047155380249,908.5579833984375,-405.6180676463288,161.35227179527283,-405.6180676463288,0.21461081810295582,34.0,3,-166.9778289794922
-1.9262382984161377,0.20039911568164825,0.3567040264606476,0.014460633428115275,8000,0.8945050239562988,0.9262123703956604,-150.57510375976562,37.1787432681541,166.95744680851064,238.4546467425578,47.0,0.9274296760559082,522.4326782226562,4.701353549957275,11.99855545560232,0.4717763364315033,0.3366756737232208,0.02127659574468085,511.14398193359375,0.3519759178161621,1956.4073486328125,238.4546467425578,215.17671918869019,238.4546467425578,0.20072763964533805,47.0,4,-136.95303344726562
-82.01306915283203,0.19922220706939697,0.3714374899864197,0.01161761804096316,10000,0.8949902653694153,0.9294041991233826,-104.78539276123047,37.25292362585153,166.05,401.95148511472075,60.0,0.9116043448448181,630.0346069335938,33.45089340209961,11.784456169127562,0.472129225730896,0.4058409333229065,0.016666666666666666,622.997802734375,0.3244456350803375,1836.9693603515625,401.95148511472075,268.435307264328,401.95148511472075,0.21550239577889443,60.0,5,-93.57498168945312
-125.40081787109375,0.19457758963108063,0.3867085874080658,0.01208933992007461,12000,0.8928675651550293,0.9785065054893494,-80.81622314453125,37.449354624326745,165.45833333333334,725.1602606278019,72.0,0.9699299335479736,693.1242065429688,71.73438262939453,11.129305336697517,0.4744637906551361,0.20811210572719574,0.013888888888888888,679.0122680664062,0.16642436385154724,1395.1951904296875,725.1602606278019,320.4327583312988,725.1602606278019,0.20541313223540783,72.0,6,-63.6884651184082
-212.76937866210938,0.1921318769454956,0.3890088200569153,0.0136225708197137,14000,0.8953837156295776,0.9898615479469299,-2.6997108459472656,37.57773773409737,166.42857142857142,997.6151472980848,84.0,0.9842050671577454,717.4370727539062,106.13890075683594,10.710100797336171,0.47655344009399414,0.10957425832748413,0.011904761904761904,703.3426513671875,0.07790501415729523,1445.9605712890625,997.6151472980848,372.5610120296478,997.6151472980848,0.2044367839396,84.0,7,13.749279022216797
-343.094970703125,0.19526679813861847,0.36966457962989807,0.010310046129879225,16000,0.904951274394989,0.9808545708656311,67.58387756347656,37.66720509679376,168.22105263157894,1046.908355297904,95.0,0.9843071103096008,762.4727783203125,117.19744110107422,10.51091737955058,0.4687558710575104,0.14449697732925415,0.010526315789473684,749.5450439453125,0.12269724160432816,1284.5552978515625,1046.908355297904,424.7726891040802,1046.908355297904,0.20692545920610428,95.0,8,83.93526458740234
-428.6561584472656,0.19750802218914032,0.35376131534576416,0.010517278057089798,18000,0.912718653678894,0.9557624459266663,124.59546661376953,37.71853934834631,169.5,1124.01866768198,106.0,0.9812252521514893,830.4880981445312,130.04364013671875,10.527584564756031,0.47520509362220764,0.16553647816181183,0.009433962264150943,818.7501220703125,0.26444217562675476,2178.66162109375,1124.01866768198,477.2189037799835,1366.219370714873,0.20494022309780122,106.0,9,140.46444702148438
-506.2303771972656,0.19464950263500214,0.3543013036251068,0.010106897490323717,20000,0.9138733744621277,0.9667173624038696,136.08164978027344,37.776464249636824,169.72649572649573,1243.9394640641237,117.0,0.9636242985725403,877.8887329101562,182.3502197265625,10.193963115141964,0.4721388816833496,0.23817142844200134,0.008547008547008548,866.7698364257812,0.23385146260261536,1262.3272705078125,1243.9394640641237,529.430172920227,1647.042296320602,0.19889549866318704,117.0,10,155.52793884277344
