rollout/episodes,param_noise_stddev,reference_actor_Q_mean,train/param_noise_distance,rollout/episode_steps,reference_Q_std,rollout/return_history,total/steps_per_second,reference_actor_Q_std,AI_return,reference_action_std,obs_rms_mean,rollout/actions_mean,total/episodes,reference_perturbed_action_std,AI_distance,total/steps,total/epochs,AI_success_rate,reference_action_mean,reference_Q_mean,obs_rms_std,train/loss_critic,reference_perturbed_action_mean,rollout/actions_std,train/loss_actor,rollout/return,total/duration,rollout/Q_mean
13.0,0.026270585008002553,25.054344177246094,0.1947437185049057,151.76923076923077,76.7304458618164,-194.48721524817216,46.52494447554941,76.8071060180664,-194.48721524817216,0.9687397480010986,0.4397660791873932,-0.20759417116641998,13.0,0.9400201439857483,13.139908218015458,2000,1,,0.21381019055843353,22.81057357788086,0.19076089560985565,113.95928955078125,0.11636082082986832,0.8814737796783447,4.972316265106201,-194.48721524817216,42.98769235610962,-2.8593008518218994
28.0,0.017999379770019412,71.12967681884766,0.220741895288229,142.75,134.0004119873047,357.55982589471205,46.47916736734049,135.29974365234375,357.55982589471205,0.9528852701187134,0.4573957920074463,-0.06127716973423958,28.0,0.961523175239563,12.354529958182312,4000,2,,0.25745272636413574,65.51235961914062,0.21540777385234833,263.7675476074219,0.2000180333852768,0.94512540102005,-39.917728424072266,357.55982589471205,86.06006145477295,27.756145477294922
41.0,0.013091022799070031,77.5963363647461,0.19949574396014214,145.2439024390244,181.53509521484375,805.7953664837709,46.28854963620856,181.20396423339844,805.7953664837709,0.9599605798721313,0.4505724012851715,0.11910085380077362,41.0,0.9607794284820557,11.264683898860012,6000,3,,0.2634449601173401,69.63805389404297,0.21754194796085358,356.7717590332031,0.26878559589385986,0.9511532187461853,-110.26362609863281,805.7953664837709,129.6216893196106,68.28205108642578
52.0,0.01335415235733134,170.35223388671875,0.2179282647371292,151.5,246.0206298828125,979.2558792574914,46.08937941657014,251.16505432128906,979.2558792574914,0.8856974244117737,0.43029117584228516,0.18211844563484192,52.0,0.8992920517921448,10.451495933718963,8000,4,0.019230769230769232,0.4312838912010193,160.0093231201172,0.21261481940746307,842.887939453125,0.39328694343566895,0.9465930461883545,-262.27032470703125,979.2558792574914,173.57578039169312,120.98545837402344
62.0,0.011388705069074755,242.4571075439453,0.1949862566590309,157.59677419354838,317.1753845214844,1055.033142595171,45.773775048571714,317.9146423339844,1055.033142595171,0.906447172164917,0.4231095314025879,0.2355099618434906,62.0,0.9049031734466553,10.105615083496602,10000,5,0.016129032258064516,0.39402031898498535,234.5258331298828,0.2155895233154297,1907.139892578125,0.39876359701156616,0.9407181143760681,-340.5087890625,1055.033142595171,218.46570420265198,165.4656982421875
72.0,0.010517278057089798,218.16366577148438,0.2070456874370575,165.01388888888889,335.483642578125,1274.8284735532875,45.63983569417293,334.6429443359375,1274.8284735532875,0.976900041103363,0.42056789994239807,0.2500867545604706,72.0,0.9656339883804321,9.63219024536123,12000,6,0.013888888888888888,0.1641116440296173,212.66355895996094,0.210927352309227,665.1632690429688,0.21023763716220856,0.9379574656486511,-395.1162109375,1274.8284735532875,262.9282033443451,237.87014770507812
81.0,0.010310046129879225,254.0693359375,0.1996129770576954,170.679012345679,332.88079833984375,1306.246816791631,45.461055572912066,331.9295349121094,1306.246816791631,0.9239760041236877,0.41410478949546814,0.27080288529396057,81.0,0.9315624833106995,9.335324070809698,14000,7,0.012345679012345678,0.3602345585823059,245.42984008789062,0.2118571400642395,486.2012634277344,0.3533910810947418,0.9346463680267334,-469.2724304199219,1306.246816791631,307.9558937549591,280.1321105957031
92.0,0.009907751681525063,306.5963134765625,0.19106338337063788,172.0326086956522,366.9052734375,1275.121242535759,45.53336294221307,367.4397888183594,1275.121242535759,0.8970259428024292,0.41462039947509766,0.2716379165649414,92.0,0.9616591930389404,9.488752563405184,16000,8,0.010869565217391304,0.38984450697898865,299.2453308105469,0.2153376340866089,1348.955810546875,0.21193096041679382,0.9351362586021423,-545.728759765625,1275.121242535759,351.39069390296936,305.9844665527344
103.0,0.008619377074687717,338.572265625,0.20143203340470792,172.85436893203882,403.03387451171875,1587.8940871169139,45.555894641545,403.4980773925781,1520.7166767900937,0.9494726061820984,0.42205730080604553,0.2857750356197357,103.0,0.9553585052490234,9.138240003841288,18000,9,0.009708737864077669,0.22235846519470215,328.71343994140625,0.21503405272960663,1825.2867431640625,0.2387838214635849,0.9325348734855652,-616.5935668945312,1520.7166767900937,395.11901021003723,369.560546875
114.0,0.009149642450409314,414.137939453125,0.20813419565558433,174.68421052631578,435.9016418457031,1729.6821841792532,45.52360397157558,437.9684753417969,1497.4767581678707,0.8819944858551025,0.419962078332901,0.2888336777687073,114.0,0.9190396070480347,9.083514781839598,20000,10,0.008771929824561403,0.4240729510784149,401.7177734375,0.21343976259231567,1971.13525390625,0.3790263235569,0.9315255880355835,-669.6964721679688,1497.4767581678707,439.3325276374817,400.1812438964844
