rollout/return_history,AI_success_rate,param_noise_stddev,rollout/actions_std,reference_Q_std,obs_rms_mean,total/steps_per_second,reference_perturbed_action_std,total/episodes,total/duration,rollout/Q_mean,obs_rms_std,AI_return,total/epochs,train/loss_actor,reference_perturbed_action_mean,reference_action_mean,reference_actor_Q_std,AI_distance,rollout/actions_mean,rollout/return,reference_actor_Q_mean,train/loss_critic,train/param_noise_distance,total/steps,reference_Q_mean,rollout/episodes,rollout/episode_steps,reference_action_std
-1225.1235123810534,,0.02788675535407124,0.9165259003639221,87.31639862060547,0.2567250728607178,77.68974267897401,0.9616402387619019,33.0,25.7434241771698,-63.99039840698242,0.3453895151615143,-1225.1235123810534,1,131.75315856933594,0.2001965045928955,0.16402092576026917,87.21556091308594,13.36495241239996,0.18447744846343994,-1225.1235123810534,-86.91543579101562,287.9851379394531,0.19592641886323692,2000,-88.26158142089844,33.0,59.515151515151516,0.9807925224304199
-1379.9628814584346,,0.021529912675834345,0.9479100108146667,229.46507263183594,0.2560912072658539,78.36089483636235,0.9824663400650024,66.0,51.04586935043335,-134.61712646484375,0.3454282283782959,-1379.9628814584346,2,290.1322326660156,-0.07097448408603668,0.017296206206083298,228.59400939941406,13.836342566192538,0.09261484444141388,-1379.9628814584346,-227.17828369140625,168.36155700683594,0.21107502788305282,4000,-230.318603515625,66.0,59.5,0.9470422267913818
-1076.2493685703782,,0.01729705017187029,0.9124532341957092,316.9388732910156,0.29979535937309265,78.02136049184345,0.9740318059921265,78.0,76.90201711654663,-146.68959045410156,0.3430100083351135,-1076.2493685703782,3,391.439697265625,0.03310273587703705,-0.042988959699869156,320.62530517578125,13.161704000519162,0.18427743017673492,-1076.2493685703782,-420.97698974609375,452.176025390625,0.19935546293854714,6000,-433.706787109375,78.0,76.55128205128206,0.9709059000015259
-648.4548663772363,,0.0156587938752642,0.8856781125068665,326.8633728027344,0.33245161175727844,77.53342047955414,0.9552888870239258,86.0,103.18131136894226,-101.75617218017578,0.332101047039032,-648.4548663772363,4,282.186767578125,-0.059255942702293396,0.007209984585642815,332.3950500488281,12.964079443668599,0.24694351851940155,-648.4548663772363,-479.7904357910156,1496.0565185546875,0.1983015425503254,8000,-499.5378112792969,86.0,89.86046511627907,0.972091019153595
-546.5004907117413,,0.01662212523270047,0.8909130692481995,328.56732177734375,0.3471755385398865,77.39499661632712,0.9714412689208984,95.0,129.2073187828064,-74.52037048339844,0.32082730531692505,-546.5004907117413,5,164.26051330566406,0.10015139728784561,0.1305304914712906,339.9729919433594,12.777531463614794,0.24353432655334473,-546.5004907117413,-447.56005859375,607.437744140625,0.20873802334070204,10000,-466.8640441894531,95.0,103.82105263157895,0.9731627702713013
-393.15813020950327,,0.015047793132436803,0.8918548822402954,337.8596496582031,0.35803645849227905,77.09223115007211,0.9750757813453674,104.0,155.6577079296112,-41.30200958251953,0.3126121461391449,-420.4953044457634,6,38.881900787353516,0.05786839872598648,0.07876615971326828,351.6552734375,12.382974205718682,0.25969353318214417,-420.4953044457634,-395.5220947265625,2274.1650390625,0.2070658552646637,12000,-424.845947265625,104.0,114.3076923076923,0.9750320911407471
-154.26689532004298,,0.014175701821503062,0.8858638405799866,352.0951232910156,0.3698740005493164,77.29392616919519,0.9755083918571472,112.0,181.12678050994873,8.43352222442627,0.30752187967300415,-278.18948464996726,7,-68.80077362060547,0.09207112342119217,0.08677298575639725,361.2660217285156,11.993209717760035,0.28956982493400574,-278.18948464996726,-335.24273681640625,3485.7509765625,0.20139178693294524,14000,-362.97607421875,112.0,124.41964285714286,0.9800435900688171
198.47819456294107,0.008264462809917356,0.01185113216358652,0.8801229000091553,362.9969482421875,0.3769385516643524,77.24840817354713,0.9604864120483398,121.0,207.12400913238525,70.89165496826172,0.3032824695110321,-57.551477417975725,8,-215.18399047851562,0.041440755128860474,0.07445503771305084,362.7713928222656,11.487313319380323,0.3151780366897583,-57.551477417975725,-239.8550262451172,2010.2381591796875,0.2000726892054081,16000,-280.28521728515625,121.0,132.13223140495867,0.9754692912101746
366.4876777464225,0.0078125,0.011164302587074557,0.8759022355079651,335.6867980957031,0.3842564523220062,76.95369571867406,0.9447259306907654,128.0,233.9068946838379,114.37230682373047,0.2996118366718292,15.831541903343009,9,-333.07733154296875,0.1920250803232193,0.13471350073814392,336.5484924316406,11.320232417475765,0.32851967215538025,15.831541903343009,-39.41507339477539,2280.8720703125,0.2016019865870476,18000,-84.79236602783203,128.0,140.0546875,0.9531664252281189
432.6737186746679,0.007352941176470588,0.011388705069074755,0.8723258376121521,385.8863220214844,0.3850392699241638,76.86071539123344,0.9521251320838928,136.0,260.21095299720764,149.14804077148438,0.29665204882621765,-2.5702084182420926,10,-439.6612854003906,0.1869521141052246,0.19953203201293945,388.8165588378906,11.114715782182273,0.34010469913482666,-2.5702084182420926,129.39892578125,3536.76708984375,0.20459375634789467,20000,89.33800506591797,136.0,146.22794117647058,0.9687326550483704
