rollout/Q_mean,rollout/actions_std,reference_Q_std,total/steps,reference_action_mean,train/param_noise_distance,rollout/return,train/loss_critic,param_noise_stddev,rollout/return_history,reference_action_std,obs_rms_std,reference_Q_mean,rollout/episodes,obs_rms_mean,reference_perturbed_action_mean,train/loss_actor,rollout/actions_mean,reference_actor_Q_mean,rollout/episode_steps,total/epochs,reference_perturbed_action_std,AI_return,total/episodes,total/steps_per_second,reference_actor_Q_std,AI_success_rate,AI_distance,total/duration
2394.6826171875,0.8042565584182739,1115.3133544921875,2000,-0.1484031081199646,0.191342097222805,4999.2178890669165,694.7567138671875,0.008449541294664952,4999.2178890669165,0.864300549030304,0.7791300415992737,2215.525390625,10.0,0.4584575593471527,0.12624269723892212,-2407.537841796875,0.23804688453674316,2226.51025390625,183.4,1,0.8427783250808716,4999.2178890669165,10.0,106.1274010880939,1118.35595703125,0.3,6.443224211647373,18.845274448394775
1985.1851806640625,0.8490964770317078,1189.261962890625,4000,-0.0004522446542978287,0.20337651550769806,4014.3856990366194,600.7896728515625,0.00896935834762211,4014.3856990366194,0.8862091302871704,0.7783897519111633,2292.2060546875,20.0,0.4583934545516968,-0.01663389429450035,-2013.168701171875,0.17353272438049316,2307.0888671875,191.65,2,0.9051780104637146,4014.3856990366194,20.0,110.3741438597688,1190.500732421875,0.2,6.538769142187758,36.24037170410156
2108.35302734375,0.8470482230186462,1192.674560546875,6000,-0.032213106751441956,0.2010544568300247,4524.5231235459105,1477.981689453125,0.007498538875796335,4524.5231235459105,0.8621618151664734,0.7776407599449158,2323.4296875,30.0,0.45847317576408386,-0.18142491579055786,-2124.116943359375,0.1786567121744156,2333.96484375,199.73333333333332,3,0.8706507682800293,4524.5231235459105,30.0,110.816946605665,1192.4462890625,0.3,5.499498118578115,54.143343448638916
2165.572509765625,0.8449684381484985,1198.9716796875,8000,-0.03294281288981438,0.19395113736391068,4578.077141212472,5291.650390625,0.008449541294664952,4578.077141212472,0.8634073138237,0.7768762707710266,2321.781494140625,40.0,0.4585343301296234,-0.06295329332351685,-2206.277099609375,0.18034999072551727,2334.7646484375,197.725,4,0.8410176634788513,4578.077141212472,40.0,110.55843405724232,1200.544189453125,0.325,5.19251598458838,72.35992503166199
2156.932861328125,0.8427118062973022,1172.992431640625,10000,0.1666240096092224,0.20922122791409492,4599.081659220009,1092.091064453125,0.008449541294664952,4599.081659220009,0.859551727771759,0.7761164307594299,2330.01220703125,51.0,0.4584026336669922,0.14620158076286316,-2148.906005859375,0.20293369889259338,2339.967529296875,194.2549019607843,5,0.8586510419845581,4599.081659220009,51.0,109.68384636203966,1171.2960205078125,0.39215686274509803,4.467414039805104,91.17112803459167
2159.850341796875,0.8355491757392883,1160.68212890625,12000,0.03053467348217964,0.20725279092788695,4744.3547256508555,482.7702331542969,0.007649259507199841,4744.3547256508555,0.851374626159668,0.7753812670707703,2316.616455078125,61.0,0.45829299092292786,0.019417565315961838,-2151.355712890625,0.20671142637729645,2330.0771484375,196.2622950819672,6,0.8499019145965576,4744.3547256508555,61.0,107.17431276690266,1162.90283203125,0.4098360655737705,3.9656536653604353,111.96712803840637
2157.57177734375,0.8321856260299683,1140.0308837890625,14000,0.12393844127655029,0.20098452299833297,4803.646766541975,895.2633056640625,0.008119843104068908,4803.646766541975,0.8495345711708069,0.7746163010597229,2303.513427734375,71.0,0.4582158029079437,0.17917820811271667,-2182.582275390625,0.22063392400741577,2316.0283203125,195.5211267605634,7,0.8491373658180237,4803.646766541975,71.0,108.83939117052148,1141.9027099609375,0.43661971830985913,3.6446728672549,128.6298999786377
2187.104736328125,0.8323173522949219,1117.79541015625,16000,0.20136886835098267,0.19665502920746802,4784.711960327084,814.469482421875,0.007205948471980551,4784.711960327084,0.8418928384780884,0.7738663554191589,2272.019775390625,82.0,0.45824694633483887,0.30113643407821655,-2179.478271484375,0.23690737783908844,2282.0234375,192.5487804878049,8,0.8226287961006165,4784.711960327084,82.0,108.24487944381765,1116.395263671875,0.43902439024390244,3.667276894221665,147.81299662590027
2187.40576171875,0.8315916061401367,1112.23388671875,18000,0.16935309767723083,0.2071349462866783,4786.003844507927,3477.937255859375,0.00735078803626736,4786.003844507927,0.841805100440979,0.7731168270111084,2254.216552734375,94.0,0.45824921131134033,0.23399506509304047,-2226.1474609375,0.23881274461746216,2269.663818359375,191.01063829787233,9,0.8485696315765381,4786.003844507927,94.0,107.20332686434493,1111.541015625,0.4574468085106383,3.9092641120197866,167.9052369594574
2233.441162109375,0.8250892162322998,1102.57470703125,20000,0.23556604981422424,0.2061739981174469,4893.321247029764,1332.5732421875,0.008119843104068908,4887.308478089964,0.805620551109314,0.7723708152770996,2240.299560546875,103.0,0.45838871598243713,0.2253752052783966,-2265.632568359375,0.24590854346752167,2253.471435546875,193.2135922330097,10,0.8199009299278259,4893.321247029764,103.0,107.38768060190094,1100.6163330078125,0.4563106796116505,3.8348327336783785,186.24110221862793
2223.659423828125,0.8208708167076111,1104.6558837890625,22000,0.16781693696975708,0.20239004120230675,4846.192303394683,557.9758911132812,0.007649259507199841,4921.321813474743,0.8159036040306091,0.7715960144996643,2255.907470703125,114.0,0.45844295620918274,0.11186764389276505,-2243.393798828125,0.2559773623943329,2268.70751953125,192.1315789473684,11,0.8164763450622559,4846.192303394683,114.0,107.28969099585498,1103.4901123046875,0.45614035087719296,3.8308990791507873,205.05231952667236
2219.647705078125,0.8147714734077454,1108.3466796875,24000,0.08140455931425095,0.20249152600765227,4849.6750032883565,498.6795959472656,0.007803009623294559,4966.584258821517,0.8200187683105469,0.7708547711372375,2262.7099609375,125.0,0.4582926332950592,0.0671713799238205,-2229.657470703125,0.25516897439956665,2275.78369140625,191.136,12,0.8039237856864929,4849.6750032883565,125.0,106.94075511273745,1108.551025390625,0.456,3.643470891512555,224.42332649230957
