rollout/return,train/param_noise_distance,reference_actor_Q_std,reference_Q_mean,reference_Q_std,total/episodes,reference_action_mean,train/loss_actor,reference_perturbed_action_std,param_noise_stddev,reference_action_std,total/epochs,obs_rms_std,total/duration,reference_perturbed_action_mean,rollout/episodes,AI_return,train/loss_critic,rollout/episode_steps,rollout/Q_mean,rollout/actions_mean,rollout/return_history,total/steps_per_second,reference_actor_Q_mean,AI_success_rate,AI_distance,total/steps,rollout/actions_std,obs_rms_mean
-662.6323195944309,0.2353787123784423,84.17113494873047,11.40485954284668,83.68380737304688,12.0,0.20372992753982544,11.594261169433594,0.9132585525512695,0.03758713295613904,0.9739866852760315,1,0.2089107632637024,37.082903146743774,0.274988055229187,12.0,-662.6323195944309,122.28658294677734,153.91666666666666,3.212662935256958,0.08685491979122162,-662.6323195944309,53.93320992387347,15.159346580505371,,14.756421362124309,2000,0.8928682208061218,0.4702169895172119
431.0942782101249,0.21234443321824073,160.70240783691406,31.027225494384766,162.83465576171875,23.0,0.35115572810173035,-47.02305603027344,0.8198182582855225,0.01662212523270047,0.9194552302360535,2,0.21471500396728516,73.18990707397461,0.5429612994194031,23.0,431.0942782101249,232.66990661621094,169.69565217391303,22.480234146118164,0.1655861735343933,431.0942782101249,54.65234429054698,37.020015716552734,,12.305884843926043,4000,0.9139335751533508,0.4705444276332855
1448.1503146226069,0.194987430870533,230.0731201171875,58.41791534423828,230.06515502929688,35.0,0.35968244075775146,-164.81785583496094,0.896747887134552,0.015973535632157008,0.9182189106941223,3,0.21770663559436798,108.00533676147461,0.3956684470176697,35.0,1448.1503146226069,500.55804443359375,168.34285714285716,63.26084518432617,0.25298959016799927,1448.1503146226069,55.552810443531655,63.89766311645508,,10.358265047603942,6000,0.9139193296432495,0.4828331172466278
2109.8908056989703,0.19207434892654418,286.6404113769531,90.54666137695312,287.6741638183594,46.0,0.21738776564598083,-318.6031188964844,0.9365637302398682,0.012580215599082718,0.9548426270484924,4,0.21216736733913422,147.49843788146973,0.23380520939826965,46.0,2109.8908056989703,1015.4092407226562,171.19565217391303,124.86990356445312,0.29099634289741516,2109.8908056989703,54.237862548950034,98.19227600097656,0.021739130434782608,9.021067314255719,8000,0.9095051884651184,0.48164668679237366
1918.556945784662,0.2009782674908638,344.9182434082031,130.9454345703125,341.754150390625,57.0,0.13392958045005798,-437.43988037109375,0.9403145909309387,0.010106897490323717,0.9488936066627502,5,0.21045947074890137,185.4893777370453,0.05949650704860687,57.0,1918.556945784662,1273.8441162109375,172.64912280701753,177.4331512451172,0.2748272120952606,1918.556945784662,53.91144291926122,142.4845733642578,0.017543859649122806,9.491886525098256,10000,0.9182716608047485,0.4853367805480957
1897.4400965912816,0.20741021782159805,396.3614196777344,229.56187438964844,394.6825866699219,67.0,0.3069702982902527,-585.7286376953125,0.9136773347854614,0.010106897490323717,0.9306907653808594,6,0.2146511673927307,221.13135814666748,0.31291311979293823,67.0,1897.4400965912816,3551.104736328125,178.80597014925374,235.40771484375,0.28911781311035156,1897.4400965912816,54.26638763752758,240.37844848632812,0.014925373134328358,9.135255075920696,12000,0.913057804107666,0.4712531566619873
1914.7478646688305,0.21763552576303483,453.7797546386719,377.9168701171875,456.2332458496094,76.0,0.03858901560306549,-712.001953125,0.9586654901504517,0.009149642450409314,0.9454574584960938,7,0.21495912969112396,256.01563262939453,0.01904463768005371,76.0,1914.7478646688305,2280.1611328125,183.48684210526315,277.065673828125,0.3014393150806427,1914.7478646688305,54.68416071399143,400.58685302734375,0.013157894736842105,9.341722031737978,14000,0.9117708802223206,0.4779393672943115
1848.1208804321939,0.20367277041077614,482.2519226074219,499.6579284667969,485.6387939453125,86.0,0.37818947434425354,-832.5962524414062,0.87193763256073,0.007498538875796335,0.8745657801628113,8,0.21525438129901886,291.81526589393616,0.35346901416778564,86.0,1848.1208804321939,1549.767333984375,185.1627906976744,337.95068359375,0.3078077435493469,1848.1208804321939,54.829208304048755,520.260009765625,0.011627906976744186,9.402273169502815,16000,0.9100394248962402,0.47512519359588623
1558.8397911485172,0.19797340407967567,497.2876281738281,636.24755859375,505.86920166015625,95.0,0.26265135407447815,-943.8744506835938,0.8753997683525085,0.00795985011672278,0.9216550588607788,9,0.21514992415905,329.1607403755188,0.39849138259887695,95.0,1558.8397911485172,1525.3995361328125,188.2736842105263,362.0664978027344,0.31352466344833374,1558.8397911485172,54.68452883981526,660.091796875,0.010526315789473684,9.910397970874815,18000,0.9069433808326721,0.47063449025154114
1262.697194942649,0.19201323568820952,530.9053344726562,681.6654052734375,537.7924194335938,103.0,0.3255195915699005,-960.3748168945312,0.9047475457191467,0.007498538875796335,0.9205509424209595,10,0.21374057233333588,366.59122467041016,0.3310636878013611,103.0,1262.697194942649,2102.526611328125,191.8640776699029,396.27386474609375,0.3139423727989197,1288.2244649815943,54.55667963132868,703.6265869140625,0.009708737864077669,10.41988344230352,20000,0.9086291790008545,0.46953558921813965
855.6296101147374,0.19400020137429239,599.8197021484375,788.026611328125,603.3079223632812,111.0,0.28059324622154236,-945.4879150390625,0.8783305883407593,0.007063962819312372,0.9105261564254761,11,0.21419471502304077,403.7214283943176,0.38757050037384033,111.0,855.6296101147374,6813.6298828125,197.72072072072072,399.6961364746094,0.30235961079597473,1046.328801301137,54.49302031724817,809.3953247070312,0.009009009009009009,11.214450548013476,22000,0.912042498588562,0.47152742743492126
