AI_return,reference_perturbed_action_mean,AI_success_rate,rollout/return_history,total/episodes,total/epochs,reference_action_mean,reference_Q_mean,total/duration,rollout/episode_steps,rollout/episodes,reference_actor_Q_mean,reference_Q_std,rollout/actions_std,param_noise_stddev,reference_actor_Q_std,rollout/return,AI_distance,total/steps,rollout/Q_mean,obs_rms_std,train/loss_critic,obs_rms_mean,rollout/actions_mean,reference_perturbed_action_std,reference_action_std,train/param_noise_distance,train/loss_actor,total/steps_per_second
-475.9789727240744,0.5573409199714661,,-475.9789727240744,31.0,1,0.5497617721557617,-81.69305419921875,26.718966245651245,63.25806451612903,31.0,-79.42308044433594,58.69822692871094,0.8006712794303894,0.01949074908111193,57.712772369384766,-475.9789727240744,11.816575393967844,2000,-31.20354652404785,0.38076111674308777,37.48170471191406,0.23574845492839813,0.4766598641872406,0.7875744700431824,0.8122712969779968,0.21894657775759696,72.54993438720703,74.8531953524032
-293.79482047009554,0.5409988760948181,,-293.79482047009554,63.0,2,0.5525352954864502,-132.21978759765625,56.41985774040222,63.476190476190474,63.0,-128.13772583007812,114.79010772705078,0.8323398232460022,0.026798623766663403,112.2876205444336,-293.79482047009554,12.277882459325696,4000,-35.38870620727539,0.3769603669643402,41.55421447753906,0.250203937292099,0.4674725830554962,0.8268634080886841,0.8284232020378113,0.21832506328821183,72.71371459960938,70.89702385292621
-232.20425024635352,0.4801768362522125,,-232.20425024635352,92.0,3,0.4728410840034485,-150.39553833007812,82.36344027519226,65.18478260869566,92.0,-145.04034423828125,153.75344848632812,0.8457117080688477,0.02068982289990824,151.37220764160156,-232.20425024635352,11.960726084118678,6000,-31.242700576782227,0.3706095516681671,50.493797302246094,0.25486135482788086,0.46119868755340576,0.8618183135986328,0.8724218606948853,0.2146214060485363,61.242645263671875,72.84785555281366
-204.85027586490344,0.18337352573871613,,-111.45875239510018,121.0,4,0.29984214901924133,-151.68234252929688,109.8766417503357,65.9504132231405,121.0,-145.26458740234375,167.3500213623047,0.8721543550491333,0.015350253774398782,164.45645141601562,-204.85027586490344,11.974193013704987,8000,-28.85588264465332,0.3755215108394623,54.450172424316406,0.25222066044807434,0.4114963412284851,0.9400192499160767,0.9332720637321472,0.2019488848745823,41.06953048706055,72.80892346689835
-173.34394056523254,0.32321006059646606,,-81.75485325069283,152.0,5,0.353628009557724,-143.69741821289062,135.33251285552979,65.71052631578948,152.0,-138.01931762695312,182.1766357421875,0.8756215572357178,0.014175701821503062,180.15921020507812,-173.34394056523254,12.241316063465828,10000,-27.324052810668945,0.3747745454311371,86.8253402709961,0.25545957684516907,0.398707777261734,0.9247793555259705,0.9165357351303101,0.19402792066335678,21.617332458496094,73.89207359709047
-147.89008800629253,0.2490849643945694,,-60.931295193130424,175.0,6,0.21171894669532776,-132.63088989257812,161.5114221572876,67.94857142857143,175.0,-124.634033203125,182.5533905029297,0.8723768591880798,0.012580215599082718,179.92315673828125,-147.89008800629253,12.269047679303315,12000,-23.9093017578125,0.37119174003601074,84.72904205322266,0.26373788714408875,0.38454532623291016,0.9273326396942139,0.950403094291687,0.21727247565984725,2.5726935863494873,74.29815080393399
-177.52097494744785,0.24801212549209595,,-128.17506279108125,190.0,7,0.21047987043857574,-96.34310913085938,187.60762238502502,73.18947368421053,190.0,-86.4701919555664,172.9354248046875,0.8688889145851135,0.012332335652468109,168.39208984375,-177.52097494744785,12.391109269737928,14000,-20.86326026916504,0.36419788002967834,91.80259704589844,0.276117742061615,0.3660528063774109,0.9388411045074463,0.9534178972244263,0.20186593428254127,-12.397917747497559,74.62383362690859
-183.3883151238808,0.22566723823547363,,-162.63291226757076,205.0,8,0.2654891014099121,-60.605186462402344,213.86279845237732,76.94146341463414,205.0,-50.49262619018555,181.42935180664062,0.8682779669761658,0.012833077932624282,176.4363250732422,-183.3883151238808,12.572746071473079,16000,-11.622138977050781,0.3606950342655182,532.1859741210938,0.2871652841567993,0.35324493050575256,0.9467321038246155,0.9373181462287903,0.2052354696393013,-33.077938079833984,74.81432075042663
-207.17893045394558,0.20670808851718903,,-214.96293472223587,218.0,9,0.21013084053993225,-46.371795654296875,240.20954394340515,82.03211009174312,218.0,-36.10660934448242,199.80142211914062,0.8700273036956787,0.011388705069074755,197.60475158691406,-207.17893045394558,12.582582821813242,18000,0.8039765357971191,0.3547903597354889,180.82444763183594,0.29445680975914,0.3433098793029785,0.957779049873352,0.9517608284950256,0.2091357582807541,-51.584434509277344,74.9345746405518
-242.03191775713108,0.2314278930425644,,-296.9667899675588,231.0,10,0.2408449351787567,2.637185573577881,267.0084066390991,86.29004329004329,231.0,14.420576095581055,201.494873046875,0.8736060261726379,0.012580215599082718,199.30055236816406,-242.03191775713108,12.627999238665765,20000,8.688359260559082,0.35155487060546875,370.1322021484375,0.3023656904697418,0.3333420753479004,0.952767014503479,0.9368144273757935,0.19007174864411355,-83.92143249511719,74.90400864806074
