total/epochs,rollout/episode_steps,train/loss_critic,obs_rms_mean,reference_actor_Q_mean,rollout/actions_mean,train/param_noise_distance,rollout/Q_mean,rollout/return_history,obs_rms_std,reference_Q_std,AI_distance,rollout/return,reference_actor_Q_std,reference_perturbed_action_std,AI_return,rollout/actions_std,total/steps_per_second,rollout/episodes,train/loss_actor,reference_Q_mean,total/duration,reference_action_std,total/steps,AI_success_rate,total/episodes,param_noise_stddev,reference_action_mean,reference_perturbed_action_mean
11,175.592,1151.9962158203125,0.4570622146129608,-111.87498474121094,0.2594980001449585,0.20999335438013078,-164.75411987304688,-944.0236562570549,0.1954544335603714,313.0289611816406,14.542641689350807,-1040.6781926486074,308.55694580078125,0.9695377945899963,-1040.6781926486074,0.9241208434104919,74.10205837527015,125.0,206.1228485107422,-120.16717529296875,296.8878393173218,0.9763590693473816,22000,,125.0,0.009149642450409314,0.08489199727773666,0.12519612908363342
12,174.54744525547446,895.25341796875,0.4545203447341919,-93.6621322631836,0.2524236738681793,0.20534722417593002,-155.3592529296875,-840.2821544901107,0.19520895183086395,285.017822265625,14.296204964095757,-945.6780719502839,279.45684814453125,0.9632259011268616,-945.6780719502839,0.9262555837631226,73.918575297174,137.0,188.1558837890625,-101.9676742553711,324.6815824508667,0.9694384336471558,24000,,137.0,0.00795985011672278,0.021750016137957573,0.05242449790239334
13,172.04635761589404,349.9981689453125,0.45555379986763,-69.22325134277344,0.23855693638324738,0.1997415292263031,-145.69676208496094,-740.1667319697897,0.19383324682712555,268.9549865722656,14.16467307428113,-845.8961535199423,265.56549072265625,0.9538316130638123,-845.8961535199423,0.9304254651069641,74.01589475295924,151.0,144.2489013671875,-79.30162048339844,351.2758994102478,0.9602953195571899,26000,,151.0,0.00795985011672278,0.07003731280565262,0.13126438856124878
14,170.26829268292684,721.1341552734375,0.4559093415737152,-58.47361755371094,0.22866247594356537,0.21134616300463677,-135.20530700683594,-654.1934274454417,0.19322983920574188,270.8780822753906,14.05736706205669,-752.9614713734924,267.56494140625,0.9384563565254211,-752.9614713734924,0.9329212307929993,74.2156676577893,164.0,115.16908264160156,-65.85205078125,377.27882647514343,0.9516781568527222,28000,,164.0,0.00678832942351661,0.11208309978246689,-0.0019677686505019665
15,168.52247191011236,296.2644348144531,0.45876768231391907,-50.9638557434082,0.22103817760944366,0.2079104720056057,-123.37664031982422,-208.1543922241851,0.19249074161052704,254.27816772460938,13.918324701194136,-648.218923605618,249.65904235839844,0.9582529664039612,-648.218923605618,0.9344809055328369,74.41074263086273,178.0,96.89437866210938,-58.81861114501953,403.16759300231934,0.9737769961357117,30000,,178.0,0.006924774844929294,0.04702915623784065,0.04973338171839714
16,168.2910052910053,324.74591064453125,0.4588061273097992,-38.81842041015625,0.22168299555778503,0.20849333047866822,-110.85308837890625,-22.35064389677923,0.19312621653079987,240.43309020996094,13.72671879246991,-549.1815881769201,235.68080139160156,0.9657366275787354,-549.1815881769201,0.9346213936805725,74.30625280129959,189.0,71.94929504394531,-48.628662109375,430.650164604187,0.9672236442565918,32000,,189.0,0.006924774844929294,0.06296449899673462,0.019802279770374298
17,168.66169154228857,730.2160034179688,0.46181777119636536,-13.797736167907715,0.2265223264694214,0.197208448946476,-96.70693969726562,293.0171219494261,0.19346903264522552,237.8069610595703,13.435786387166965,-410.1819680901755,233.56326293945312,0.9537956118583679,-410.1819680901755,0.933592677116394,74.43883169097377,201.0,23.960533142089844,-23.826961517333984,456.7508547306061,0.9632425308227539,34000,,201.0,0.00678832942351661,0.17365962266921997,0.17183728516101837
18,167.50934579439252,434.8011474609375,0.46369513869285583,12.104406356811523,0.23260636627674103,0.19958198130130766,-87.75926971435547,647.4784577477755,0.1949477195739746,239.0870361328125,13.284650691753344,-294.7856327504481,236.4942626953125,0.9533638954162598,-294.7856327504481,0.93203204870224,73.98831440883671,214.0,-12.65028190612793,0.8124799728393555,486.563321352005,0.9411493539810181,36000,0.004672897196261682,214.0,0.00652345114787383,0.27516573667526245,0.24102996289730072
19,167.70353982300884,622.077880859375,0.4662688970565796,27.274547576904297,0.23871515691280365,0.19623779758810997,-84.19596862792969,791.3377267128085,0.19547252357006073,265.9486999511719,13.20684861770834,-225.2397335507772,263.8940734863281,0.9244016408920288,-225.2397335507772,0.9307003021240234,73.77233237139683,226.0,-65.52257537841797,14.632146835327148,515.0982594490051,0.9704397916793823,38000,0.004424778761061947,226.0,0.006394913388759758,0.1586395502090454,0.27130404114723206
20,167.80252100840337,833.7478637695312,0.46074795722961426,79.42012786865234,0.23668335378170013,0.197590204924345,-69.73497772216797,999.7349645260448,0.1993798464536667,289.8866882324219,12.858361965963942,-121.40914818681503,286.8623352050781,0.9563995003700256,-121.40914818681503,0.9314902424812317,73.57990869975825,238.0,-147.42430114746094,64.54745483398438,543.6266598701477,0.952860414981842,40000,0.004201680672268907,238.0,0.008449541294664952,0.24520531296730042,0.24112428724765778
21,168.50602409638554,700.093505859375,0.4615071713924408,134.3392791748047,0.24238230288028717,0.1953173691034317,-44.18650436401367,1284.5485459475792,0.1999487429857254,287.0860595703125,12.56725939048429,10.36554543229364,285.3337097167969,0.9291911125183105,10.36554543229364,0.9306475520133972,73.59085029897801,249.0,-232.54295349121094,116.18656158447266,570.7231242656708,0.9318566918373108,42000,0.004016064257028112,249.0,0.008449541294664952,0.3195655047893524,0.33249589800834656
