#{"t_start": 1522638728.728075, "env_id": null}
r,l,t
-1817.49612,87,309.252875
-1398.839904,40,310.387818
-1564.097245,88,311.842113
-599.037783,106,313.073
-732.05748,89,314.256985
-1489.422857,76,314.394421
-1473.464608,79,315.560263
-1076.696173,68,316.713542
-1559.308563,81,317.889103
-1255.690953,34,317.956722
-1584.413343,82,319.162743
-1509.619967,81,320.384468
-1448.662128,62,320.501319
-1317.731495,82,321.741608
-1838.161464,89,322.962683
-1295.959006,81,324.177081
-787.331284,107,325.448338
-1748.362709,90,326.683379
-1438.390326,80,327.912526
-1571.967914,82,328.064532
-1694.836225,84,329.28208
-912.767101,80,330.488252
-2074.905281,94,331.73597
-1349.378314,90,332.958719
-2673.149132,96,334.184857
-2349.5135,90,335.378275
-1356.28012,58,335.480002
-1217.446394,31,336.765334
-1367.334832,43,337.04846
-1362.47549,88,338.630721
-1491.235227,61,339.973018
-1491.590033,73,340.131225
-1185.306839,79,341.505593
-1587.385606,99,342.787383
-1356.385062,45,343.956487
-1226.886489,98,344.1402
-1521.567931,92,345.399017
-1810.18192,82,346.637472
-1638.346734,58,347.83942
-1405.138041,51,347.938707
-911.008607,14,347.968742
-1645.806101,84,349.216259
-1591.218004,84,350.471333
-1541.686077,50,351.661313
-1590.277211,83,351.823214
-1178.144237,89,353.08534
-886.19071,90,354.34765
-1489.681306,80,355.59879
-1614.857429,53,356.80221
-1405.333496,90,356.977556
-1662.95246,85,358.225049
-1436.126942,65,359.430969
-1487.577321,50,359.527442
-1449.919885,78,360.764434
-1615.197985,82,362.008304
-1254.058928,46,363.429652
-1474.69627,81,363.575142
-1538.218297,50,364.713262
-1329.631921,93,365.946732
-1175.100442,90,367.184382
-2835.935577,122,368.503878
-1199.823556,79,369.731224
-1384.01286,60,369.849946
-1034.114664,108,371.140726
-885.709604,105,372.42862
-1507.109542,65,373.644405
-1329.564427,81,374.855395
-1031.811901,21,374.895459
-1362.894456,81,376.096528
-1667.949984,81,377.278443
-950.797456,84,378.468799
-1294.148414,87,378.631519
-699.248058,103,380.322118
-1538.757187,76,382.079938
-1472.525187,67,383.587371
-1268.619168,79,384.83153
-1240.911986,78,384.969023
-1659.336881,54,386.108296
-1189.291611,98,387.377516
-2125.868839,83,388.600613
-1323.577546,94,390.073866
-1358.933808,97,391.296561
-1304.436056,40,391.364899
-1234.50979,107,392.61621
-1468.214536,45,393.783607
-1486.307408,43,393.869531
-1630.35025,90,395.102902
-2155.750634,79,396.285975
-1494.336383,67,396.40396
-1338.660328,91,397.635426
-1408.41473,73,398.840965
-324.603329,99,400.080203
-1123.606413,25,400.126872
-1180.979941,98,401.398982
-1097.773059,23,402.51411
-1351.959262,80,402.661453
-1359.570054,60,403.824011
-2078.260843,97,405.039005
-1412.32027,37,405.113184
-1729.505552,71,406.281951
-1530.013054,72,407.446313
-1605.133698,54,407.546598
-1057.319819,88,408.965168
-1257.443118,57,410.272249
-1401.719824,58,410.39714
-727.765771,97,411.655835
-541.768321,106,412.887983
-988.790036,99,414.156867
-1269.885035,77,415.607922
-1031.089426,80,416.796494
-1930.298025,83,417.982441
-1282.291216,85,419.20737
-1344.116626,65,419.325703
-1396.047133,81,420.526854
-1665.506667,88,421.728502
-1177.498402,79,422.933324
-424.035136,106,424.203007
-1743.225992,86,425.439485
-1272.622077,96,426.672626
-1302.622729,79,426.825267
-1205.4013,78,428.020814
-1445.424679,87,429.227924
-1283.516592,39,429.302975
-1488.903015,72,430.516966
-1236.064528,65,431.684151
-1512.169453,51,431.778643
-1503.68403,93,433.023476
-876.45183,107,434.269527
-693.750619,96,435.508044
-1560.543219,60,436.671373
-1286.902116,66,436.790004
-1497.307299,61,437.95071
-1388.519093,87,439.160146
-1540.25972,63,440.580282
-749.607519,109,441.845092
-1543.992962,69,441.973186
-977.162096,92,443.450917
-1187.741433,96,445.030194
-1636.852207,53,446.351854
-2079.43246,82,447.616517
-1345.801665,44,447.701874
-1224.664763,86,448.951509
-371.400863,95,450.22455
-1225.033684,106,451.51415
-994.760026,108,452.813337
-1337.243534,70,454.175564
-1468.279165,77,454.410174
-1572.644044,59,456.100353
-1332.826593,86,457.66427
-1277.355674,32,457.750506
-1188.7487,92,459.157066
-1398.365945,59,460.483597
-1384.764371,92,461.744083
-1705.215502,87,462.952161
-387.023753,106,464.215634
-1351.092522,37,464.288742
-1198.827902,71,465.493973
-1071.868235,22,465.538207
-1032.821339,20,465.577511
-971.894054,106,466.849889
-1150.17224,85,468.287989
-1259.537676,77,469.488271
-1619.575422,70,469.62074
-1025.919322,76,470.83187
-1594.475509,83,472.048091
-1431.397588,91,473.293774
-1548.193682,75,474.497583
-1358.495988,80,475.705173
-555.868,109,476.944063
-1336.845974,98,478.187806
-470.75888,93,479.419015
-846.088127,96,479.594604
-1260.381392,84,480.784729
-1447.708891,76,481.976137
-643.409138,98,483.208805
-781.789677,91,484.440218
-1401.515754,45,484.527491
-1571.232201,107,485.78714
-1379.283377,44,486.929825
-595.908359,97,488.168134
-763.391129,134,489.46313
-1540.658554,58,490.645927
-217.481377,113,491.928668
-1645.471399,82,493.370215
521.224505,95,494.612104
-1475.864009,105,496.352571
-1556.910589,91,497.909851
-1089.502891,25,497.976425
-2171.386872,174,500.754198
-49.424471,102,502.176545
-219.281338,102,503.595051
-2130.401544,77,503.761946
-1654.511632,84,505.144739
-1769.870034,74,506.516733
-1812.068111,106,508.355608
-1580.717544,75,509.88224
-1747.676882,78,511.281877
-2204.763621,99,512.659996
-2088.19492,69,512.788178
-1028.612515,101,514.023513
-1071.013078,74,515.210415
-1451.674774,80,516.431413
-287.974186,99,517.672857
-1052.419936,90,518.902593
-857.573916,99,520.164003
-1187.61802,89,521.614993
-1273.993348,79,521.756846
-2126.052339,74,522.980262
-1310.873099,103,524.260373
-755.222477,90,525.483719
-1396.412908,78,526.692576
-1416.189958,90,527.926352
-1002.165457,79,529.128791
-1600.453354,62,529.244197
-1734.770869,99,530.488236
-558.824713,102,531.75364
-1073.740403,91,533.012913
-1871.565739,79,534.215151
-1131.723375,86,535.399627
319.585877,75,536.56446
-1189.090887,62,536.671123
-1919.67201,64,537.812873
-122.483447,89,539.018847
-1371.851769,86,540.225634
352.145825,92,540.388209
-494.813474,99,541.609196
-1410.033877,91,542.849868
-344.265612,77,544.069371
