AI_success_rate,obs_rms_mean,reference_Q_std,obs_rms_std,train/param_noise_distance,total/duration,total/epochs,reference_perturbed_action_std,rollout/return,reference_perturbed_action_mean,reference_actor_Q_mean,reference_action_std,total/steps_per_second,reference_action_mean,train/loss_actor,rollout/episode_steps,rollout/Q_mean,rollout/actions_mean,rollout/return_history,train/loss_critic,AI_distance,AI_return,rollout/episodes,reference_actor_Q_std,param_noise_stddev,rollout/actions_std,reference_Q_mean,total/episodes,total/steps
,nan,19.629791259765625,0.12465870380401611,0.23755347564816476,27.634114265441895,1,0.7419473528862,33.15110314722545,0.6124216914176941,0.8645401000976562,0.7806136608123779,72.3743117216939,0.5952475070953369,-5.7383294105529785,53.7027027027027,2.2131659984588623,0.3491811454296112,33.15110314722545,15.831212997436523,14.061181767826064,33.15110314722545,37.0,19.041160583496094,0.0156587938752642,0.8108829259872437,0.3660432696342468,37.0,2000
,nan,32.107505798339844,0.12167050689458847,0.22457896284759044,54.80263590812683,2,0.5244735479354858,75.9463354652614,0.7471107244491577,18.93747329711914,0.8416764140129089,72.98918991242954,0.5381391644477844,-22.487010955810547,47.583333333333336,8.409262657165527,0.447288453578949,75.9463354652614,36.3574333190918,13.946373164161649,75.9463354652614,84.0,31.602352142333984,0.03758713295613904,0.8115584254264832,17.755247116088867,84.0,4000
,nan,45.20631790161133,0.11911960691213608,0.1391138662910089,80.20029330253601,3,0.8451263904571533,98.31498068251155,0.5065908432006836,37.301246643066406,0.8653901815414429,74.81269398063753,0.5000791549682617,-42.18307113647461,49.208333333333336,17.886474609375,0.47801473736763,119.2209201155474,49.308528900146484,13.31900415648567,98.31498068251155,120.0,45.463836669921875,0.06181699495154319,0.8126628994941711,36.111778259277344,120.0,6000
,nan,57.34550094604492,0.11862745136022568,0.20680515527725218,107.67858982086182,4,0.86809903383255,106.04120424077237,0.38402777910232544,57.871002197265625,0.8912872672080994,74.29517802293941,0.3919099271297455,-62.01487731933594,49.5527950310559,26.88620948791504,0.4877717196941376,126.07118703934002,75.68589782714844,13.291020127334454,106.04120424077237,161.0,57.68603515625,0.004046238451403247,0.8132240772247314,56.289798736572266,161.0,8000
,nan,58.90640640258789,0.11790858954191208,0.16270901076495647,134.55780863761902,5,0.882714033126831,81.46165310778309,0.44361281394958496,78.18269348144531,0.8609029650688171,74.31750042044196,0.49865955114364624,-78.93389892578125,50.401015228426395,35.553348541259766,0.4633554220199585,76.75549637830923,75.42153930664062,13.188227663739038,81.46165310778309,197.0,57.266448974609375,0.0045594027649236,0.8306129574775696,75.86973571777344,197.0,10000
,nan,63.92203140258789,0.11729735136032104,0.22694025561213493,163.10122632980347,6,0.8378567099571228,91.00907979122373,0.5052725672721863,90.81130981445312,0.8285782337188721,73.57394098150469,0.511099100112915,-93.67973327636719,50.76271186440678,45.08839416503906,0.47100919485092163,77.56552234196499,58.1839599609375,13.035188427828329,91.00907979122373,236.0,63.409080505371094,0.004744532800384585,0.8327810764312744,88.36568450927734,236.0,12000
,nan,68.78712463378906,0.11798954010009766,0.20841624215245247,188.86671137809753,7,0.8931108713150024,96.07545342630333,0.303695410490036,112.87936401367188,0.8804699182510376,74.12635025964427,0.348166286945343,-109.05801391601562,52.473684210526315,51.55848693847656,0.461996853351593,79.3014021686851,102.17959594726562,13.13463896633373,96.07545342630333,266.0,68.1082763671875,0.003663006885632498,0.8340998888015747,110.99859619140625,266.0,14000
,nan,82.56959533691406,0.11876684427261353,0.2149471041560173,214.9837028980255,8,0.876232922077179,103.7423034975285,0.3394937217235565,133.48463439941406,0.9074310660362244,74.42424604431237,0.2955993413925171,-127.58921813964844,55.09310344827586,59.84231948852539,0.4341828227043152,142.05404549737847,180.21621704101562,13.142515411129068,103.7423034975285,290.0,81.8401870727539,0.00396651156886898,0.8445507287979126,131.164794921875,290.0,16000
,nan,87.90115356445312,0.11885475367307663,0.20103068217635156,242.65163111686707,9,0.8449077606201172,106.41742787964506,0.35339996218681335,144.92372131347656,0.8916376829147339,74.18042037117299,0.31343284249305725,-148.81088256835938,57.33226837060703,67.84357452392578,0.42579925060272217,144.37524857945434,166.5591278076172,13.120781906095083,106.41742787964506,313.0,86.99205780029297,0.004046238451403247,0.8440341353416443,141.78643798828125,313.0,18000
,nan,97.0026626586914,0.11795619875192642,0.21359905034303664,272.2220678329468,10,0.8808942437171936,124.13154744466786,0.3375801146030426,162.83201599121094,0.9194919466972351,73.46942942286849,0.2877468168735504,-158.4660186767578,59.8433734939759,79.73294830322266,0.4132152795791626,205.33886634540104,255.94851684570312,12.960348515282,124.13154744466786,332.0,95.37085723876953,0.003736633324033711,0.8484753370285034,160.03378295898438,332.0,20000
,nan,101.44105529785156,0.11815086752176285,0.22240857243537904,303.41279101371765,11,0.8525729179382324,139.65776900238427,0.3876323997974396,174.03494262695312,0.8433882594108582,72.50847904762642,0.4055103361606598,-179.69314575195312,62.26628895184136,88.97960662841797,0.4027477502822876,245.18630539224617,298.2648010253906,12.840785880310918,139.65776900238427,353.0,99.64188385009766,0.0038883556208891092,0.8529954552650452,170.89266967773438,353.0,22000
,nan,106.36264038085938,0.11766641587018967,0.2035798367857933,333.88693141937256,12,0.8979099988937378,140.9119265298431,0.3308675289154053,182.40176391601562,0.8947746753692627,71.88062107724498,0.33074480295181274,-189.0801239013672,65.03269754768392,99.1640396118164,0.3878496587276459,263.3269612949116,161.3777313232422,12.77507614172206,140.9119265298431,367.0,104.67188262939453,0.004046238451403247,0.8562038540840149,179.47703552246094,367.0,24000
