reference_perturbed_action_std,AI_success_rate,param_noise_stddev,train/param_noise_distance,rollout/return,reference_perturbed_action_mean,reference_action_std,rollout/Q_mean,reference_actor_Q_mean,reference_Q_std,total/epochs,total/episodes,train/loss_actor,total/duration,total/steps,reference_Q_mean,rollout/episode_steps,rollout/episodes,obs_rms_std,AI_distance,rollout/return_history,total/steps_per_second,reference_action_mean,rollout/actions_mean,AI_return,reference_actor_Q_std,obs_rms_mean,rollout/actions_std,train/loss_critic
0.7248737215995789,,0.021962663920618616,0.17896924778819084,5.777367805587134,0.65285724401474,0.6630834341049194,-11.717767715454102,-18.734642028808594,74.4352798461914,1,22.0,17.735286712646484,34.841277837753296,2000,-20.54120635986328,83.95454545454545,22.0,0.36969801783561707,12.918382327409093,5.777367805587134,57.403175891351516,0.7275371551513672,0.36019790172576904,5.777367805587134,73.28244018554688,0.38383805751800537,0.8411257266998291,89.0711898803711
0.7642849683761597,,0.023313810312614223,0.20408372208476067,-216.8227458791826,0.6183223724365234,0.7378548383712769,-29.159624099731445,25.308090209960938,181.24485778808594,2,42.0,17.71042251586914,69.62723350524902,4000,20.864948272705078,92.45238095238095,42.0,0.36120709776878357,12.890077467465765,-216.8227458791826,57.44878546263726,0.6626102924346924,0.5828207731246948,-216.8227458791826,179.6139678955078,0.3601940870285034,0.7360208034515381,167.57492065429688
0.815403401851654,,0.0191067043241956,0.19279486447572708,151.56214860659583,0.556812584400177,0.8173366189002991,-11.878634452819824,56.182029724121094,229.4794921875,3,52.0,-27.723743438720703,105.23791074752808,6000,51.44690704345703,114.75,52.0,0.34334543347358704,12.836247544286984,151.56214860659583,57.01367461004003,0.5674998760223389,0.6100381016731262,151.56214860659583,226.15982055664062,0.3876396715641022,0.7294409275054932,284.2650146484375
0.8349187970161438,,0.017999379770019416,0.20944265753030777,297.2179343010309,0.5314703583717346,0.8285460472106934,39.215843200683594,112.19502258300781,294.1199645996094,4,70.0,-129.4706573486328,139.9771807193756,8000,106.37361145019531,110.88571428571429,70.0,0.3436664640903473,12.529028852943691,297.2179343010309,57.15217265332907,0.5420555472373962,0.6011030673980713,297.2179343010309,292.1496887207031,0.399484783411026,0.7475435137748718,368.4439697265625
0.8728821873664856,,0.017999379770019416,0.19742096081376076,420.5593453970689,0.4552086293697357,0.8763014674186707,75.67620849609375,193.90623474121094,328.7792053222656,5,87.0,-221.60011291503906,174.35237193107605,10000,186.82186889648438,114.7816091954023,87.0,0.34211716055870056,12.075228911194005,420.5593453970689,57.35511303484383,0.4367588758468628,0.5907739996910095,420.5593453970689,325.90606689453125,0.3998185396194458,0.7611163258552551,3253.452392578125
0.8169663548469543,,0.017999379770019416,0.20389458388090134,624.1646226060121,0.5473728179931641,0.8387123942375183,137.4391632080078,271.78753662109375,376.591796875,6,97.0,-319.691162109375,210.1923201084137,12000,260.5278625488281,123.64948453608247,97.0,0.3378879725933075,11.811574036743613,624.1646226060121,57.09057302288971,0.5215892195701599,0.5843911170959473,624.1646226060121,375.4652099609375,0.4086000919342041,0.7682851552963257,634.2490844726562
0.8782626986503601,,0.015973535632157008,0.23192577362060546,1017.2263215766611,0.3928823471069336,0.8803027868270874,204.3968963623047,314.9747009277344,407.5732727050781,7,106.0,-425.2939758300781,247.00592279434204,14000,301.2225341796875,132.0,106.0,0.331281453371048,11.39543850468141,1124.7162253182955,56.6788028465878,0.4130045175552368,0.5887190103530884,1017.2263215766611,406.3023376464844,0.4182811975479126,0.7614282965660095,656.0830688476562
0.8977332711219788,,0.014751292160020392,0.20554912805557252,1212.1418780555264,0.39467090368270874,0.8942140936851501,268.24981689453125,376.02532958984375,455.3524475097656,8,115.0,-554.3284912109375,281.89143228530884,16000,359.51904296875,137.36521739130436,115.0,0.3295612633228302,11.13755780379986,1398.8828886062183,56.759440577129816,0.3934516906738281,0.5816594958305359,1212.1418780555264,455.86798095703125,0.42247775197029114,0.7640957832336426,2924.792236328125
0.9158264398574829,,0.012833077932624282,0.21608166232705117,1383.6141822445534,0.35188359022140503,0.9295623302459717,335.8105773925781,418.4285888671875,461.9196472167969,9,125.0,-677.0671997070312,316.2396614551544,18000,401.2244873046875,142.136,125.0,0.32690176367759705,10.981594814285149,1771.7947062546593,56.91885678467487,0.32388681173324585,0.5748699903488159,1383.6141822445534,460.1777648925781,0.42666175961494446,0.7691355347633362,1892.587646484375
0.8827107548713684,,0.013896384493189945,0.20270834892988204,1617.5220162915673,0.4313974976539612,0.848255455493927,381.0589599609375,498.2487487792969,501.3085632324219,10,133.0,-804.0554809570312,351.81349897384644,20000,481.20074462890625,149.5563909774436,133.0,0.3236215114593506,11.070510641157377,2250.9321450189027,56.84830189385878,0.48828834295272827,0.5763445496559143,1617.5220162915673,500.4053649902344,0.4302661418914795,0.7674994468688965,2521.914306640625
0.7898302674293518,,0.015973535632157008,0.2008452333509922,1662.9089329471215,0.5776198506355286,0.8228753209114075,444.4119873046875,544.1353149414062,557.574462890625,11,141.0,-904.1984252929688,386.86147141456604,22000,524.1113891601562,154.82269503546098,141.0,0.32145455479621887,11.029475711666548,2465.945566442091,56.86790136933667,0.5348624587059021,0.5770426988601685,1662.9089329471215,557.8969116210938,0.43325290083885193,0.7668153643608093,5291.24951171875
