AI_return,train/loss_critic,total/steps,rollout/episodes,reference_actor_Q_mean,total/steps_per_second,rollout/actions_mean,obs_rms_std,total/episodes,reference_perturbed_action_mean,reference_perturbed_action_std,reference_Q_std,reference_action_mean,rollout/return,AI_distance,total/duration,rollout/episode_steps,obs_rms_mean,reference_Q_mean,AI_success_rate,param_noise_stddev,reference_action_std,rollout/actions_std,total/epochs,train/loss_actor,train/param_noise_distance,rollout/Q_mean,rollout/return_history,reference_actor_Q_std
-3119.0287024885993,240.00656127929688,2000,9.0,-71.10769653320312,45.01230024348612,0.39681529998779297,0.22093452513217926,9.0,0.25433388352394104,0.9261423945426941,101.5809326171875,-0.18533244729042053,-3119.0287024885993,18.46985706664354,44.43229937553406,187.77777777777777,0.4679405987262726,-75.0706558227539,,0.017999379770019416,0.9657522439956665,0.8185229301452637,1,71.85211181640625,0.20798899695277215,-18.615217208862305,-3119.0287024885993,99.13776397705078
-2197.703020445766,453.04376220703125,4000,21.0,-148.34011840820312,44.494204893385096,0.1339249312877655,0.2212364673614502,21.0,-0.1082104742527008,0.9817511439323425,216.93338012695312,-0.018190935254096985,-2197.703020445766,17.013951666230096,89.89934778213501,181.61904761904762,0.47435370087623596,-158.39175415039062,,0.016294603698363365,0.979494571685791,0.9328398108482361,2,131.23062133789062,0.1967070308327675,-35.622535705566406,-2197.703020445766,212.18531799316406
-763.0530390196129,355.0753479003906,6000,33.0,-182.63644409179688,44.559582628013416,0.18089444935321808,0.22135360538959503,33.0,0.10436759889125824,0.9806867241859436,322.0956115722656,0.1389605551958084,-763.0530390196129,13.670493395038706,134.65117144584656,180.8181818181818,0.4584730565547943,-197.37782287597656,0.030303030303030304,0.016294603698363365,0.9729614853858948,0.9291369318962097,3,87.8669662475586,0.20645119577646256,-25.351404190063477,-763.0530390196129,320.6063537597656
87.79273416840222,622.95703125,8000,45.0,-118.36632537841797,44.26879721426962,0.21790869534015656,0.22047920525074005,45.0,-0.014300473965704441,0.9831569194793701,434.7320251464844,0.004649344831705093,87.79273416840222,12.602563079738795,180.71419382095337,176.8,0.47381162643432617,-140.46807861328125,0.022222222222222223,0.015047793132436803,0.9849071502685547,0.9305721521377563,4,-21.288991928100586,0.2025291509926319,-13.022697448730469,87.79273416840222,438.2141418457031
-39.852568552986895,1238.9886474609375,10000,54.0,-22.517616271972656,44.53793679818054,0.15776900947093964,0.2146637886762619,54.0,0.09627356380224228,0.9820621013641357,550.2634887695312,0.05666055530309677,-39.852568552986895,12.84512078842837,224.52768850326538,185.16666666666666,0.4688051640987396,-46.17184829711914,0.018518518518518517,0.012580215599082718,0.9830009937286377,0.9423279762268066,5,-129.60337829589844,0.20248420268297196,-7.644076347351074,-39.852568552986895,554.7735595703125
320.058546481402,1758.927001953125,12000,66.0,41.288185119628906,44.64693982139692,0.18609316647052765,0.21815381944179535,66.0,0.06473281234502792,0.9789180159568787,637.8777465820312,0.04485134780406952,320.058546481402,12.248489466348717,268.77541995048523,180.66666666666666,0.470562219619751,19.52178192138672,0.015151515151515152,0.009521154623962158,0.9814668297767639,0.9426564574241638,6,-222.82957458496094,0.20906344607472419,51.201881408691406,320.058546481402,640.9972534179688
375.91254452174724,4903.7763671875,14000,76.0,90.2590560913086,44.61536766493854,0.20551930367946625,0.22116154432296753,76.0,-0.04343079775571823,0.9706199169158936,704.4661254882812,0.03253962844610214,375.91254452174724,12.10333226660317,313.79322266578674,183.51315789473685,0.46680355072021484,64.47273254394531,0.013157894736842105,0.008449541294664952,0.9793035984039307,0.9411229491233826,7,-326.6312255859375,0.2072548720240593,92.70060729980469,375.91254452174724,704.1421508789062
193.63246854566935,3737.7529296875,16000,83.0,124.41592407226562,44.707071875011415,0.20563936233520508,0.22116132080554962,83.0,-0.0874711349606514,0.9703014492988586,801.8035278320312,-0.09820304811000824,193.63246854566935,12.36226905684819,357.88521432876587,190.0120481927711,0.46570098400115967,102.04698944091797,0.012048192771084338,0.00795985011672278,0.9773226380348206,0.9418218731880188,8,-379.9029235839844,0.20392759427428245,127.13582611083984,193.63246854566935,804.3795166015625
-81.26439342457283,3738.8671875,18000,92.0,165.70875549316406,44.87524252069201,0.20817774534225464,0.22025908529758453,92.0,0.1357308030128479,0.9693654179573059,879.880859375,0.10341563075780869,-81.26439342457283,12.771731222081613,401.11203837394714,194.27173913043478,0.46390286087989807,145.30230712890625,0.010869565217391304,0.008619377074687717,0.9785395264625549,0.9416145086288452,9,-436.7484436035156,0.20470147117972373,164.9256591796875,-81.26439342457283,879.8634033203125
40.65937586503861,1918.2911376953125,20000,103.0,174.2090606689453,44.925495673158224,0.21341530978679657,0.21985532343387604,103.0,0.09493882954120636,0.9614747166633606,898.1235961914062,0.0699758529663086,40.65937586503861,12.523934195055965,445.18150997161865,193.45631067961165,0.4654499590396881,149.74591064453125,0.009708737864077669,0.00735078803626736,0.9666829109191895,0.9404833316802979,10,-452.61114501953125,0.20762017279863357,217.6527557373047,71.49438057736361,895.6089477539062
