AI_success_rate,reference_Q_mean,rollout/return_history,reference_actor_Q_mean,total/epochs,total/duration,rollout/return,rollout/episode_steps,train/param_noise_distance,total/episodes,AI_distance,rollout/actions_mean,reference_Q_std,total/steps_per_second,rollout/actions_std,reference_perturbed_action_mean,obs_rms_std,reference_action_mean,rollout/episodes,total/steps,param_noise_stddev,AI_return,obs_rms_mean,train/loss_actor,reference_perturbed_action_std,rollout/Q_mean,train/loss_critic,reference_actor_Q_std,reference_action_std
,-7.1683149337768555,-837.4733385888086,-6.347347736358643,1,18.673548936843872,-837.4733385888086,140.21428571428572,0.20910007193684577,14.0,13.601087874482674,0.08835049718618393,14.717551231384277,107.10336887563442,0.9065009355545044,0.45683807134628296,0.21004121005535126,0.49231821298599243,14.0,2000,0.06693894750505575,-837.4733385888086,0.46408161520957947,4.819941997528076,0.8521377444267273,-1.8158012628555298,4.325274467468262,14.519354820251465,0.8657095432281494
,-2.2516212463378906,801.7883823297117,-0.7298531532287598,2,36.43268918991089,801.7883823297117,153.07692307692307,0.20212233304977417,26.0,10.976275235818603,0.2188323736190796,34.955081939697266,109.79151111106283,0.9046154618263245,0.4296641945838928,0.2055375576019287,0.34883150458335876,26.0,4000,0.03335667202186392,801.7883823297117,0.47337377071380615,-8.750651359558105,0.8920329213142395,3.928661346435547,11.268453598022461,34.997314453125,0.9152190685272217
,10.82368278503418,717.0928493228133,12.709091186523438,3,54.92855715751648,717.0928493228133,152.76923076923077,0.20198311448097228,39.0,10.914107131030903,0.19849365949630737,50.997718811035156,109.23279821084749,0.9110474586486816,0.14748767018318176,0.21109914779663086,0.12004339694976807,39.0,6000,0.021962663920618616,717.0928493228133,0.46526166796684265,-25.658981323242188,0.8838281631469727,7.270691871643066,15.045439720153809,49.692928314208984,0.9236195087432861
,30.701969146728516,515.33765359114,32.46101379394531,4,74.3926510810852,515.33765359114,158.48,0.20800803169608117,50.0,11.224126143021955,0.166696697473526,58.80999755859375,107.53750382252542,0.9096757769584656,0.16919872164726257,0.2148786038160324,0.16155652701854706,50.0,8000,0.017644720880324885,515.33765359114,0.4547429084777832,-38.4317741394043,0.8653888702392578,7.181914329528809,20.082481384277344,57.83541488647461,0.8895409107208252
,31.865278244018555,789.7883546577975,33.85193634033203,5,92.51127505302429,789.7883546577975,160.06451612903226,0.2144884344935417,62.0,10.867139899133928,0.14194256067276,66.81641387939453,108.0949321503605,0.9044339656829834,0.10849498957395554,0.21203987300395966,0.11033706367015839,62.0,10000,0.017297050171870294,789.7883546577975,0.45782342553138733,-47.31557083129883,0.8736798763275146,17.31197738647461,19.531944274902344,66.13352966308594,0.879707932472229
,38.213600158691406,380.1053601760679,40.28556442260742,6,109.53390979766846,380.1053601760679,168.56338028169014,0.19600197315216064,71.0,11.73943806252458,0.12797172367572784,77.04686737060547,109.55511423052874,0.8927828669548035,-0.002748200437054038,0.21224822103977203,0.2824147045612335,71.0,12000,0.017297050171870294,380.1053601760679,0.46334680914878845,-51.969974517822266,0.851624608039856,22.304920196533203,38.46250915527344,76.41325378417969,0.8646188378334045
,51.44377136230469,353.5755946216532,53.76461410522461,7,129.30190110206604,353.5755946216532,170.65853658536585,0.2114894536137581,82.0,12.338520675976971,0.1498231738805771,88.5350570678711,108.27373674072223,0.8788620829582214,0.0667969137430191,0.21494585275650024,0.06925420463085175,82.0,14000,0.014175701821503062,353.5755946216532,0.47193393111228943,-67.9212417602539,0.8415249586105347,29.591575622558594,25.48113441467285,88.8612289428711,0.8203984498977661
,65.41860961914062,342.54588821258943,68.03318786621094,8,149.14618825912476,342.54588821258943,175.87777777777777,0.20613824009895323,90.0,12.287487012145949,0.15641123056411743,98.86833953857422,107.27729744056077,0.8744797706604004,0.1754324734210968,0.21636082231998444,0.21051710844039917,90.0,16000,0.0136225708197137,342.54588821258943,0.47140368819236755,-76.64205932617188,0.7910995483398438,36.34589767456055,25.99597930908203,99.003662109375,0.802996814250946
,82.135986328125,422.23114372041357,85.81956481933594,9,170.1780354976654,422.23114372041357,178.06315789473683,0.2041260701417923,95.0,11.99905059387806,0.1643172949552536,112.20378875732422,105.7715817870452,0.8734779953956604,0.10061243176460266,0.21446184813976288,0.18603967130184174,95.0,18000,0.015047793132436803,422.23114372041357,0.4736216962337494,-84.00210571289062,0.8272655606269836,36.210750579833984,59.17292022705078,112.06478118896484,0.8229015469551086
,88.33967590332031,575.4109786682652,91.20813751220703,10,189.20553159713745,414.46017883541367,187.75471698113208,0.2127690902352333,106.0,11.985139285978837,0.1704523116350174,116.27050018310547,105.70515476568967,0.8706353306770325,0.34096890687942505,0.21323774755001068,0.2033587247133255,106.0,20000,0.01185113216358652,414.46017883541367,0.47116175293922424,-89.20958709716797,0.7921977639198303,44.11555480957031,57.91139221191406,116.75679779052734,0.7828778028488159
