train/loss_actor,rollout/actions_std,AI_success_rate,rollout/actions_mean,rollout/Q_mean,rollout/return_history,reference_actor_Q_mean,total/steps_per_second,rollout/episode_steps,obs_rms_std,obs_rms_mean,total/episodes,reference_action_mean,reference_Q_std,reference_perturbed_action_std,total/duration,train/loss_critic,reference_perturbed_action_mean,rollout/episodes,total/epochs,AI_distance,reference_actor_Q_std,param_noise_stddev,reference_action_std,reference_Q_mean,rollout/return,AI_return,total/steps,train/param_noise_distance
203.6416778564453,0.8878529071807861,,0.2760852575302124,-90.97437286376953,-3005.159499816492,-214.61370849609375,80.13133632521496,98.65,0.29586464166641235,0.32711103558540344,20.0,0.2690444588661194,156.35447692871094,0.9129811525344849,24.959024667739868,317.3072509765625,0.2949672043323517,20.0,1,14.013548556698135,156.04913330078125,0.03142349394213421,0.9523728489875793,-216.73904418945312,-3005.159499816492,-3005.159499816492,2000,0.21592984467744827
377.0067138671875,0.9232422113418579,,0.2129708230495453,-163.3396759033203,-2725.523010228997,-404.2545166015625,78.63880581097904,97.34146341463415,0.29753750562667847,0.31553417444229126,41.0,-0.10003744065761566,299.4939880371094,0.9687992930412292,50.86547231674194,748.8245239257812,-0.1384533941745758,41.0,2,13.851551130339825,297.2191162109375,0.029019069447335507,0.9882851839065552,-409.817138671875,-2725.523010228997,-2725.523010228997,4000,0.20211027324199676
500.6505126953125,0.9379804134368896,,0.1540197879076004,-235.9180450439453,-2586.522698497433,-560.041015625,78.68205688791267,100.62711864406779,0.3073689043521881,0.3201872706413269,59.0,-0.057537488639354706,369.0465393066406,0.9743581414222717,76.256267786026,1545.8804931640625,-0.011840574443340302,59.0,3,13.71287579701904,361.9925537109375,0.017644720880324885,0.9825985431671143,-570.1964111328125,-2586.522698497433,-2586.522698497433,6000,0.21689601212739945
580.7072143554688,0.9217070937156677,,0.2222692221403122,-282.1245422363281,-2323.5082494074672,-638.927490234375,78.31368537955485,98.95,0.3073863387107849,0.3141027092933655,80.0,0.19586987793445587,360.5770263671875,0.9669284820556641,102.15328216552734,552.7913208007812,0.1749841421842575,80.0,4,13.046513202996072,353.89544677734375,0.015047793132436803,0.9741014242172241,-651.1644897460938,-2323.5082494074672,-2323.5082494074672,8000,0.20226513236761093
589.336181640625,0.9052178263664246,,0.28797295689582825,-303.23046875,-2085.2609990568094,-693.8558349609375,79.08596763381342,99.52,0.30859965085983276,0.3179805278778076,100.0,0.19628997147083282,368.96490478515625,0.9544593095779419,126.4446816444397,216.39849853515625,0.21147683262825012,100.0,5,12.778793234180855,360.78729248046875,0.015973535632157008,0.9624692797660828,-708.9169921875,-2085.2609990568094,-2085.2609990568094,10000,0.1917545674741268
567.560302734375,0.8938538432121277,,0.29936009645462036,-301.69097900390625,-1995.715308103111,-726.5991821289062,79.48388503100233,107.93693693693693,0.304494708776474,0.32746919989585876,111.0,0.2122771143913269,362.7795715332031,0.9541159272193909,150.97399926185608,610.3574829101562,0.22424960136413574,111.0,6,12.870165316483693,351.0289611816406,0.013896384493189945,0.9634610414505005,-743.936279296875,-2044.9123373764533,-2044.9123373764533,12000,0.2035314905643463
523.17724609375,0.884943962097168,,0.30332544445991516,-304.64337158203125,-1917.4844716899322,-716.7716674804688,78.61254359973297,117.61538461538461,0.29641130566596985,0.33977755904197693,117.0,0.0676002949476242,378.7530212402344,0.9708331227302551,178.088627576828,730.7578125,0.137984499335289,117.0,7,12.926561270418956,370.2647399902344,0.013091022799070031,0.9721929430961609,-738.0863037109375,-2095.934316361867,-2095.934316361867,14000,0.19066809818148614
464.5068359375,0.8815040588378906,,0.307341605424881,-305.1679382324219,-1975.504832159649,-698.355712890625,79.16086150736453,125.36,0.2919299602508545,0.34584513306617737,125.0,0.037287019193172455,409.6974792480469,0.979050874710083,202.12008428573608,491.8981628417969,0.070639967918396,125.0,8,12.770988005179445,401.8072814941406,0.012580215599082718,0.9766505360603333,-717.1671142578125,-2128.793968185136,-2128.793968185136,16000,0.19969464972615242
412.00616455078125,0.8905791640281677,,0.27245837450027466,-313.40948486328125,-2162.6631974230204,-670.1458740234375,78.4950156376976,135.36641221374046,0.2904049754142761,0.35271432995796204,131.0,0.17722125351428986,446.4298400878906,0.9742958545684814,229.31392335891724,871.469482421875,0.17610618472099304,131.0,9,12.98731970364337,441.1343078613281,0.01208933992007461,0.9784294962882996,-692.620361328125,-2264.9891217071627,-2264.9891217071627,18000,0.19800507724285127
382.4612121582031,0.8906077742576599,,0.2653041183948517,-305.4357604980469,-2187.329289098078,-631.139892578125,78.74397370768955,144.5109489051095,0.2893896996974945,0.36132171750068665,137.0,0.13488738238811493,478.13385009765625,0.9829731583595276,253.9876902103424,821.05419921875,0.12547707557678223,137.0,10,13.072157507390688,476.034423828125,0.010517278057089798,0.9762071371078491,-654.1400146484375,-2320.020109216482,-2320.020109216482,20000,0.20205221861600875
302.2986145019531,0.8941110372543335,,0.25680282711982727,-283.4513854980469,-1994.3487710146242,-580.8709106445312,78.6266080210763,151.18620689655174,0.28900575637817383,0.3613263666629791,145.0,0.16404511034488678,515.053466796875,0.9546810984611511,279.803498506546,905.3273315429688,0.175257608294487,145.0,11,12.830793779671804,515.4727172851562,0.010517278057089798,0.9608568549156189,-610.21435546875,-2230.284641178482,-2230.284641178482,22000,0.20290307223796844
