obs_rms_mean,reference_actor_Q_mean,reference_Q_mean,rollout/actions_std,reference_perturbed_action_std,total/steps_per_second,rollout/actions_mean,total/steps,obs_rms_std,AI_return,train/loss_actor,total/epochs,rollout/return,reference_actor_Q_std,rollout/episode_steps,total/episodes,reference_action_std,AI_success_rate,train/param_noise_distance,rollout/Q_mean,AI_distance,reference_action_mean,param_noise_stddev,reference_perturbed_action_mean,rollout/return_history,train/loss_critic,total/duration,rollout/episodes,reference_Q_std
0.24544082581996918,-76.71073913574219,-78.04383850097656,0.9317497611045837,0.9880940318107605,75.81402847215962,0.1523643583059311,2000,0.35097187757492065,-898.2925333367441,91.21800994873047,1,-898.2925333367441,144.9076690673828,56.285714285714285,35.0,0.9974520206451416,,0.19151745647192,-42.411373138427734,12.82311188641796,0.04824043810367584,0.054859444277966934,0.02288038283586502,-898.2925333367441,1078.2861328125,26.38034200668335,35.0,144.65928649902344
0.24761566519737244,-197.54373168945312,-201.38015747070312,0.9408087134361267,0.9030493497848511,75.0514157311996,0.1499744951725006,4000,0.34780341386795044,-870.5816959921618,202.66741943359375,2,-870.5816959921618,257.62249755859375,57.231884057971016,69.0,0.9110777378082275,,0.20689409404993056,-85.35106658935547,12.911184018183427,0.3774118423461914,0.02575295069895359,0.37324202060699463,-870.5816959921618,68.21106719970703,53.29679608345032,69.0,257.3642883300781
0.2593177855014801,-307.4691467285156,-315.10467529296875,0.9339002966880798,0.8092756867408752,75.88326517606941,0.20515263080596924,6000,0.34491440653800964,-800.6688248259204,263.0919189453125,3,-800.6688248259204,316.73089599609375,59.95,100.0,0.8317309021949768,,0.2182336002588272,-117.44035339355469,13.164043600662888,0.5273775458335876,0.021962663920618616,0.538670539855957,-800.6688248259204,115.15357208251953,79.0688169002533,100.0,314.8055419921875
0.26569923758506775,-365.04296875,-378.11639404296875,0.9203500747680664,0.7449491024017334,76.49776135560039,0.2766266167163849,8000,0.3438468873500824,-760.7729735262508,316.08868408203125,4,-760.7729735262508,310.378662109375,62.0859375,128.0,0.7409490942955017,,0.19974760800600053,-148.59457397460938,12.944522654652449,0.6532397270202637,0.02240411346542305,0.6455937623977661,-717.8061874131153,424.5078430175781,104.57822370529175,128.0,306.7225341796875
0.2710435688495636,-396.2703857421875,-408.337890625,0.9076966643333435,0.6582105159759521,76.99230340930875,0.3201816976070404,10000,0.34172508120536804,-720.6147305394115,346.0245361328125,5,-720.6147305394115,302.1524658203125,62.860759493670884,158.0,0.7125835418701172,,0.19612717121839524,-175.63616943359375,12.854854319851304,0.6834760904312134,0.02240411346542305,0.7316166758537292,-622.9552793861881,120.55853271484375,129.8831124305725,158.0,299.1897277832031
0.27329257130622864,-423.460693359375,-434.63592529296875,0.8942527174949646,0.7927544116973877,77.04982349501329,0.35732609033584595,12000,0.3403370976448059,-701.6237530145252,364.449462890625,6,-701.6237530145252,287.1568603515625,63.94652406417112,187.0,0.7387564182281494,,0.20372238382697105,-196.9406280517578,12.509251892945217,0.6389467120170593,0.021962663920618616,0.5739467144012451,-586.2506267149535,98.18121337890625,155.7433807849884,187.0,284.0599365234375
0.2781461775302887,-448.5089111328125,-457.90728759765625,0.8868168592453003,0.7603215575218201,77.12724539851692,0.3761247992515564,14000,0.3402741253376007,-676.5249484336224,387.362060546875,7,-676.5249484336224,262.8948059082031,64.31336405529954,217.0,0.7787359356880188,,0.21124641567468644,-218.23611450195312,12.548002595404038,0.5952301621437073,0.020689822899908242,0.6223071217536926,-573.2169215917291,86.37926483154297,181.51821613311768,217.0,258.8539123535156
0.28027161955833435,-478.6293029785156,-486.0477294921875,0.8800137042999268,0.7978461384773254,77.43052146463347,0.39583081007003784,16000,0.34035685658454895,-667.5896360256468,394.1905517578125,8,-667.5896360256468,238.3674774169922,64.62753036437248,247.0,0.7617238759994507,,0.19703008636832237,-237.68841552734375,12.550023718754872,0.6146137714385986,0.018361167303396805,0.5665127635002136,-580.1862393263011,192.99806213378906,206.63686227798462,247.0,235.4196014404297
0.28252729773521423,-479.39764404296875,-489.6462707519531,0.8745770454406738,0.8301331400871277,77.3795222760402,0.4117434024810791,18000,0.3398440480232239,-660.2172774323343,403.8072509765625,9,-660.2172774323343,228.4347686767578,64.7797833935018,277.0,0.8135175108909607,,0.18098749756813048,-253.68421936035156,12.566560458340822,0.5631726384162903,0.019882513137642284,0.5255731344223022,-580.4597262546046,140.432861328125,232.6196837425232,277.0,225.58856201171875
0.2838440239429474,-482.2424621582031,-491.9203796386719,0.8678282499313354,0.8295788168907166,77.53730306193368,0.42616260051727295,20000,0.34021732211112976,-660.1927633073531,411.869140625,10,-660.1927633073531,226.79331970214844,65.15686274509804,306.0,0.8248295187950134,,0.19651928797364235,-268.28863525390625,12.581220164381755,0.5387395620346069,0.015973535632157008,0.5156001448631287,-610.0686887128719,85.80548858642578,257.94036173820496,306.0,223.62460327148438
0.2856893241405487,-489.0567626953125,-499.1786804199219,0.8638895153999329,0.8476375937461853,77.45675884695687,0.4350167214870453,22000,0.3402116000652313,-646.0882454581564,414.9272155761719,11,-646.0882454581564,214.60194396972656,65.2797619047619,336.0,0.8243891000747681,,0.20110086366534233,-279.7580261230469,12.630478261354225,0.5339736342430115,0.0156587938752642,0.5072168707847595,-581.2293171463125,88.45616912841797,284.0294420719147,336.0,211.97268676757812
