obs_rms_mean,reference_Q_std,rollout/Q_mean,total/steps,rollout/episodes,reference_Q_mean,reference_action_mean,reference_perturbed_action_std,total/steps_per_second,param_noise_stddev,reference_actor_Q_mean,rollout/actions_std,rollout/return,AI_return,reference_action_std,train/param_noise_distance,obs_rms_std,rollout/episode_steps,AI_distance,total/duration,reference_perturbed_action_mean,total/epochs,train/loss_critic,rollout/return_history,total/episodes,reference_actor_Q_std,rollout/actions_mean,AI_success_rate,train/loss_actor
0.458518385887146,140.8915252685547,-43.093692779541016,2000,11.0,-117.83700561523438,-0.49323582649230957,0.858697772026062,99.5606061348744,0.055962119107954095,-116.1615982055664,0.8215928077697754,-2081.461698440171,-2081.461698440171,0.8681992292404175,0.17893673967570067,0.19266121089458466,163.63636363636363,17.424727777184987,20.088266611099243,-0.49179571866989136,1,249.99217224121094,-2081.461698440171,11.0,139.68568420410156,-0.45636406540870667,,98.39404296875
0.4584849178791046,275.90771484375,-89.28318786621094,4000,23.0,-237.0397491455078,-0.042930569499731064,0.9683099389076233,101.40961417375412,0.03142349394213421,-232.74293518066406,0.8943818211555481,-2200.7540145794383,-2200.7540145794383,0.9533407092094421,0.2179740636050701,0.19995427131652832,168.0,17.05383245982486,39.443991899490356,0.022059079259634018,2,1392.1591796875,-2200.7540145794383,23.0,274.3204040527344,-0.31915414333343506,,183.6710205078125
0.46929994225502014,406.80877685546875,-126.52754974365234,6000,33.0,-321.4476623535156,-0.07081137597560883,0.9160773754119873,102.75944690890492,0.015047793132436803,-314.28173828125,0.9290565848350525,-2282.741550885701,-2282.741550885701,0.9410349130630493,0.21788088008761405,0.19773529469966888,181.66666666666666,17.41396052117637,58.388792276382446,-0.1585598587989807,3,943.06787109375,-2282.741550885701,33.0,400.20526123046875,-0.18220482766628265,,246.767578125
0.4626888930797577,470.1036682128906,-147.38279724121094,8000,42.0,-343.4700012207031,-0.042966000735759735,0.9530596733093262,102.02046754641916,0.016294603698363365,-332.35516357421875,0.9336519241333008,-2202.1117392775595,-2202.1117392775595,0.9670130610466003,0.2009833937883377,0.20732299983501434,190.4047619047619,17.522274899918166,78.41563749313354,-0.06140082702040672,4,1731.8330078125,-2202.1117392775595,42.0,459.02142333984375,-0.16574744880199432,,264.8036193847656
0.47048938274383545,481.6712341308594,-166.76455688476562,10000,52.0,-362.50750732421875,0.037331756204366684,0.9555659294128418,103.70430648170311,0.01208933992007461,-348.4717102050781,0.9458380937576294,-1914.2800128424255,-1914.2800128424255,0.9362145662307739,0.2105127403140068,0.20663003623485565,191.09615384615384,17.02407361978955,96.42801094055176,0.03632053732872009,5,747.0093994140625,-1914.2800128424255,52.0,467.78485107421875,-0.09111039340496063,,284.831298828125
0.46090927720069885,410.4890441894531,-161.17465209960938,12000,62.0,-244.79364013671875,0.12484030425548553,0.9155825972557068,103.88068182925196,0.013896384493189945,-224.19577026367188,0.9510408043861389,-1454.6099591480922,-1454.6099591480922,0.9174436926841736,0.20142997354269027,0.21022598445415497,192.06451612903226,16.008942834028883,115.51714706420898,0.1432693749666214,6,1541.7171630859375,-1454.6099591480922,62.0,394.7031555175781,-0.06279813498258591,,221.08456420898438
0.4627396762371063,411.4874267578125,-143.37184143066406,14000,75.0,-211.4510498046875,0.23222684860229492,0.8974003791809082,105.44574662390391,0.012833077932624282,-192.13336181640625,0.9539065957069397,-1157.6711324212065,-1157.6711324212065,0.9076979756355286,0.22502189964056016,0.21317799389362335,186.29333333333332,15.291028925391087,132.76969861984253,0.24563007056713104,7,1236.2144775390625,-1157.6711324212065,75.0,397.8542785644531,-0.0397891141474247,,171.09597778320312
0.4666500985622406,450.13720703125,-120.64886474609375,16000,88.0,-205.12686157226562,0.3160136044025421,0.8767502307891846,105.59144038228858,0.012833077932624282,-184.953857421875,0.9543912410736084,-653.6297908852852,-653.6297908852852,0.867514967918396,0.21332137823104858,0.21423256397247314,181.63636363636363,14.31456180140089,151.5274338722229,0.3800700604915619,8,1049.182861328125,-653.6297908852852,88.0,438.330322265625,-0.010542833246290684,,94.59764862060547
0.46712732315063477,474.345947265625,-93.40706634521484,18000,100.0,-157.52536010742188,0.21942390501499176,0.8990586400032043,105.60125474269192,0.0136225708197137,-134.4945831298828,0.953479528427124,-325.57765191859033,-325.57765191859033,0.9032772779464722,0.20050677448511123,0.21509109437465668,179.81,13.683762335420898,170.45252013206482,0.22306542098522186,9,1069.28564453125,-325.57765191859033,100.0,457.98773193359375,0.015149373561143875,,12.325845718383789
0.46972420811653137,483.6368713378906,-72.27333068847656,20000,110.0,-114.60639190673828,0.19951917231082916,0.9194810390472412,106.23868067140366,0.014175701821503062,-88.11929321289062,0.9511091113090515,-34.48135273691097,-34.48135273691097,0.8862664103507996,0.20132120534777642,0.2185019701719284,181.29090909090908,13.08159519705814,188.25534987449646,0.1169489249587059,10,629.3841552734375,185.1902909945429,110.0,465.7749938964844,0.04508458077907562,,-46.33494186401367
0.47154173254966736,476.6767578125,-62.11613082885742,22000,119.0,-24.447988510131836,0.20636430382728577,0.8899043202400208,106.08139779921196,0.010728675346037303,3.975541114807129,0.9458714723587036,123.66824414349159,123.66824414349159,0.8950960040092468,0.20740295737981795,0.21821153163909912,184.109243697479,12.95997973000915,207.38791584968567,0.3011884093284607,11,726.7136840820312,544.4520759930587,119.0,459.3931884765625,0.054631270468235016,,-131.0802764892578
